# 2016 RORC Easter Challenge - IRC Two - Entries: 17      Races Sailed: 5 (None) - 17 boats - https://www.rorc.org/raceresults/2016/rec-twoos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,IRL2007,Jump Juice,Ker 37,Conor Phelan,,,,1.109,,
,,GBR236R,Erivale III,Ker 39,Michael Greville,,,,1.116,,
,,GBR7737R,Aurora,Corby 37,Roderick Stuart & Bill Ram,,,,1.089,,
,,GBR42N,La Réponse,First 40,Andrew McIrvine,,,,1.085,,
,,GBR3213L,Dusty P,First 40,Richard Patrick,,,,1.076,,
,,GBR6638R,Alice,Mumm 36,Simon Henning,,,,1.075,,
,,IRL39000,Zero II,Mills 39,Cowes Race School,,,,1.115,,
,,GBR1111X,Jitterbug,J/111,Cornel Riklin,,,,1.094,,
,,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,,,1.107,,
,,GBR3234L,Rocketdog 2,First 40,Sailing Logic,,,,1.068,,
,,GBR5940R,Nifty,King 40,Roger Bowden,,,,1.117,,
,,GBR7751R,Journeymaker II,J/111,Chris Jones,,,,1.100,,
,,GBR1010L,Xinska,X 40,Bernard Olesinski,,,,1.069,,
,,GBR9235R,Mad Max,Max Fun 35,Andy Williams,,,,1.086,,
,,GBR7877R,Tilt,First 40,Alex & Andy Moore,,,,1.079,,
,,GBR8611R,Kestrel,J111,Simon Bamford,,,,1.098,,
,,GBR562R,Night Owl II,Mat 12,Ed Hall,,,,1.136,,
