# 2016 RORC Mainseries IRC Three - Volvo Round Ireland Yacht Race (Sat 18 Jun 16 13:00:00) - 16 boats - https://www.rorc.org/raceresults/2016/three09.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,96,IRL1141,Storm,J/109,David Cullen,,23 Jun - 11:55:27,4 - 22:55:27,1.014,5 - 00:35:21,
2,90,IRL10800,Rockabill VI,Jpk 10.80,Paul O'Higgins,,23 Jun - 11:05:40,4 - 22:05:40,1.044,5 - 03:17:26,
3,86,IRL1471,Bam,Jeaneau Sunfast 3600,Conor Fogerty,,23 Jun - 14:00:15,5 - 01:00:15,1.036,5 - 05:21:37,
4,82,IRL7386,Discover Ireland,Reflex 38,Kenneth Rumball,,23 Jun - 13:42:42,5 - 00:42:42,1.044,5 - 06:01:23,
5,79,GBR3789L,Just Plain Krazy,JPK 10.10,Stephen Hills,2H,23 Jun - 18:15:38,5 - 05:15:38,1.009,5 - 06:23:16,
6,76,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,2H,23 Jun - 14:41:06,5 - 01:41:06,1.039,5 - 06:25:51,
7,74,GBR9047R,Mojito,J/109,Peter Dunlop & Vicky Cox,,23 Jun - 18:55:02,5 - 05:55:02,1.010,5 - 07:10:35,
8,72,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,2H,24 Jun - 04:30:17,5 - 15:30:17,1.009,5 - 16:43:27,
9,70,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,24 Jun - 04:24:13,5 - 15:24:13,1.011,5 - 16:53:35,
10,68,GBR6908R,Ajax,J/109,Royal Armoured Corps Yacht Club,,24 Jun - 05:03:23,5 - 16:03:23,1.009,5 - 17:16:51,
11,66,GBR2271L,Pipedreamer VI,Dufour 40 2.10,Paul Sutton,,24 Jun - 05:10:40,5 - 16:10:40,1.016,5 - 18:21:24,
12,64,GBR7003T,Polished Manx II,First 40.7,Kuba Szymanski,,24 Jun - 04:43:26,5 - 15:43:26,1.029,5 - 19:39:36,
13,62,GBR7664T,Crackajack,First 40.7 Distinction 2.40,Philip Quinn,2H,24 Jun - 03:51:47,5 - 14:51:47,1.048,5 - 21:20:11,
14,61,GBR9070R,Change of Course,C & C 115,Keith Gibbs,,24 Jun - 22:53:21,6 - 09:53:21,1.031,6 - 14:39:35,
,10,GBR7384T,Quid Non,Swan 40 (92) 2.16,Nigel Philpott,2H,,,1.005,,DNF-Did Not Finish
,10,BEL1265,Denebola,Mg 30 Modified,Alain Poncelet,2H,,,1.010,,DNF-Did Not Finish
