# 2016 RORC Mainseries IRC Two - RORC Caribbean 600 (Mon 22 Feb 16 11:00:00) - 10 boats - https://www.rorc.org/raceresults/2016/two02.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,90,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,25 Feb - 17:11:12,3 - 06:11:12,1.064,3 - 11:11:26,
2,84,GBR4778R,EH01,First 47.7,Global Yacht Racing,Andy Middleton,25 Feb - 17:46:48,3 - 06:46:48,1.092,3 - 14:01:40,
3,80,GBR8405R,Southern Child,First 40,Performance Yacht Charter,Darren Wright - Howth Yacht Club,25 Feb - 19:07:28,3 - 08:07:28,1.083,3 - 14:46:29,
4,76,GBR970R,Jua Kali,Grand Soleil 43,HHA,Dominic Hurndall,25 Feb - 20:05:32,3 - 09:05:32,1.087,3 - 16:08:50,
5,76,GBR6840R,Team Vancouver,First 40,Sailing Logic,Christopher Jackson,25 Feb - 22:02:04,3 - 11:02:04,1.075,3 - 17:15:43,RDG-Redress 76 Points given
6,70,GBR9604R,Nunatak,J/120,Elin Haf Davies and Chris Frost,2H,26 Feb - 01:19:44,3 - 14:19:44,1.054,3 - 18:59:26,
7,68,GBR5951T,Northern Child,Swan 51,Performance Yacht Charter,Debbi Booth and Matt Pike,26 Feb - 00:40:17,3 - 13:40:17,1.072,3 - 19:50:23,
,10,GBR7408R,Arthur Logic,First 40,Sailing Logic,,,,1.070,,DNF-Did Not Finish
,10,GBR6053L,Ballytrim,Swan 53,Andrew Allner,,,,1.096,,DNF-Did Not Finish
,10,GBR2215L,Quokka 8,Grand Soleil 43,Global Yacht Racing,Christian Reynolds,,,1.098,,DNF-Did Not Finish
