# 2017 RORC Mainseries IRC Four - Cervantes Trophy Race (Sat 29 Apr 17 09:10:00) - 32 boats - https://www.rorc.org/raceresults/2017/four03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR8749T,Pomeroy Swan,Swan 44,Paul Kavanagh,Andy Greenwood,30 Apr - 01:24:16,16:14:16,0.985,15:59:39,
2,94,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,30 Apr - 01:10:44,16:00:44,1.003,16:03:37,
3,90,GBR3789L,Just Plain Krazy,JPK 10.10,Stephen Hills,2H,30 Apr - 01:43:38,16:33:38,0.999,16:32:38,
4,86,FRA17578,China Girl,Norlin 37,Marc Noel / Loic Le Dreau,Marc Noel,30 Apr - 02:42:29,17:32:29,0.947,16:36:42,
5,83,FRA34824,Kia Ora,Jpk 9.60,Olivier Hays,2H,30 Apr - 02:02:59,16:52:59,0.986,16:38:48,
6,80,FRA3333,Shortgood,First Class 10,Renaud Courbon and Emmanuel Winsback,2H,30 Apr - 02:02:55,16:52:55,0.988,16:40:46,
7,78,GBR3200N,All Or Nothing,Sun Fast 3200,Chris Blackburn & Simon Dipple,Chris Blackburn,30 Apr - 02:17:03,17:07:03,0.995,17:01:55,
8,76,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,2H,30 Apr - 02:26:49,17:16:49,0.995,17:11:38,
9,74,FRA39541,A Suivre...,First 35,Maestracci Vincent,,30 Apr - 02:43:49,17:33:49,0.988,17:21:10,
10,72,GBR7716R,Psipsina,HOD 35,Bernie Bingham,2H,30 Apr - 02:32:24,17:22:24,1.001,17:23:27,
11,70,MLT105,Bigfoot,J/105,Robert Nelson,2H,30 Apr - 02:41:00,17:31:00,0.997,17:27:51,
12,68,GBR6388T,Marta,Sigma 38,Brian Skeet,,30 Apr - 02:58:10,17:48:10,0.982,17:28:56,
13,66,GBR922R,Juno,X 34,Charles Whittam,,30 Apr - 02:49:33,17:39:33,0.994,17:33:12,
14,65,GBR8307,Paracelsus,Sigma 38,Neil Holden,,30 Apr - 03:03:38,17:53:38,0.982,17:34:18,
15,64,GBR2421,Sheevra,Swan 36,Jonathan Wallis,,30 Apr - 04:26:22,19:16:22,0.913,17:35:46,
16,63,GBR8146,Vitesse,Sigma 38,Jon England,,30 Apr - 03:10:33,18:00:33,0.982,17:41:06,
17,62,GBR536,Zest,Humphreys 36 Custom,Kathryn Schmitt,2H,30 Apr - 03:22:28,18:12:28,0.988,17:59:21,
18,61,GBR8799T,Wild Spirit,Sun Odyssey 40,Paul Jackson,,30 Apr - 03:48:18,18:38:18,0.981,18:17:03,
19,60,GBR912R,Polka,First 34.7,Marcus Wareham,,30 Apr - 03:41:14,18:31:14,0.994,18:24:34,
20,59,FRA38896,Saute Moutons,First 30,Francois Tirveilliot,,30 Apr - 04:21:59,19:11:59,0.980,18:48:57,
21,58.5,GBR3917,Tantrum Of Langstone,Sigma 36,Chris Staples,,30 Apr - 05:31:08,20:21:08,0.939,19:06:39,
22,58,FRA19816,Espritclub,Sun Fast 32,Hugo Buratti,,30 Apr - 06:26:07,21:16:07,0.913,19:25:06,
23,57.5,GBR1617R,Top Secret Of Plymouth,Nordship 430 DS,Stuart Austin,,30 Apr - 05:15:09,20:05:09,0.974,19:33:49,
24,57,GBR1751T,Spellbinder Of Wytch,Starlight 39,Phoenix Yacht Club,Trevor Nicholls,30 Apr - 05:55:16,20:45:16,0.945,19:36:47,
25,56.5,FRA44258,Mora,Dufour 34 E,Gaetan Bourdeaux,,30 Apr - 05:42:52,20:32:52,0.975,20:02:03,
26,56,GBR4902,Shila,Sigma 33,Jens Pace and Anthony Fielding,Anthony Fielding,30 Apr - 07:22:50,22:12:50,0.905,20:06:13,
27,55.5,GBR1889L,Purple Mist,Sun Odyssey 36 I,Katherine Cope,2H,30 Apr - 07:14:33,22:04:33,0.976,21:32:46,
28,55,GBR9088R,Altostratus,Sunfast 35,Julian Hickey,Dafydd Biffen,30 Apr - 17:01:00,1 - 07:51:00,0.972,1 - 06:57:30,
,10,GBR5253,Silver Shamrock,Shamrock 1/2 Ton Prototype,Stuart Greenfield,2H,,,0.887,,DNF-Did Not Finish
,10,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,2H,,,0.956,,DNF-Did Not Finish
,10,GBR7732T,Mardy Gras,X 332,Fred Mundle,,,,0.983,,DNF-Did Not Finish
,10,NED118,Winsome,S&S 41,Harry J. Heijst,,,,0.987,,RET-Retired after Finishing
