# 2017 RORC Mainseries IRC Four - North Sea Race (Tue 30 May 17) - 10 boats - https://www.rorc.org/raceresults/2017/four06.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,90,NED10031,Victoria,A 31 1.90 V2,Willem Schopman,2H Yvonne Beusker,31 May - 21:33:52,1 - 07:33:52,0.999,1 - 07:31:58,
2,84,IRL3208,Blizzard Of Uz,Sun Fast 3200,Erik Mayer-martenson,2H,31 May - 21:48:48,1 - 07:48:48,0.995,1 - 07:39:15,
3,80,NED7975,Blue June,Standfast 43,Henk Zomer,,31 May - 22:06:38,1 - 07:56:38,0.996,1 - 07:48:58,
4,76,GBR8876T,Panther,J/105,Yvonne Beusker & Edith Voskamp,Yvonne Beusker & Erik van Vuuren,31 May - 21:56:25,1 - 07:56:25,1.001,1 - 07:58:20,
5,73,GBR2797R,Rock Lobster,J 97 1.92,Nick Angel,,31 May - 23:24:00,1 - 09:14:00,0.970,1 - 08:14:11,
6,70,GBR7055T,Tramp Of Airlie,S & S 44,Chris Hames,,1 Jun - 00:19:00,1 - 10:09:00,0.992,1 - 09:52:36,
7,68,GBR4227L,Lyra Of London,Swan 431,Miles Delap,,1 Jun - 01:08:00,1 - 10:58:00,1.001,1 - 11:00:06,
8,66,NED8304,Emily,Nicholson 43,Gerard Jonker,T.j.r. Woudenberg,1 Jun - 06:02:00,1 - 15:52:00,0.938,1 - 13:23:42,
9,64,GBR984R,Strata 5,X 40,East Anglian Sea School,,1 Jun - 07:45:00,1 - 17:35:00,0.986,1 - 17:00:04,
,10,NED8831,Scheepsrecht,Bavaria 410,Jim Heilijgers,,,,0.989,,DNF-Did Not Finish
