# 2017 IRC National Championship - IRC One - Entries: 13      Races Sailed: 8      Discard: 1 (None) - 13 boats - https://www.rorc.org/raceresults/2017/ircnats-oneos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR6255N,Lady Mariposa,Ker 46,Daniel Hardy,,,,1.296,,
,,GBR6889R,Keronimo,Ker 40,Andy Williams,,,,1.199,,
,,GBR4669R,Pata Negra,Lombard IRC 46,Giles Redpath,,,,1.164,,
,,GBR1111X,Jitterbug,J/111,Cornel Riklin,,,,1.095,,
,,GBR8888N,Cobra,King 40,Michael Blair,,,,1.117,,
,,GBR236R,Erivale III,Ker 39,Michael Greville,,,,1.117,,
,,GBR5940R,Nifty,King 40,Roger Bowden,,,,1.116,,
,,GBR8611R,Kestrel,J/111,Simon Bamford,,,,1.099,,
,,GBR5811R,Jagerbomb,J/111,Paul Griffiths,,,,1.097,,
,,GBR7751R,Journeymaker II,J/111,Chris Jones,,,,1.100,,
,,GBR562R,Night Owl II,Mat 12,Edmund Hall,,,,1.124,,
,,GBR1180X,Gallivanter,Mat 1180,Tor McLaren,,,,1.195,,
,,GBR759R,Eclectic,Azuree 46,Colin Campbell,,,,1.131,,
