# 2017 RORC Mainseries IRC Overall - RORC Transatlantic Race 2016 (Sat 26 Nov 16) - 10 boats - https://www.rorc.org/raceresults/2017/ircoverall01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,90,NED8313,Aragon,Marten 72,Nicolas Lecarpentier,,9 Dec - 11:17:03,12 - 23:17:03,1.456,18 - 21:13:47,
2,84,GBR4945R,Maverick,Infiniti 46 R,Quentin Stewart,,10 Dec - 06:52:09,13 - 18:52:09,1.414,19 - 11:50:56,
3,80,GBR1R,Leopard,Farr Maxi,Mike Slade,,7 Dec - 07:22:37,10 - 19:22:37,1.806,19 - 12:26:05,
4,76,GBR8200R,Stay Calm,Swan 82 S,Stuart Robinson,,10 Dec - 19:02:17,14 - 07:02:17,1.386,19 - 19:27:03,
5,73,FRA140,Saint Pierre & Miquelon,Class40,Marc Lepesqueux,,12 Dec - 15:12:13,16 - 03:12:13,1.241,20 - 00:31:11,
6,70,GBR17R,Nemesis,Swan 45,James Heald,,15 Dec - 03:42:47,18 - 15:42:47,1.136,21 - 04:36:07,
7,68,GBR7725R,Path,Baltic 112,Anatoli Karatchinski,,10 Dec - 21:42:57,14 - 09:42:57,1.603,23 - 02:10:57,
8,66,GBR301,Challenger,Whitbread 60,Christopher Stanmore-major,,13 Dec - 15:12:37,17 - 03:12:37,1.374,23 - 13:00:11,
,10,GBR4669R,Pata Negra,Lombard Irc 46 2.50,Giles Redpath,,,,1.172,,DNF-Did Not Finish
,10,FRA26,Sensation Class 40,Class40,Marc Lepesqueux,Kai Weeks,,,1.206,,DNF-Did Not Finish
