# 2017 RORC Mainseries IRC Overall - Myth of Malham Race (Sat 27 May 17) - 126 boats - https://www.rorc.org/raceresults/2017/ircoverall05.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR4921R,Ino XXX,HH42,James Neville,,29 May - 01:01:44,1 - 14:01:44,1.261,1 - 23:57:16,
2,94,POL18855,Selma Racing,Reichel Pugh 48,Artur Skrzyszowski,,29 May - 02:03:25,1 - 15:03:25,1.236,2 - 00:16:28,
3,90,USA60006,Venomous,Carroll Marine 60,Windward Sailing,Derek Saunders,29 May - 01:02:19,1 - 14:02:19,1.354,2 - 03:30:15,
4,86,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,2H,29 May - 13:28:49,2 - 02:48:49,1.041,2 - 04:53:49,
5,83,FRA43645,Dream Pearls,JPK 10.80,Arnaud Delamare and Eric Mordret,Eric Mordret,29 May - 13:35:23,2 - 02:55:23,1.039,2 - 04:54:33,
6,80,GBR419R,Redshift Reloaded,Sun Fast 3600 2.15,Ed Fishwick,2H,29 May - 13:25:42,2 - 02:45:42,1.050,2 - 05:17:59,
7,78,FRA38568,Pintia,J/133,Gilles Fournier / Corinne Migraine,Gilles Fournier,29 May - 11:48:32,2 - 00:58:32,1.091,2 - 05:25:56,
8,76,GBR5936R,Game On,Sun Fast 3600,Ian Hoddle,2H,29 May - 14:05:30,2 - 03:25:30,1.041,2 - 05:32:00,
9,74,GBR8338,With Alacrity,Sigma 38,Chris Choules,,29 May - 17:03:35,2 - 06:33:35,0.982,2 - 05:34:40,
10,72,FRA43831,Timeline,JPK 10.80,Marc Alperovitch,,29 May - 13:55:15,2 - 03:15:15,1.046,2 - 05:36:43,
11,70,GBR888X,Sunrise,JPK 10.80,Thomas Kneen,,29 May - 14:07:32,2 - 03:27:32,1.043,2 - 05:40:18,
12,68,GBR4947R,Lisa,First 44.7,Nick & Suzi Jones,Michael Boyd,29 May - 11:43:55,2 - 00:53:55,1.100,2 - 05:47:19,
13,66,USA25555,Rambler,Canting Keel Maxi,George David,,28 May - 16:07:54,1 - 05:07:54,1.853,2 - 05:58:52,
14,65,FRA25767,Exception,X 40,Patrick Ponchelet,,29 May - 14:07:01,2 - 03:17:01,1.059,2 - 06:18:34,
15,64,GBR9922T,R&w,J/122,Andy Theobald,,29 May - 13:31:38,2 - 02:41:38,1.081,2 - 06:48:00,
16,63,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,29 May - 17:13:42,2 - 06:43:42,1.003,2 - 06:53:33,
