# 2017 RORC Mainseries Multihull - Entries: 14      Races Sailed: 4 (None) - 14 boats - https://www.rorc.org/raceresults/2017/multihullos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,3,Phaedo 3,MOD 70,Lloyd Thornburg,,,,1.980,,
,,ITA55,Maserati,Mod 70,Giovanni Soldini,,,,2.023,,
,,GBR788M,Hissy Fit,Dazcat 1495,Simon Baker,,,,1.227,,
,,POL6601,R-six,HH66,Robert Szustkowski,,,,1.235,,
,,GBR70,Concise 10,MOD 70,Tony Lawson,,,,1.965,,
,,FRA88,Acapella,Acapella,Charlie Capelle,,,,1.262,,
,,FRA888,Guyader Gastronomie,Ts42,Christian Guyader,,,,1.299,,
,,USA82946,Lucky Strike,Newick 50,Fred Ball,,,,1.332,,
,,FRA7,Olmix,50' Trimaran,Pierre Antoine,,,,1.421,,
,,GBR725M,Bare Necessities,Dazcat D1150,Bruce Sutherland,,,,1.221,,
,,NED8824,Trilogic,Multi 50,Hugo Karlsson-Smythe,,,,1.488,,
,,AUS3002,Morticia,Modified Sea Cart 30,Shaun Carroll,,,,1.586,,
,,GBR666M,Dazzla,Dazcat 46,Michael Butterfield,,,,1.208,,
,,USA5301,Fujin,Bieker 53,Greg Slyngstad,,,,1.537,,
