# 2017 RORC Mainseries IRC One - Morgan Cup Race (Fri 9 Jun 17 19:30:00) - 19 boats - https://www.rorc.org/raceresults/2017/one08.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,99,FRA43857,L'Ange De Milon,Milon 41,Jacques Pelletier,,10 Jun - 14:36:32,19:06:32,1.116,21:19:32,
2,93,LAT909,Orange Mecanix2,Xp 44 Sport,Maxime de Mareuil,,10 Jun - 14:34:38,19:04:38,1.134,21:38:01,
3,89,GBR236R,Erivale III,Ker 39,Michael Greville,,10 Jun - 14:52:36,19:22:36,1.117,21:38:37,
4,85,GBR4669R,Pata Negra,Lombard Irc 46,Giles Redpath,,10 Jun - 13:58:38,18:28:38,1.172,21:39:19,
5,82,FRA43799,Grain De Soleil 6,Vismara 40,Svilarich Nicolas,,10 Jun - 15:16:57,19:46:57,1.102,21:48:01,
6,79,GBR8248,Incisor,Corby 45,Windward Sailing,Cowes Race School – James Gair,10 Jun - 14:33:48,19:03:48,1.145,21:49:39,
7,77,GBR759R,Eclectic,Azuree 46,Colin Campbell,,10 Jun - 14:52:34,19:22:34,1.131,21:54:52,
8,75,GBR50L,Avatar,First 50,Jack Pringle,,10 Jun - 15:01:32,19:31:32,1.135,22:09:41,
9,73,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,10 Jun - 13:48:28,18:18:28,1.212,22:11:20,
10,71,SWE15,Matador,Elliot 44 Cr,Jonas Grander,,10 Jun - 13:39:27,18:09:27,1.226,22:15:40,
11,69,GBR1180X,Gallivanter,Mat 1180,Tor McLaren,Andrew Horrocks,10 Jun - 14:08:41,18:38:41,1.196,22:17:57,
12,67,RP45,Katsu,Reichel Pugh 45,Alan Hannon,Richard Fearon,10 Jun - 13:35:12,18:05:12,1.240,22:25:39,
13,65,GBR907R,Palpatine,Stimson 42,0,Tom Marsh,10 Jun - 16:40:43,21:10:43,1.114,23:35:35,
14,64,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,10 Jun - 17:01:22,21:31:22,1.107,23:49:33,
15,63,ESP10315,Stamina,Jnd 39,Michel Peretie,,10 Jun - 16:55:49,21:25:49,1.117,23:56:15,
16,62,NOR15500,Norxl,XP 50,Andreas Gottschling,,10 Jun - 15:23:18,19:53:18,1.207,1 - 00:00:19,
17,61,GBR917R,Andrasta,Iceni 39,Henry Bateson,,10 Jun - 16:18:15,20:48:15,1.164,1 - 00:12:58,
18,60,GBR1665,Desperado Of Cowes,Swan 65,Richard Loftus,,10 Jun - 17:51:24,22:21:24,1.112,1 - 00:51:38,
19,59,GBR9353T,CV 3,Clipper 68,Clipper Ventures,Andrew Woodruff,10 Jun - 17:47:21,22:17:21,1.236,1 - 03:32:58,
