# 2017 RORC Mainseries IRC One - Cowes Dinard St Malo Race (Fri 7 Jul 17 10:30:00) - 20 boats - https://www.rorc.org/raceresults/2017/one10.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR4921R,Ino XXX,HH42,James Neville,,8 Jul - 08:12:53,21:42:53,1.267,1 - 03:30:45,
2,94,GBR50L,Avatar,First 50,Jack Pringle,,8 Jul - 13:43:51,1 - 03:13:51,1.135,1 - 06:54:25,
3,90,GBR236R,Erivale III,Ker 39,Michael Greville,,8 Jul - 14:11:10,1 - 03:41:10,1.117,1 - 06:55:31,
4,86,GBR759R,Eclectic,Azuree 46,Colin Campbell,,8 Jul - 13:41:06,1 - 03:11:06,1.143,1 - 07:04:21,
5,83,GBR1180X,Gallivanter,Mat 1180,Tor McLaren,Andrew Horrocks,8 Jul - 12:38:36,1 - 02:08:36,1.195,1 - 07:14:29,
6,80,FRA346,Lann Ael 2,JNA 39,Didier Gaudoux,,8 Jul - 14:47:41,1 - 04:17:41,1.110,1 - 07:24:26,
7,78,FRA38757,Phosphorus II,A13,Mark Emerson,,8 Jul - 13:30:01,1 - 03:00:01,1.170,1 - 07:35:25,
8,76,FRA43857,L'Ange De Milon,Milon 41,Jacques Pelletier,,8 Jul - 14:56:46,1 - 04:26:46,1.116,1 - 07:44:45,
9,74,POL18855,Selma Racing,Reichel Pugh 48,Artur Skrzyszowski,,8 Jul - 12:23:10,1 - 01:53:10,1.236,1 - 07:59:43,
10,72,FRA43799,Grain De Soleil 6,Vismara 40,Svilarich Nicolas,,8 Jul - 15:51:39,1 - 05:21:39,1.102,1 - 08:21:20,
11,70,GBR2277L,Impulse,X 46,Pure Latitude,,8 Jul - 15:42:04,1 - 05:12:04,1.113,1 - 08:30:03,
12,68,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,8 Jul - 12:51:35,1 - 02:21:35,1.234,1 - 08:31:40,
13,66,GBR4669R,Pata Negra,Lombard Irc 46 2.50,Giles Redpath,,8 Jul - 14:30:31,1 - 04:00:31,1.164,1 - 08:36:07,
14,65,ESP10315,Stamina,MMW40,Michel Peretie,,8 Jul - 15:43:25,1 - 05:13:25,1.117,1 - 08:38:34,
15,64,GBR8633R,Jings!,J/133,David Ballantyne,,8 Jul - 16:02:07,1 - 05:32:07,1.107,1 - 08:41:44,
16,63,GBR562R,Night Owl II,Mat 12,Edmund Hall,,8 Jul - 15:51:39,1 - 05:21:39,1.124,1 - 09:00:06,
17,62,GER11,Hotspot,M34,Markus Renz,Soenke Bruhns,8 Jul - 15:44:37,1 - 05:14:37,1.138,1 - 09:16:45,
18,61,AUS7742,Kialoa II,S & S 73 Classic #1713,Patrick Broughton,David Sawdon,8 Jul - 17:35:46,1 - 07:05:46,1.180,1 - 12:41:36,
,10,GBR907R,Palpatine,Stimson 42,0,Tom Marsh,,,1.114,,DNF-Did Not Finish
,10,FRA36780,Warhorse,First 50,Nicolas Gourio,,,,1.117,,DNF-Did Not Finish
