# 2017 RORC Mainseries IRC Three - Myth of Malham Race (Sat 27 May 17 10:40:00) - 36 boats - https://www.rorc.org/raceresults/2017/three05.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,2H,29 May - 13:28:49,2 - 02:48:49,1.041,2 - 04:53:49,
2,94,FRA43645,Dream Pearls,JPK 10.80,Arnaud Delamare and Eric Mordret,Eric Mordret,29 May - 13:35:23,2 - 02:55:23,1.039,2 - 04:54:33,
3,90,GBR419R,Redshift Reloaded,Sun Fast 3600 2.15,Ed Fishwick,2H,29 May - 13:25:42,2 - 02:45:42,1.050,2 - 05:17:59,
4,86,GBR5936R,Game On,Sun Fast 3600,Ian Hoddle,2H,29 May - 14:05:30,2 - 03:25:30,1.041,2 - 05:32:00,
5,83,FRA43831,Timeline,JPK 10.80,Marc Alperovitch,,29 May - 13:55:15,2 - 03:15:15,1.046,2 - 05:36:43,
6,80,GBR888X,Sunrise,JPK 10.80,Thomas Kneen,,29 May - 14:07:32,2 - 03:27:32,1.043,2 - 05:40:18,
7,78,GBR979R,Malice,HOD 35,Mike Moxley,2H,29 May - 16:59:55,2 - 06:19:55,1.022,2 - 07:31:38,
8,76,GBR958R,Jangada,JPK 10.10,Richard Palmer,2H,29 May - 18:20:00,2 - 07:40:00,1.008,2 - 08:06:43,
9,74,GBR1508R,Judgement Day,J/109,Richard Marsden,2H,29 May - 18:19:28,2 - 07:39:28,1.013,2 - 08:22:53,
10,72,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,Rob Cotterill,29 May - 18:47:03,2 - 08:07:03,1.009,2 - 08:37:21,
11,70,GBR8541R,Jolly Jack Tar,J/109,RNSA,Joe Henry,29 May - 19:05:02,2 - 08:25:02,1.011,2 - 09:02:16,
12,68,GBR6070L,Scaramouche,Frers 45,Greig City Academy,Paul Letford,29 May - 19:07:00,2 - 08:27:00,1.025,2 - 09:51:41,
13,66,GBR6693T,Fandango,First 40.7,Matthew Muhlenkamp,Brendan McMahon,29 May - 18:25:03,2 - 07:45:03,1.045,2 - 10:15:35,
14,65,GBR2729R,Jellyfish,Sun Fast 3600,David Richards,2H,29 May - 18:23:00,2 - 07:43:00,1.047,2 - 10:20:07,
15,64,GBR9405R,Juliette,J/105,Jerry Freeman,2H,29 May - 20:52:38,2 - 10:12:38,1.004,2 - 10:26:36,
16,63,FRA43964,Voyager,Sun Fast 3600,Sergei Zhedik,,29 May - 18:54:31,2 - 08:14:31,1.044,2 - 10:43:00,
17,62,FRA15055,Princesse Gotionude,JOD 35,Nicolas Dezeustre,,29 May - 21:35:00,2 - 10:55:00,1.017,2 - 11:55:06,
18,61,GBR1415R,Kokomo,Prima 38,Steve Trigwell,,29 May - 22:02:44,2 - 11:22:44,1.050,2 - 14:20:52,
19,60,GBR4030N,Sunsail 4030,First 40 1.95 Sunsail,Michael Hlavaty,Sophie O'Neil,30 May - 00:55:00,2 - 14:15:00,1.040,2 - 16:44:24,
20,59,GBR407L,Manitoba,First 40.7,Chris Rushton,Andrew Holloway,30 May - 01:49:00,2 - 15:09:00,1.037,2 - 17:29:12,
21,58.5,GBR1174L,Taika,J/105,Stuart Rhys-williams,2H,30 May - 04:27:00,2 - 17:47:00,1.004,2 - 18:02:47,
,10,GBR9205R,Diablo-j,J/105,Nick Martin,2H,,,1.004,,DNF-Did Not Finish
,10,GBR5809R,Jelenko,J/109,Trevor Sainty,,,,1.006,,DNF-Did Not Finish
,10,USA44160,Finnish Line,Swan 44 Mk II,Michael Wilson,,,,1.008,,DNF-Did Not Finish
,10,GBR3L,Me Julie,J/109,Dom Monkhouse/Summit Sailing LLP,2H,,,1.009,,DNF-Did Not Finish
,10,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,2H,,,1.009,,DNF-Did Not Finish
,10,GBR7005R,Trojan,J/109,REYC Offshore Racing,Adam Hearn,,,1.010,,DNF-Did Not Finish
,10,GBR8529R,Jazzy Jellyfish,J/109,Jellyfish Charters,2H,,,1.011,,DNF-Did Not Finish
,10,GBR6809R,Jybe Talkin',J/109,Christopher Burleigh,,,,1.013,,DNF-Did Not Finish
,10,GBR8380R,Elixir,Elan 380,Felicity Gabbay,2H,,,1.022,,DNF-Did Not Finish
,10,GBR7735R,Eaujet,A 35,Richard Elliott,,,,1.023,,DNF-Did Not Finish
,10,TUR818,F35 Express,First 35 2.20 (09),Yigit Eroglu,,,,1.024,,DNF-Did Not Finish
,10,GBR4029R,Sunsail 4029,First 40 1.95 Sunsail,Michael Hlavaty,Sophie O'Neil,,,1.040,,DNF-Did Not Finish
,10,GBR9055R,Kira,Swan 55,James (jim) Dobie,,,,1.041,,DNF-Did Not Finish
,10,GBR8936,Black Sheep,Sun Fast 3600,Trevor Middleton,,,,1.048,,DNF-Did Not Finish
,10,GBR8383R,Assassin,Prima 38,Mark Brown,,,,1.049,,DNF-Did Not Finish
