# 2017 RORC Mainseries IRC Two - North Sea Race (Tue 30 May 17) - 17 boats - https://www.rorc.org/raceresults/2017/two06.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,97,NED9112,Ajeto!,J/122e,Robin Verhoef & John Van Der Starre,2H,31 May - 15:34:38,1 - 01:34:38,1.067,1 - 03:17:27,
2,91,GBR1293R,Batfish,Banner 41,Bart Desaunois,2H,31 May - 16:01:16,1 - 02:01:16,1.099,1 - 04:35:50,
3,87,NED7244,Junique Raymarine Sailing Team,J/122,Chris Revelman & Pascal Bakker,2H,31 May - 16:47:37,1 - 02:47:37,1.071,1 - 04:41:45,
4,83,NED6169,Elke,First 40,Frans & Carla Rodenburg,Frans Rodenburg,31 May - 17:09:55,1 - 02:36:55,1.086,1 - 04:54:15,
5,80,NED6586,Maverick,J/120,Chris Schram,2H,31 May - 18:15:57,1 - 04:15:57,1.053,1 - 05:45:50,
6,77,NED8844,Olympix,X 4,Hugo Gommers,,31 May - 18:40:14,1 - 04:07:14,1.062,1 - 05:51:51,
7,75,BEL12345,Azawakh,MC34 Patton,Vincent Willemart and Eric Van Campenhout,Vincent Willemart,31 May - 19:26:01,1 - 04:53:01,1.057,1 - 06:31:48,
8,73,BEL11111,Djinn,J/111,Sebastien De Liedekerke Beaufort,,31 May - 18:30:16,1 - 03:57:16,1.096,1 - 06:38:17,
9,71,GBR724R,40 Love,First 40,East Anglian Sea School,Peter Smith,31 May - 18:42:22,1 - 04:09:22,1.090,1 - 06:41:25,
10,69,NED8434,Pelgrim,Salona 41,Rimmer Stumpel,,31 May - 19:13:06,1 - 04:40:06,1.083,1 - 07:02:52,
11,67,NED6555,Delft Challenge,Farr 45,Tobias Tanis,,31 May - 20:02:52,1 - 05:29:52,1.066,1 - 07:26:41,
12,65,SUI4777,Kali,First 47.7,Benedikt Clauberg,,31 May - 20:52:27,1 - 06:19:27,1.093,1 - 09:08:40,
13,63,GBR2186L,Principessa,Grand Soleil 43,Andrew Beaumont-hope,,31 May - 22:26:50,1 - 07:53:50,1.066,1 - 10:00:09,
14,62,GBR3438L,Jameerah,J/120,Simon Ruffles,,31 May - 23:16:30,1 - 08:43:30,1.060,1 - 10:41:19,
15,61,GBR9974T,Mamacocha,Beneteau First 40.7,Pieter Visser,,1 Jun - 01:18:00,1 - 10:45:00,1.057,1 - 12:43:51,
16,60,NED8781,Plan B,Rommel 36 Er,Frans Driessen,,1 Jun - 01:38:00,1 - 11:05:00,1.056,1 - 13:02:53,
,10,GBR8606R,Booty!,Stewart 109,Kate Loveys,2H,,,1.090,,DNF-Did Not Finish
