# 2017 RORC Mainseries IRC Two - Cowes Dinard St Malo Race (Fri 7 Jul 17 10:20:00) - 30 boats - https://www.rorc.org/raceresults/2017/two10.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA35402,Black Jack,J/133,Eric Gicquel,,8 Jul - 13:15:16,1 - 02:55:16,1.093,1 - 05:25:29,
2,94,FRA38568,Pintia,J/133,Gilles Fournier / Corinne Migraine,Gilles Fournier,8 Jul - 13:24:23,1 - 03:04:23,1.092,1 - 05:33:50,
3,90,GBR4947R,Lisa,First 44.7,Nick & Suzi Jones,Michael Boyd,8 Jul - 13:26:53,1 - 03:06:53,1.098,1 - 05:46:19,
4,86,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,8 Jul - 15:00:24,1 - 04:40:24,1.059,1 - 06:21:54,
5,83,GBR42N,La Réponse,First 40,Andrew McIrvine,,8 Jul - 14:36:32,1 - 04:16:32,1.080,1 - 06:32:15,
6,80,FRA43749,Nutmeg Solidaire En Peloton,MC 34,Francois Lognone,Corentin Lognone,8 Jul - 15:08:34,1 - 04:48:34,1.063,1 - 06:37:28,
7,78,FRA35800,Iritis,First 40,Herve Benic,,8 Jul - 15:04:36,1 - 04:44:36,1.075,1 - 06:53:57,
8,76,FRA38580,Esparlica 3,Xp 38 2.40,Thierry de L'Aulnoit,,8 Jul - 15:15:32,1 - 04:55:32,1.070,1 - 06:57:01,
9,74,GBR4147L,Joanna Of Cowes,First 40,James Sweetman,,8 Jul - 15:27:50,1 - 05:07:50,1.077,1 - 07:22:25,
10,72,GBR7122X,Juno,J/122e,Christopher Daniel,,8 Jul - 15:13:08,1 - 04:53:08,1.093,1 - 07:34:19,
11,70,FRA25767,Exception,X 40,Patrick Ponchelet,,8 Jul - 16:23:54,1 - 06:03:54,1.059,1 - 07:50:20,
12,68,GBR4778R,Eh01,First 47.7,Global Yacht Racing,Dong Qing,8 Jul - 15:55:20,1 - 05:35:20,1.085,1 - 08:06:14,
13,66,GBR2806L,Winston Logic,First 40,Sailing Logic,Tim Scarisbrick,8 Jul - 16:15:39,1 - 05:55:39,1.074,1 - 08:08:32,
14,65,NED6586,Maverick,J/120,Chris Schram,2H,8 Jul - 16:52:43,1 - 06:32:43,1.053,1 - 08:09:51,
15,64,GBR970R,Jua Kali,Grand Soleil 43,Performance Yachting,Andras Bakody,8 Jul - 16:11:57,1 - 05:51:57,1.086,1 - 08:26:03,
16,63,GBR8405R,Olympia's Tigress,First 40,Susan Glenny / Tigress Sport,Susan Glenny,8 Jul - 16:15:25,1 - 05:55:25,1.085,1 - 08:28:02,
17,62,GBR7951R,Skylander,First 40,Yuri Fadeev,,8 Jul - 16:25:40,1 - 06:05:40,1.079,1 - 08:28:19,
18,61,GBR6840R,Lancelot II,First 40,Sailing Logic,Christopher Jackson,8 Jul - 16:47:13,1 - 06:27:13,1.075,1 - 08:44:15,
19,60,GBR3234L,Rocket Dog II,First 40,Sailing Logic,Julian Pearson,8 Jul - 17:05:49,1 - 06:45:49,1.068,1 - 08:51:20,
20,59,GBR8191R,British Soldier,X 41,Army Sailing Association,Donall Ryan,8 Jul - 16:38:17,1 - 06:18:17,1.100,1 - 09:20:07,
21,58.5,GBR8409R,Galahad Of Cowes,First 40,Ronan Banim,,8 Jul - 17:27:03,1 - 07:07:03,1.076,1 - 09:28:57,
22,58,GBR2186L,Principessa,Grand Soleil 43,Andrew Beaumont-hope,,8 Jul - 17:48:43,1 - 07:28:43,1.066,1 - 09:33:22,
23,57.5,GBR7408R,Arthur Logic,First 40,Sailing Logic,Bob Mechem,8 Jul - 17:49:19,1 - 07:29:19,1.069,1 - 09:39:41,
24,57,GBR3213L,Dusty P,First 40,Richard Patrick,Ashley Skett,8 Jul - 17:45:14,1 - 07:25:14,1.076,1 - 09:48:31,
25,56.5,FRA38249,Egor Glaz,Opium 39,Bizien-jaglin Jean-luc,,8 Jul - 18:48:22,1 - 08:28:22,1.075,1 - 10:54:30,
26,56,GBR9536R,Thunder 2,Mills 37,Vladimir Phillips,,8 Jul - 18:19:25,1 - 07:59:25,1.099,1 - 11:09:26,
,10,NED8489,Windshift,Varianta 44,Rob Bonte,Eric Zuidmeer,,,1.053,,DNF-Did Not Finish
,10,GBR3923L,Merlin,First 40,Sailing Logic,Simon Zavad,,,1.074,,DNF-Did Not Finish
,10,GBR8750R,Bella Of London,Grand Soleil 50,Mike Surridge,Michael Surridge,,,1.083,,DNF-Did Not Finish
,10,GBR4081L,Julia,Oceanis 55,Richard Neocleous,Louie Neocleous,,,1.096,,DNF-Did Not Finish
