# 2017 RORC Mainseries IRC Two - Rolex Middle Sea Race (Sat 21 Oct 17) - 24 boats - https://www.rorc.org/raceresults/2017/two14.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,USA93310,Triple Lindy,Swan 44 Mk II,Joseph Mele,,25 Oct - 09:15:11,3 - 21:55:11,1.055,4 - 03:05:07,
2,94,RUS2288,Rossko Sailing,Salona 41,,,25 Oct - 08:24:17,3 - 21:04:17,1.076,4 - 04:08:41,
3,90,CHI122,Anita,J-122,,,25 Oct - 10:43:00,3 - 23:23:00,1.089,4 - 07:52:21,
4,86,FRA9687,Stellar Racing Team,J-122,,,25 Oct - 16:03:50,4 - 04:43:50,1.078,4 - 12:35:15,
5,83,CZE517,Cassiopeia - Gumotex,Dufour 500 Gl,,,25 Oct - 20:16:28,4 - 08:56:28,1.075,4 - 16:48:42,
6,80,CRO772,Anatela,Grand Soleil 46.3,,,26 Oct - 12:46:20,5 - 01:26:20,1.085,5 - 11:45:40,
7,78,RUS14001,Jukebox,Imx 40,,,27 Oct - 04:05:34,5 - 16:45:34,1.069,6 - 02:11:45,
,10,ITA18192,Sail Racing Academy,First 40.7,,,,,1.055,,DNF-Did Not Finish
,10,GBR2645R,Alice,Bermudian Sloop,,,,,1.056,,DNF-Did Not Finish
,10,USA61023,Malemok,E450,,,,,1.064,,DNF-Did Not Finish
,10,SLO72,Macropus,Beneteau First 40.7,,,,,1.069,,DNF-Did Not Finish
,10,RUS030,Gagarin,First 47.7,,,,,1.072,,DNF-Did Not Finish
,10,FRA37250,Damacle Rc Broker,J122,,,,,1.077,,DNF-Did Not Finish
,10,ITA16907,O'Guerriero - Cs-Crv Anemos,Comet 41S,,,,,1.077,,DNF-Did Not Finish
,10,CRO1291,Prague Weekends,Grand Soleil 50,,,,,1.078,,DNF-Did Not Finish
,10,GBR1322,Joy,J122,,,,,1.080,,DNF-Did Not Finish
,10,MLT274,Ton Ton Malta Charters,Dufour 44R,,,,,1.083,,DNF-Did Not Finish
,10,ITA15757,Zahir,Elan 410,,,,,1.084,,DNF-Did Not Finish
,10,MLT142,Unica,Solaris One 42,,,,,1.084,,DNF-Did Not Finish
,10,GBR8221R,Jolou,J122,,,,,1.086,,DNF-Did Not Finish
,10,MLT47,Otra Vez,J122,,,,,1.086,,DNF-Did Not Finish
,10,RUS2790,Courrier Du Coeur,Bermudian Sloop,,,,,1.097,,DNF-Did Not Finish
,10,FRA27967,Jivaro,J133,,,,,1.099,,DNF-Did Not Finish
,10,GBR6053L,Ballytrim,Swan 53,,,,,1.100,,DNF-Did Not Finish
