# 2017 RORC Mainseries IRC Two-Handed - Cervantes Trophy Race (Sat 29 Apr 17) - 18 boats - https://www.rorc.org/raceresults/2017/twohanded03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,98,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,,30 Apr - 00:54:25,15:34:25,1.041,16:12:44,
2,92,GBR419R,Redshift Reloaded,Sun Fast 3600 2.15,Ed Fishwick,,30 Apr - 01:02:16,15:32:16,1.052,16:20:45,
3,88,GBR4436,Blue Note,Jpk 10.80,Stephen Hopson,,30 Apr - 01:04:56,15:34:56,1.055,16:26:21,
4,84,GBR5936R,Game On,Sun Fast 3600,Ian Hoddle,,30 Apr - 01:11:11,15:51:11,1.041,16:30:11,
5,81,GBR958R,Jangada,JPK 10.10,Richard Palmer,,30 Apr - 01:43:38,16:23:38,1.008,16:31:30,
6,78,GBR3789L,Just Plain Krazy,Jpk 10.10,Stephen Hills,,30 Apr - 01:43:38,16:33:38,0.999,16:32:38,
7,76,FRA34824,Kia Ora,Jpk 9.60,Olivier Hays,,30 Apr - 02:02:59,16:52:59,0.986,16:38:48,
8,74,GBR9205R,Diablo-j,J/105,Nick Martin,,30 Apr - 02:11:49,16:51:49,1.004,16:55:52,
9,72,GBR7383R,Puma,Reflex 38,Stuart Wilkie,,30 Apr - 01:36:42,16:06:42,1.052,16:56:58,
10,70,GBR5809R,Jelenko,J/109,Trevor Sainty,Simon Forbes,30 Apr - 02:14:42,16:54:42,1.006,17:00:47,
11,68,GBR9405R,Juliette,J105,Jerry Freeman,,30 Apr - 02:16:58,16:56:58,1.004,17:01:02,
12,66,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,,30 Apr - 02:26:49,17:16:49,0.995,17:11:38,
13,64,GBR7716R,Psipsina,Hod 35,Bernie Bingham,,30 Apr - 02:32:24,17:22:24,1.001,17:23:27,
14,63,MLT105,Bigfoot,J/105,Robert Nelson,,30 Apr - 02:41:00,17:31:00,0.997,17:27:51,
15,62,GBR8380R,Elixir,Elan 380,Felicity Gabbay,,30 Apr - 02:27:54,17:07:54,1.022,17:30:31,
16,61,GBR536,Zest,Humphreys 36 Custom,Kathryn Schmitt,,30 Apr - 03:22:28,18:12:28,0.988,17:59:21,
,10,GBR5253,Silver Shamrock,Shamrock 1/2 Ton,Stuart Greenfield,,,,0.887,,DNF-Did Not Finish
,10,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,,,,0.956,,DNF-Did Not Finish
