# 2017 RORC Mainseries IRC Two-Handed - De Guingand Bowl Race (Sat 13 May 17) - 20 boats - https://www.rorc.org/raceresults/2017/twohanded04.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR5936R,Game On,Sun Fast 3600,Ian Hoddle,,14 May - 01:54:31,16:44:31,1.041,17:25:42,
2,94,GBR6664R,Fastrak XI,Sun Fast 3200 R2,Nigel De Quervain Colley,,14 May - 02:31:28,17:21:28,1.006,17:27:43,
3,90,GBR419R,Redshift Reloaded,Sun Fast 3600 2.15,Ed Fishwick,,14 May - 01:48:28,16:38:28,1.050,17:28:23,
4,86,GBR958R,Jangada,Jpk 10.10,Richard Palmer,,14 May - 02:32:36,17:22:36,1.008,17:30:56,
5,83,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,,14 May - 02:02:25,16:52:25,1.041,17:33:56,
6,80,GBR9205R,Diablo-j,J/105,Nick Martin,,14 May - 03:03:43,17:53:43,1.004,17:58:01,
7,78,GBR9604R,Nunatak,J/120,Elin Haf Davies and Chris Frost,,14 May - 02:24:59,17:04:59,1.056,18:02:23,
8,76,FRA34824,Kia Ora,Jpk 9.60,Olivier Hays,,14 May - 03:19:39,18:19:39,0.986,18:04:15,
9,74,GBR9405R,Juliette,J105,Jerry Freeman,,14 May - 03:10:22,18:00:22,1.004,18:04:41,
10,72,MLT105,Bigfoot,J/105,Robert Nelson,,14 May - 03:09:00,18:09:00,1.001,18:10:05,
11,70,GBR979R,Malice,HOD 35,Mike Moxley,,14 May - 02:59:24,17:49:24,1.022,18:12:56,
12,68,GBR2729R,Jellyfish,Sunfast 3600,David Richards,,14 May - 02:49:18,17:39:18,1.047,18:29:05,
13,66,GBR7735R,Eaujet,A 35,Richard Elliott,,14 May - 03:16:29,18:06:29,1.023,18:31:28,
14,65,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,,14 May - 04:04:32,19:04:32,0.995,18:58:49,
15,64,GBR3936,British Beagle,Sigma 36,Charles Emmett,,14 May - 05:17:46,20:17:46,0.936,18:59:50,
16,63,GBR1174L,Taika,J/105,Stuart Rhys-williams,,14 May - 04:11:49,19:01:49,1.004,19:06:23,
17,62,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,,14 May - 05:48:14,20:48:14,0.956,19:53:19,
18,61,GBR4272L,Grace,Rm 1270,Chris Lewns,,14 May - 04:36:18,19:26:18,1.028,19:58:57,
19,60,GBR7716R,Psipsina,Hod 35,Bernie Bingham,,14 May - 08:58:05,23:58:05,1.001,23:59:31,
,10,GBR8380R,Elixir,Elan 380,Felicity Gabbay,,,,1.022,,DNF-Did Not Finish
