# 2017 RORC Mainseries IRC Two-Handed - Channel Race (Sat 22 Jul 17) - 17 boats - https://www.rorc.org/raceresults/2017/twohanded11.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,97,FRA38895,Night And Day,Jpk 10.10,Pascal Loison,,23 Jul - 12:36:22,1 - 02:36:22,1.003,1 - 02:41:09,
2,91,GBR5936R,Game On,Sun Fast 3600,Ian Hoddle,,23 Jul - 12:46:42,1 - 02:36:42,1.041,1 - 03:42:10,
3,87,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,,23 Jul - 13:23:56,1 - 03:13:56,1.041,1 - 04:20:55,
4,83,GBR3789L,Just Plain Krazy,Jpk 10.10,Stephen Hills,,23 Jul - 14:50:24,1 - 04:40:24,0.999,1 - 04:38:41,
5,80,GBR9205R,Diablo-j,J/105,Nick Martin,,23 Jul - 15:05:33,1 - 04:55:33,1.004,1 - 05:02:30,
6,77,ANT486,Sleeper 11,J/11s,Jonty Layfield,,23 Jul - 14:26:04,1 - 04:16:04,1.050,1 - 05:40:52,
7,75,GBR5253,Silver Shamrock,Shamrock 1/2 Ton Prototype,Stuart Greenfield,,23 Jul - 20:23:52,1 - 10:23:52,0.887,1 - 06:30:39,
8,73,GBR8956R,Mzungu,Sun Fast 3200,Tony White,,23 Jul - 17:02:57,1 - 07:02:57,0.997,1 - 06:57:22,
9,71,MLT105,Bigfoot,J/105,Robert Nelson,,23 Jul - 16:58:40,1 - 06:58:40,1.001,1 - 07:00:32,
10,69,NED6586,Maverick,J/120,Chris Schram,,23 Jul - 15:55:30,1 - 05:35:30,1.053,1 - 07:09:36,
11,67,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,,23 Jul - 19:04:10,1 - 09:04:10,0.956,1 - 07:36:52,
12,65,GBR4272L,Grace,Rm 1270,Chris Lewns,,23 Jul - 17:02:12,1 - 06:52:12,1.028,1 - 07:44:04,
13,63,GBR7657T,Castalia,Sun Fast 37,Andrew Butler,,23 Jul - 19:36:42,1 - 09:36:42,0.979,1 - 08:54:21,
14,62,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,,23 Jul - 19:04:33,1 - 09:04:33,0.995,1 - 08:54:38,
15,61,GBR8805R,Jaldi,J/105,Mary Sturgess,,24 Jul - 06:19:24,1 - 20:19:24,1.000,1 - 20:19:24,
,10,GBR9604R,Nunatak,J/120,Elin Haf Davies and Chris Frost,,,,1.056,,DNS-Did Not Start
,10,GBR419R,Redshift Reloaded,Sun Fast 3600,Ed Fishwick,,,,1.050,,DNF-Did Not Finish
