# 2018 RORC Mainseries Class 40 - Sevenstar Round Britain and Ireland Race (Sun 12 Aug 18 12:00:00) - 11 boats - https://www.rorc.org/raceresults/2018/classforty11.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,91,GBR130,Imerys Clean Energy,Class40,Phil Sharp,Phil Sharp,20 Aug - 16:14:49,8 - 04:14:49,,,
2,85,GBR129,Concise 8,Class40,Tony Lawson,Jack Trigger,20 Aug - 22:39:15,8 - 10:39:15,,,
3,81,FRA101,Colombre XL,Class40,Charles-louis Mourruau,Charles-Louis Mourruau - The Lost Boys,21 Aug - 21:45:43,9 - 09:45:43,,,
4,77,FRA135,Region Normandie,Class40,Hannah Stodel,Hannah Stodel,23 Aug - 22:07:29,11 - 10:07:29,,,
5,74,FIN38,Fuji,Class40,Ari Kaensaekoski,Ari Kaensaekoski,24 Aug - 17:15:42,12 - 05:15:42,,,
,10,FRA26,Sensation Class 40,Class40,Marc Lepesqueux,,,,,,DNF-Did Not Finish
,10,FRA81,Esprit Scout,Class40,Marc Dubos,,,,,,DNF-Did Not Finish
,10,FRA147,Campagne De France,Class40,Halvard Mabire,Miranda Merron,,,,,DNF-Did Not Finish
,10,FRA148,Oman Sail,Class40,Sandrine Pelletier,Guillaume le Brec,,,,,DNF-Did Not Finish
,10,FRA155,Corum,Mach 40.3,Nicolas Troussel,,,,,,DNF-Did Not Finish
,10,GBR137,Phor-ty,Class40,Sam Goodchild,,,,,,DNF-Did Not Finish
