# 2018 RORC Mainseries IRC Four - East Coast Race (Thu 21 Jun 18 06:55:00) - 10 boats - https://www.rorc.org/raceresults/2018/four06.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,90,GBR7317,Xray,,A Baker,,16:32:00,9:37:00,0.946,9:05:51,
2,84,GBR3113,Eclipse,,D Cowan,,16:52:31,9:57:31,0.924,9:12:06,
3,80,GBR9698,Alchemy,,E Harrison,,17:28:15,10:33:15,0.883,9:19:10,
4,76,GBR8354,Spirit,,P Scott,,16:33:24,9:38:24,0.976,9:24:31,
5,73,BEL3100,Tasman,,Bart Wauters,,16:28:00,9:33:00,0.993,9:28:59,
6,70,GBR4227L,Lyra Of London,,M Delap,,16:47:24,9:52:24,0.998,9:51:13,
7,68,GBR4950,Woozle Hunter,,P Hammond / D Harrington-Lynn / A Pentelow / A Thomas,,17:44:00,10:49:00,0.914,9:53:11,
8,66,GBR2000,Golden Fleece,,M Wheeler,,17:40:50,10:45:50,0.941,10:07:44,
9,64,GBR1356,Starcharger,,A Kearin,,17:20:52,10:25:52,0.986,10:17:06,
,10,GBR8804R,Charlie Don't Surf,,A & D Gibbons,,,,0.973,,DNS-Did Not Start
