# 2018 RORC Mainseries IRC Overall - Morgan Cup Race (Fri 22 Jun 18) - 38 boats - https://www.rorc.org/raceresults/2018/ircoverall07.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR704R,Philosophie IV,First 40.7,Nicolas Gaumont-prat,,23 Jun - 16:59:10,21:59:10,1.042,22:54:34,
2,94,NED61137,Baraka Gp,Ker 43,Harmen Jan de Graaf,,23 Jun - 13:01:06,18:01:06,1.277,23:00:34,
3,90,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,23 Jun - 13:39:30,18:39:30,1.237,23:04:49,
4,86,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,23 Jun - 16:51:50,21:51:50,1.060,23:10:33,
5,83,LAT909,Orange Mecanix2,Xp 44 Sport,Maxime de Mareuil,,23 Jun - 15:38:14,20:38:14,1.133,23:22:55,
6,80,GBR6255N,Lady Mariposa,Ker 46,Lady Mariposa Racing Inc,Daniel Hardy,23 Jun - 12:59:15,17:59:15,1.300,23:23:02,
7,78,NED118,Winsome,S&S 41,Harry J. Heijst,,23 Jun - 19:11:01,1 - 00:11:01,0.991,23:57:57,
8,76,GBR9536R,Thunder 2,Mills 37,Vladimir Phillips,,23 Jun - 16:56:30,21:56:30,1.097,1 - 00:04:12,
9,74,GBR8191R,British Soldier,X 41,Army Sailing Association,Andrew Britton,23 Jun - 16:57:56,21:57:56,1.096,1 - 00:04:27,
10,72,GBR4300,Imperator,Sj 35,Paul Waxman,,23 Jun - 20:42:56,1 - 01:42:56,0.938,1 - 00:07:16,
11,70,GBR5936R,Game On,Sun Fast 3600,Ian Hoddle,Oliver Wyatt,23 Jun - 18:18:24,23:18:24,1.040,1 - 00:14:20,
12,68,GBR2729R,Jellyfish,Sun Fast 3600,David Richards,Kevin Armstrong,23 Jun - 18:10:26,23:10:26,1.048,1 - 00:17:10,
