# 2018 RORC Mainseries IRC Overall - De Guingand Bowl Race (Sat 25 Aug 18 10:00:00) - 17 boats - https://www.rorc.org/raceresults/2018/ircoverall12.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,97,GBR741R,Hooligan VII,Ker 40,Edward Broadway,Edward Broadway,26 Aug - 05:33:55,19:33:55,1.237,1 - 00:12:08,
2,91,FRA43933,Raging-Bee² - SL Énergies Groupe,Jpk 10.80,Louis-Marie Dussere,Charmy Laurent,26 Aug - 09:39:03,23:39:03,1.033,1 - 00:25:53,
3,87,FRA38757,Phosphorus II,A13,Mark Emerson,Mark Emerson,26 Aug - 06:54:20,20:54:20,1.171,1 - 00:28:49,
4,83,FRA37310,Foggy Dew,Jpk 10.10,Noel Racine,Noel Racine,26 Aug - 10:46:52,1 - 00:46:52,1.000,1 - 00:46:52,
5,80,GBR759R,Eclectic,Azuree 46,Colin Campbell,Colin Campbell,26 Aug - 07:59:40,21:59:40,1.139,1 - 01:03:06,
6,77,GBR958R,Jangada,Jpk 10.10,Richard Palmer,Richard Palmer,26 Aug - 11:10:52,1 - 01:10:52,1.006,1 - 01:19:56,
7,75,GBR6255N,Lady Mariposa,Ker 46,Lady Mariposa Racing Inc,Daniel Hardy,26 Aug - 05:32:21,19:32:21,1.304,1 - 01:28:45,
8,73,GBR3200N,All Or Nothing,Sun Fast 3200,Chris Blackburn & Simon Dipple,Chris Blackburn & Simon Dipple,26 Aug - 11:39:53,1 - 01:39:53,0.994,1 - 01:30:39,
9,71,FRA34824,Kia Ora,Jpk 9.60,Olivier Hays,Olivier Hays,26 Aug - 11:56:18,1 - 01:56:18,0.986,1 - 01:34:31,
10,69,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie and Deb Fish,26 Aug - 10:34:31,1 - 00:34:31,1.041,1 - 01:34:58,
11,67,GBR795R,Diablo,Sun Fast 3600,Nick Martin,Nick Martin,26 Aug - 10:47:58,1 - 00:47:58,1.035,1 - 01:40:03,
12,65,GBR8936R,Black Sheep,Sun Fast 3600,Trevor Middleton,Trevor Middleton,26 Aug - 10:31:51,1 - 00:31:51,1.049,1 - 01:43:58,
13,63,GBR2729R,Jellyfish,Sun Fast 3600,David Richards,Kevin Armstrong,26 Aug - 11:07:58,1 - 01:07:58,1.048,1 - 02:20:21,
14,62,GBR6840R,Lancelot II,First 40,Sailing Logic,Peter Burwood,26 Aug - 10:59:39,1 - 00:59:39,1.075,1 - 02:52:07,
15,61,GBR8191R,British Soldier,X 41,Army Sailing Association,Paul Macro,26 Aug - 10:48:24,1 - 00:48:24,1.096,1 - 03:11:17,
16,60,HKG2192,Double Edge,Corby 38,Chris Schram,Chris Schram,26 Aug - 10:31:16,1 - 00:31:16,1.109,1 - 03:11:38,
,10,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,Rob Cotterill,,,1.010,,RET-Retired
