# 2018 RORC Mainseries IRC Overall - Rolex Middle Sea Race (Sat 20 Oct 18 11:00:00) - 115 boats - https://www.rorc.org/raceresults/2018/ircoverall14.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA53037,Courrier Recommande,Jpk 11.80,Arnaud Aubry,Aubry,24 Oct - 01:36:33,3 - 14:36:33,1.093,3 - 22:39:50,
2,94,CZE97,Bohemia Praha Debra,FIGARO Beneteau II,Milan Tomek,Milan Tomek,24 Oct - 08:15:06,3 - 21:15:06,1.058,4 - 02:39:37,
3,90,FRA830,Albator,MN43,Frantz Philippe,Frantz Philippe,23 Oct - 23:53:57,3 - 12:53:57,1.169,4 - 03:14:50,
4,86,AUT2895,Lunz Am Meer,Swan 651,Riccardo Genghini,Riccardo Genghini,24 Oct - 00:03:44,3 - 13:03:44,1.169,4 - 03:26:16,
5,83,NED46,Tonnerre De Glen,Ker 46,Dominique Tian,Dominique Tian,23 Oct - 17:07:45,3 - 06:07:45,1.274,4 - 03:32:12,
6,80,GBR880X,Rossko,JPK 10.80,Timofey Zhbankov,Timofey Zhbankov,24 Oct - 10:50:34,3 - 23:50:34,1.042,4 - 03:52:05,
7,78,GRE53,Optimum 3,FARR 52OD,Periklis Livas & Nikolaos Lazos,Periklis Livas & Nikolaos Lazos,23 Oct - 15:09:25,3 - 04:09:25,1.312,4 - 03:55:04,
8,76,GBR419R,Redshift Reloaded,Sunfast 3600,Ed Fishwick,Ed Fishwick,24 Oct - 10:04:21,3 - 23:04:21,1.051,4 - 03:55:16,
9,74,ITA4888,Endlessgame,Cookson 50,Pietro Moschini,Pietro Moschini,23 Oct - 12:18:41,3 - 01:18:41,1.364,4 - 03:59:48,
10,72,FRA43853,Solenn,JPK 10.80,Gerard Ludovic,Gerard Ludovic,24 Oct - 11:12:34,4 - 00:12:34,1.043,4 - 04:20:47,
11,70,FRA5200,Arobas²,IRC52,Gérard Logel,Gérard Logel,23 Oct - 12:06:18,3 - 01:06:18,1.391,4 - 05:41:21,
12,68,ITA29141,Freccia Rossa,TP52,Yakimenko Vadim,Yakimenko Vadim,23 Oct - 13:34:24,3 - 02:34:24,1.364,4 - 05:43:05,
13,66,ITA17017,Fra Diavolo,Mylius 60,Vincenzo Addessi,Vincenzo Addessi,23 Oct - 16:01:31,3 - 05:01:31,1.321,4 - 05:45:01,
14,65,MLT450,Elusive 2,Beneteau First 45`,"Christoph, Aaron & Maya Podesta","Christoph, Aaron & Maya Podesta",24 Oct - 06:37:53,3 - 19:37:53,1.111,4 - 05:48:09,
15,64,ITA17001,Ars Una,Mylius 15e25,Vittorio Biscarini,Vittorio Biscarini,23 Oct - 20:52:30,3 - 09:52:30,1.251,4 - 06:25:32,
16,63,GBR3098L,Be Wild,SWAN42,Renzo Grottesi,Renzo Grottesi,24 Oct - 02:56:32,3 - 15:56:32,1.168,4 - 06:42:59,
17,62,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,Ross Applebey,24 Oct - 11:31:11,4 - 00:31:11,1.067,4 - 06:59:12,
18,61,MLT9939,Xp-Act,Xp44,Timmy Camilleri,Timmy Camilleri,24 Oct - 06:11:24,3 - 19:11:24,1.138,4 - 07:46:27,
19,60,IVB72,Momo,Maxi 72,Dieter Schön,Dieter Schön,23 Oct - 03:19:39,2 - 16:19:39,1.614,4 - 07:49:29,
20,59,MLT1551,Comanche Raider III,Farr 45,Ramon Sant Hill,Ramon Sant Hill,24 Oct - 02:23:25,3 - 15:23:25,1.193,4 - 08:15:24,
21,58.5,GBR8250R,Bora Fast,Sunfast 3600,Piercarlo Antonelli,Piercarlo Antonelli,24 Oct - 15:12:46,4 - 04:12:46,1.041,4 - 08:19:17,
22,58,ITA50501,Verve-Camer,Comet Carbon Race,Giuseppe Greco,Giuseppe Greco,23 Oct - 20:33:45,3 - 09:33:45,1.285,4 - 08:48:28,
23,57.5,7,2ndChance,Swan 82,2ndChance,2Ndchance,23 Oct - 14:47:02,3 - 03:47:02,1.385,4 - 08:57:38,
24,57,CHI122,Anita,J-122,Nicolas Ibañez Scott,Nicolas Ibañez Scott,24 Oct - 11:28:39,4 - 00:28:39,1.089,4 - 09:03:50,
