# 2018 North Sea Race - ORC Overall - North Sea Race (Fri 11 May 18) - 35 boats - https://www.rorc.org/raceresults/2018/nsr-orcov01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,NED101,Sailselect,Varianta 37,Jeroen Koninkx,,12 May - 18:04:39,1 - 06:14:39,0.9798,1 - 05:38:00,
2,94,NED7935,Flying Dolphin,Dufour 40 Performance,Willem de Jonge van Ellemeet,,12 May - 17:23:01,1 - 05:33:01,1.0075,1 - 05:46:19,
3,90,GBR362,Extra Djinn,X 362 S,Michel Dorsman,,12 May - 18:03:59,1 - 06:13:59,0.985,1 - 05:46:46,
4,86,NED7307,Rosetta From The Rocks,Dehler 36 Jv,Radboud Crul,,12 May - 17:57:36,1 - 06:07:36,0.9913,1 - 05:51:52,
5,83,NED6428,Griel,Dehler 39,Robert Jockin,,12 May - 17:49:38,1 - 05:59:38,1.000,1 - 05:59:38,
6,80,NED7439,Jai Alai,J/109,Alain Bornet,,12 May - 17:43:24,1 - 05:53:24,1.0049,1 - 06:02:11,
7,78,NED7975,Blue June,Standfast 43,Henk Zomer,2H,12 May - 18:44:41,1 - 07:14:41,0.9618,1 - 06:03:04,
8,76,DEN68,Hansen,X37,Michael Mollmann,,12 May - 17:23:19,1 - 05:33:19,1.019,1 - 06:07:01,
9,74,GBR8532R,Firestorm,J/109,Wim van Slooten,2H,12 May - 18:05:49,1 - 06:35:49,0.9893,1 - 06:16:10,
10,72,FRA34983,Decatur,Archambault A35,Tom Stoutenburg,Arjen de Zeeuw,12 May - 17:45:17,1 - 05:55:17,1.0127,1 - 06:18:05,
11,70,NED8436,Saffier Nitro,Saffier 36,Dean Hennevanger,,12 May - 17:24:14,1 - 05:34:14,1.025,1 - 06:18:35,
12,68,NED9112,Ajeto!,J/122e,Robin Verhoef & John Van Der Starre,2H,12 May - 16:33:57,1 - 05:03:57,1.043,1 - 06:18:56,
13,66,GBR8876T,Panther,J/105,Yvonne Beusker & Edith Voskamp,2H,12 May - 18:52:49,1 - 07:22:49,0.967,1 - 06:20:41,
14,65,NED8276,Joule,J-109,Arjen van Leeuwen,,12 May - 17:56:05,1 - 06:06:05,1.009,1 - 06:22:20,
15,64,NED8530,Letitgo3,X 40,Willem Johannesma,,12 May - 17:59:43,1 - 06:09:43,1.015,1 - 06:36:52,
16,63,NED7020,Team Heiner III,Maxfun35,Roy Heiner,,12 May - 17:20:03,1 - 05:30:03,1.038,1 - 06:37:19,
17,62,BEL3590,Amaris 2,Archambault A35,Gabriel Krier,,12 May - 17:55:26,1 - 06:05:26,1.018,1 - 06:37:56,
18,61,NED2018,W36 Hubo,Waarschip W36 Worlds Edition,Erik Van Vuuren,Rogier Van Overveld,12 May - 17:17:32,1 - 05:27:32,1.041,1 - 06:40:00,
19,60,NED7800,Arethusa,J/109,Kees Mijs,2H,12 May - 18:29:10,1 - 06:59:10,0.991,1 - 06:42:26,
20,59,GBR621R,Ondeugd,Corby 36,Roland Berends,,12 May - 17:19:13,1 - 05:29:13,1.042,1 - 06:43:31,
21,58.5,NED7643,Joris K,Elan 37,Jaap Kakebeeke,,12 May - 18:56:39,1 - 07:06:39,0.989,1 - 06:46:07,
22,58,NED6169,Elke,First 40,Frans & Carla Rodenburg,Frans Rodenburg,12 May - 16:34:34,1 - 04:44:34,1.071,1 - 06:47:01,
23,57.5,NED1100,Jaffix,Ff 1100,Floris Ingen Housz,,12 May - 18:50:19,1 - 07:00:19,0.996,1 - 06:52:53,
24,57,NED7244,Junique Raymarine Sailing Team,J/122,Chris Revelman & Pascal Bakker,2H,12 May - 17:01:06,1 - 05:31:06,1.049,1 - 06:57:53,
25,56.5,NED27,Formidable,A.c.,Lout Verder,,12 May - 17:23:01,1 - 05:33:01,1.050,1 - 07:01:40,
26,56,NED5810,Irish Mist,Oyster Lightwave 395,Lukas Phaf,,12 May - 18:11:07,1 - 06:21:07,1.024,1 - 07:04:49,
27,55.5,NED8703,Silver,Salona 37,Marcel Polderman,2H,12 May - 18:55:15,1 - 07:25:15,0.991,1 - 07:08:17,
28,55,NED8844,Olympix,X 4,Hugo Gommers,,12 May - 17:22:27,1 - 05:32:27,1.057,1 - 07:13:29,
29,54.5,NED7786,Ijsvogel,Maxi 1300,Marcel Schuttelaar,,12 May - 17:42:23,1 - 05:52:23,1.048,1 - 07:18:25,
30,54,HKG2192,Double Edge,Corby 38,Chris Schram,2H,12 May - 16:34:11,1 - 05:04:11,1.078,1 - 07:20:14,
31,53.5,GBR1513L,Il Corvo,Grand Soleil 43,Astrid De Vin,2H,12 May - 16:21:44,1 - 04:51:44,1.095,1 - 07:36:15,
32,53,NED8017,Tuimelaar,X 41 2.50,Maarten Sanders,,12 May - 17:17:13,1 - 05:27:13,1.081,1 - 07:50:22,
33,52.5,NED17001,Van Uden,Ker 46,Van Uden Holding B.V,,12 May - 13:16:50,1 - 01:26:50,1.298,1 - 09:01:50,
34,52,NED8872,De Prins,Hanse 470e,Ronald Prins,,12 May - 18:43:34,1 - 06:53:34,1.130,1 - 10:54:32,
,10,NED8083,Hemels Van Der Hart,Th 38,Roy Heiner,2H,,,1.146,,DNF-Did Not Finish
