# 2018 One Ton Cup - Entries: 11      Races Sailed: 9      Discard: 1 (None) - 11 boats - https://www.rorc.org/raceresults/2018/otcos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,SWE41,Rán,Fast 40,Niklas Zennstrom,,,,1.270,,
,,GBR50R,Girls On Film,Carkeek 40 Mk3,Peter Morton,,,,1.269,,
,,NED8809,Hitchhiker,Fast 40,Bastiaan Voogd,,,,1.270,,
,,GBR8449R,Rebellion,Carkeek 40 Mk 3,Stewart Whitehead,,,,1.269,,
,,SUI19,Jubilee,Gp 42,Tony Dickin,,,,1.268,,
,,GBR1682R,Tokoloshe II,Gp 42,Michael Bartholomew,,,,1.266,,
,,GBR9463R,Pace,Ker40+,Niall Dowling,,,,1.269,,
,,SWE5,Elvis,Ker 40+,Filip Engelbert,,,,1.264,,
,,GBR4921R,Ino XXX,Hh42,James Neville,,,,1.269,,
,,GBR4242C,Zephyr,Gp 42,Steve Cowie,,,,1.269,,
,,USA61136,Tschüss,Ker 40+,Christian Zugel,,,,1.267,,
