# 2018 RORC Mainseries IRC Three - Volvo Round Ireland Race (Sat 30 Jun 18 14:00:00) - 14 boats - https://www.rorc.org/raceresults/2018/three08.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,94,IRL1206,Joker II,J 109 2.10,Barry Byrne,,5 Jul - 20:09:53,5 - 06:09:53,1.011,5 - 07:33:09,
2,88,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie and Deb Fish,5 Jul - 19:52:52,5 - 05:52:52,1.041,5 - 11:02:32,
3,84,IRL8088,Jedi,J/109,Kenneth Rumball,Michael Boyd,6 Jul - 01:16:59,5 - 11:16:59,1.014,5 - 13:07:16,
4,80,IRL3516,Platinum Blonde,First 35 Carbon,Paul Egan,,6 Jul - 01:34:18,5 - 11:34:18,1.013,5 - 13:16:56,
5,77,GBR5909R,Wakey Wakey,J/109,Roger Smith,,6 Jul - 03:25:35,5 - 13:25:35,1.009,5 - 14:37:38,
6,74,FRA35914,Hakuna Matata,Sun Fast 3200,Jean-Francois Nouel,,6 Jul - 04:13:24,5 - 14:13:24,1.005,5 - 14:53:40,
7,72,GBR958R,Jangada,Jpk 10.10,Richard Palmer,,6 Jul - 04:14:56,5 - 14:14:56,1.008,5 - 15:19:22,
8,70,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,6 Jul - 01:20:58,5 - 11:20:58,1.035,5 - 15:56:48,
9,68,IRL6695,Eos,X 362 Sport,Cian McCarthy,,6 Jul - 06:18:08,5 - 16:18:08,1.004,5 - 16:50:51,
10,66,IRL3618,Yoyo,Sunfast 3600,Brendan Coghlan,,6 Jul - 05:19:43,5 - 15:19:43,1.036,5 - 20:12:02,
11,64,IRL7386,Lynx Clipper,Reflex 38,David O'Connor,,6 Jul - 04:47:36,5 - 14:47:36,1.050,5 - 21:31:59,
12,62,GBR9380R,Forward Thinking,Reflex 38,Stephen Nicholls,Tony Martin,6 Jul - 08:04:49,5 - 18:04:49,1.037,5 - 23:11:21,
13,60,GBR8134T,Mojo,J/105,Edward Paul Hampson,,7 Jul - 05:13:40,6 - 15:13:40,1.004,6 - 15:51:53,
,10,GBR6908R,Ajax,J/109,Royal Armoured Corps Yacht Club,Matthew Plumridge,,,1.008,,DNF-Did Not Finish
