# 2018 RORC Mainseries IRC Three - Rolex Middle Sea Race (Sat 20 Oct 18 11:00:00) - 17 boats - https://www.rorc.org/raceresults/2018/three14.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,97,GBR880X,Rossko,JPK 10.80,Timofey Zhbankov,Timofey Zhbankov,24 Oct - 10:50:34,3 - 23:50:34,1.042,4 - 03:52:05,
2,91,FRA43853,Solenn,JPK 10.80,Gerard Ludovic,Gerard Ludovic,24 Oct - 11:12:34,4 - 00:12:34,1.043,4 - 04:20:47,
3,87,GBR8250R,Bora Fast,Sunfast 3600,Piercarlo Antonelli,Piercarlo Antonelli,24 Oct - 15:12:46,4 - 04:12:46,1.041,4 - 08:19:17,
4,83,GBR6738R,Seawolf,Pronavia,David Latham,David Latham,24 Oct - 19:22:59,4 - 08:22:59,1.013,4 - 09:44:24,
5,80,RUS898,Bogatyr,JPK 10.80,Igor Rytov,Igor Rytov,24 Oct - 16:44:54,4 - 05:44:54,1.046,4 - 10:25:44,
6,77,GBR9383R,Kabestan Intuition,Reflex 38,Yuri Fadeev,Yuri Fadeev,24 Oct - 18:48:44,4 - 07:48:44,1.038,4 - 11:45:26,
7,75,SLO3666,Shark,Sun Fast 3200,Janez Gorec,Janez Gorec,24 Oct - 22:09:04,4 - 11:09:04,1.015,4 - 12:45:30,
8,73,FRA19496,Pamina,Swan46MK1,Jean-François Moulin,Jean-François Moulin,24 Oct - 19:49:28,4 - 08:49:28,1.039,4 - 12:54:45,
9,71,GBR8537R,2Hard,J109,Martin Hartl,Martin Hartl,24 Oct - 23:16:49,4 - 12:16:49,1.007,4 - 13:02:18,
10,69,AUS117,Tilting At Windmills,John Dory,John Alexander,John Alexander,24 Oct - 20:13:07,4 - 09:13:07,1.045,4 - 13:57:12,
11,67,MLT923,Jarhead Young Sailors Malta,J/109,Jarhead Young Sailors Team,Jarhead Young Sailors Team,25 Oct - 00:43:11,4 - 13:43:11,1.011,4 - 14:55:36,
12,65,ITA16504,Tattoo,DUFOUR 405 GL,Luigi Paoletti,Luigi Paoletti,25 Oct - 08:29:50,4 - 21:29:50,1.015,4 - 23:15:35,
13,63,RUS2480,Skipperclub,Elan 431,Oleg Smirnov,Oleg Smirnov,25 Oct - 09:50:14,4 - 22:50:14,1.017,5 - 00:51:27,
,10,GBR958R,Jangada,JPK1010,Richard Palmer,Richard Palmer,,,1.006,,DNF-Did Not Finish
,10,FRA34961,Parsifal,SPHINX 33,Didier Dardot,Didier Dardot,,,1.030,,DNF-Did Not Finish
,10,CZE998,Giulia,Italia 9.98,Jan Hirnsal,Jan Hirnsal,,,1.031,,DNF-Did Not Finish
,10,MLT407,Maltese Falcon II,Beneteau First 40.7,Jonathan Camilleri Bowman,Jonathan Camilleri Bowman,,,1.047,,DNF-Did Not Finish
