# 2018 XOD Telegraph Trophy - Entries: 23      Races Sailed: 5      Discard: 1 (None) - 23 boats - https://www.rorc.org/raceresults/2018/xodos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,X50,Xcitation,XOD,,,,,,,
,,X51,Athena,XOD,,,,,,,
,,X58,Madeleine,XOD,,,,,,,
,,X80,Lass,XOD,,,,,,,
,,X76,Myrtle,XOD,,,,,,,
,,X188,Princess Jalina,XOD,,,,,,,
,,X78,Fury,XOD,,,,,,,
,,X171,Xactly,XOD,,,,,,,
,,X173,Heydey,XOD,,,,,,,
,,X184,Quixotic,XOD,,,,,,,
,,X59,Iona,XOD,,,,,,,
,,X165,Tortoise,XOD,,,,,,,
,,X86,Aora,XOD,,,,,,,
,,X169,Perdix,XOD,,,,,,,
,,X83,Seamist,XOD,,,,,,,
,,X121,Curlew,XOD,,,,,,,
,,X64,Lightwood,XOD,,,,,,,
,,X105,Blue Phantom,XOD,,,,,,,
,,X135,Mollymawk,XOD,,,,,,,
,,X145,Firebird,XOD,,,,,,,
,,X146,Caprice,XOD,,,,,,,
,,X166,Swallow,XOD,,,,,,,
,,X175,Xenon,XOD,,,,,,,
