# 2018 RORC Mainseries IRC Zero - RORC Transatlantic Race 2017 (Sat 25 Nov 17 12:00:00) - 11 boats - https://www.rorc.org/raceresults/2018/zero01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,91,FRA8668,Teasing Machine,Nmydd 54,Eric de Turckheim,,8 Dec - 21:29:08,13 - 09:29:08,1.327,17 - 18:36:41,
2,85,NED8313,Aragon,Marten 72,Jochen Bovenkamp,,8 Dec - 07:49:37,12 - 19:49:37,1.458,18 - 16:48:42,
3,81,GER5676,Outsider,Elliott 52 Ss,Tilmar Hansen,Bo Teichmann & Thomas Jungblut,9 Dec - 01:47:21,13 - 13:47:21,1.399,18 - 23:46:45,
4,77,AUS11111,Cqs,Supermaxi,Ludde Ingvall,,6 Dec - 12:03:08,11 - 00:03:08,1.865,20 - 12:27:27,
5,74,CAN54321,Sorceress,Southernwind 96,Daniel Stump,,9 Dec - 01:11:31,13 - 13:11:31,1.543,20 - 21:46:16,
6,71,GER6300,Haspa Hamburg,J/V 52 Custom,Hamburgischer Verein Seefahrt,Max Gaertner,11 Dec - 15:20:50,16 - 03:20:50,1.307,21 - 02:15:46,
7,69,GER5555,Bank Von Bremen,J/V 53,SKWB,Alexander Beilken,11 Dec - 09:29:57,15 - 21:29:57,1.342,21 - 07:58:19,
8,67,GER6261,Emma,Swan 60,Dr. Johann Killinger and Alfred Paulsen,Alfred Paulsen,13 Dec - 03:39:10,17 - 15:39:10,1.322,23 - 08:04:08,
9,65,RUS1,Monster Project,Volvo 70,Roman Guerra,,10 Dec - 09:39:46,14 - 21:39:46,1.667,24 - 20:13:26,
10,63,GBR301,Challenger,Whitbread 60,Christopher Stanmore-major,,16 Dec - 03:17:40,20 - 15:17:40,1.371,28 - 07:02:55,
,10,GER7111,Varuna,Ker 56,Jens Kellinghusen,,,,1.519,,RET-Retired
