# 2018 RORC Mainseries IRC Zero - Rolex Middle Sea Race (Sat 20 Oct 18 11:00:00) - 18 boats - https://www.rorc.org/raceresults/2018/zero14.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,98,GRE53,Optimum 3,FARR 52OD,Periklis Livas & Nikolaos Lazos,Periklis Livas & Nikolaos Lazos,23 Oct - 15:09:25,3 - 04:09:25,1.312,4 - 03:55:04,
2,92,ITA4888,Endlessgame,Cookson 50,Pietro Moschini,Pietro Moschini,23 Oct - 12:18:41,3 - 01:18:41,1.364,4 - 03:59:48,
3,88,FRA5200,Arobas²,IRC52,Gérard Logel,Gérard Logel,23 Oct - 12:06:18,3 - 01:06:18,1.391,4 - 05:41:21,
4,84,ITA29141,Freccia Rossa,TP52,Yakimenko Vadim,Yakimenko Vadim,23 Oct - 13:34:24,3 - 02:34:24,1.364,4 - 05:43:05,
5,81,ITA17017,Fra Diavolo,Mylius 60,Vincenzo Addessi,Vincenzo Addessi,23 Oct - 16:01:31,3 - 05:01:31,1.321,4 - 05:45:01,
6,78,IVB72,Momo,Maxi 72,Dieter Schön,Dieter Schön,23 Oct - 03:19:39,2 - 16:19:39,1.614,4 - 07:49:29,
7,76,ITA50501,Verve-Camer,Comet Carbon Race,Giuseppe Greco,Giuseppe Greco,23 Oct - 20:33:45,3 - 09:33:45,1.285,4 - 08:48:28,
8,74,7,2ndChance,Swan 82,2ndChance,2Ndchance,23 Oct - 14:47:02,3 - 03:47:02,1.385,4 - 08:57:38,
9,72,CAY65,Caro,Botin 65,Maximilian Klink,Maximilian Klink,23 Oct - 10:47:52,2 - 23:47:52,1.469,4 - 09:28:15,
10,70,GBR115X,Nikata,JVNB 115,Sy Nikata,Sy Nikata,23 Oct - 07:46:49,2 - 20:46:49,1.641,4 - 16:52:06,
11,68,USA25555,Rambler,Juan K Canting Keel Maxi,George David,George David,23 Oct - 01:07:55,2 - 14:07:55,1.871,4 - 20:14:56,
12,66,AUT1876,E1,Volvo Open 70,Swiss Ocean Racing Club,Swiss Ocean Racing Club,23 Oct - 19:53:09,3 - 08:53:09,1.667,5 - 14:50:12,
,10,FRA8668,Teasing Machine,NMYD 54,Eric De Turckheim,Eric De Turckheim,,,1.325,,DNF-Did Not Finish
,10,GER7007,Black Pearl,Carkeek 47,Stefan Johannes Jentzsch,Stefan Johannes Jentzsch,,,1.331,,DNF-Did Not Finish
,10,POL2288,Phoenix,JV 60,Maciej Marczewski,Maciej Marczewski,,,1.357,,DNF-Did Not Finish
,10,ESP9933,Plisplay,swan 80,Gabriel De Llano,Gabriel De Llano,,,1.420,,DNF-Did Not Finish
,10,NED8501,Oz,OPEN60,Mikhail Agafontsev,Mikhail Agafontsev,,,1.435,,DNF-Did Not Finish
,10,HUN7002,Wild Joe,RP60,Marton Jozsa,Marton Jozsa,,,1.508,,DNF-Did Not Finish
