# 2019 RORC Mainseries Class40 - RORC Caribbean 600 (Mon 18 Feb 19 11:20:00) - 10 boats - https://www.rorc.org/raceresults/2019/classforty02.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,90,FRA145,Eärendil,Class40,Catherine Pourre,,21 Feb - 01:01:50,2 - 13:41:50,,,
2,84,FRA151,Aïna Enfance Et Avenir,Class40,Aymeric Chappellier,Aymeric Chappellier,21 Feb - 01:05:10,2 - 13:45:10,,,
3,80,FRA153,Lamotte - Module Création,Class40,Luke Berry,,21 Feb - 01:07:43,2 - 13:47:43,,,
4,76,FRA147,Campagne De France,Class40,Halvard Mabire,Miranda Merron,21 Feb - 03:14:37,2 - 15:54:37,,,
5,73,FRA152,BHB,Class40,Louis Burton,Arthur Hubert,21 Feb - 07:32:10,2 - 20:12:10,,,
6,70,NOR149,Hydra,Class40,Henrik Bergesen,Tristan Kinloch,21 Feb - 07:40:53,2 - 20:20:53,,,
7,68,ANG107,Mussulo 40 Team Angola Cables,Class40,Jose Guilherme Caldas,Jose Guilherme Caldas,21 Feb - 10:46:07,2 - 23:26:07,,,
8,66,FRA81,Esprit Scout,Class40,Marc Dubos,Marc Dubos,21 Feb - 14:10:09,3 - 02:50:09,,,
,10,FRA101,Colombre XL,Class40,Charles-louis Mourruau,,,,,,DNF-Did Not Finish
,10,FRA142,Made in Midi,Class40,de Pavant Kito,de Pavant Kito,,,,,DNF-Did Not Finish
