# 2019 RORC Mainseries IRC Four - Cervantes Trophy Race (Sat 4 May 19 09:00:00) - 37 boats - https://www.rorc.org/raceresults/2019/four03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,5 May - 05:35:37,20:35:37,0.998,20:33:09,
2,94,FRA38895,Gioia,JPK 10.10,Emmanuel Pinteaux,Emmanuel & Etienne Pinteaux,5 May - 06:14:52,21:14:52,1.001,21:16:08,
3,90,GBR8338,With Alacrity,Sigma 38,Chris Choules,C&V Choules & Friends,5 May - 07:30:54,22:30:54,0.956,21:31:28,
4,86,NED118,Winsome,S&S 41,Harry J. Heijst,,5 May - 06:49:12,21:49:12,0.991,21:37:25,
5,83,FRA37997,Gaya,A31,Julien Lebas,Julien Lebas,5 May - 07:39:37,22:39:37,0.985,22:19:13,
6,80,FRA15083,Maupiti,Jod 35,Emmanuel Bunel,Emmanuel Bunel,5 May - 07:44:59,22:44:59,1.000,22:44:59,
7,78,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew,5 May - 07:54:56,22:54:56,1.000,22:54:56,
8,76,MLT105,Bigfoot,J/105,Robert Nelson,Robert Nelson,5 May - 08:07:46,23:07:46,0.996,23:02:13,
9,74,FRA39031,Rainslow,Sun Fast 3200,Jean-Francois Gouteux,,5 May - 08:21:02,23:21:02,0.999,23:19:38,
10,72,GBR8725R,Hair Of The Dog,Sun Fast 3200,Guy Prest,Guy Prest,5 May - 08:52:14,23:52:14,0.992,23:40:47,
11,70,FRA21717,Whisper 4 Ever,JPK 10.10,Franck Ribot,,5 May - 08:47:21,23:47:21,0.997,23:43:04,
12,68,GBR9203R,Wee Bear,Projection 920,Nick Lee,Nick Lee,5 May - 09:38:47,1 - 00:38:47,0.973,23:58:51,
13,66,GBR9405R,Juliette,J/105,Jerry Freeman,,5 May - 09:04:13,1 - 00:04:13,1.000,1 - 00:04:13,
14,65,GBR3200N,All Or Nothing,Sun Fast 3200,Chris Blackburn & Simon Dipple,,5 May - 09:35:40,1 - 00:35:40,0.993,1 - 00:25:20,
15,64,GBR123,Xara,Swan Sr 38,Jonathan Rolls,,5 May - 11:27:16,1 - 02:27:16,0.939,1 - 00:50:27,
16,63,GBR2421,Sheevra,Swan 36,Jonathan & Pippa Wallis,Jonathan Wallis,5 May - 12:57:46,1 - 03:57:46,0.913,1 - 01:31:48,
17,62,GBR912R,Polka,First 34.7,Marcus Wareham,,5 May - 10:46:55,1 - 01:46:55,0.992,1 - 01:34:32,
18,61,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,Keith Thompson,5 May - 10:53:53,1 - 01:53:53,0.995,1 - 01:46:07,
19,60,GBR922R,Juno,X 34,Charles Whittam,,5 May - 11:10:31,1 - 02:10:31,0.989,1 - 01:53:14,
20,59,FRA34835,Exec Avenue - Yameh,Bavaria Match 35,Thierry Mercier,,5 May - 11:12:51,1 - 02:12:51,0.990,1 - 01:57:07,
21,58.5,GBR8285,Kindred Spirit,Sigma 38,Nick Woolven,Christoffer Kobusch,5 May - 11:36:26,1 - 02:36:26,0.977,1 - 01:59:43,
22,58,GBR8799T,Wild Spirit,Sun Odyssey 40,Paul Jackson,,5 May - 11:49:01,1 - 02:49:01,0.977,1 - 02:12:01,
23,57.5,GBR6777R,Bespoke,Humphreys 30 Mod (keel),Neal Brewer,,5 May - 11:37:48,1 - 02:37:48,0.999,1 - 02:36:12,
24,57,GBR7253T,Ilex,X 332,REYC,Rob Duke,5 May - 13:04:37,1 - 04:04:37,0.961,1 - 02:58:55,
25,56.5,CO597,Hurrying Angel,Contessa 32,Lucinda Barker,Lucinda Barker,5 May - 16:14:53,1 - 07:14:53,0.875,1 - 03:20:31,
26,56,GBR8756T,Nimrod,Sun Fast 35,Paul Love- Williams,,5 May - 13:22:58,1 - 04:22:58,0.964,1 - 03:21:40,
27,55.5,GBR7282T,Snowbound,First 31.7,Andrew Parsons,,5 May - 15:15:53,1 - 06:15:53,0.923,1 - 03:56:04,
28,55,GBR1661C,Magic Moments,Sigma 33,Pelham Etherington,,5 May - 16:22:34,1 - 07:22:34,0.908,1 - 04:29:22,
29,54.5,GBR9939,Flame Of Anor,Sweden 38,Barnaby Wiener,John Gillard,5 May - 14:26:19,1 - 05:26:19,0.985,1 - 04:59:49,
30,54,GBR1603R,Jubilant,Moody S38,Martin Johnson,,5 May - 19:39:01,1 - 10:39:01,0.917,1 - 07:46:27,
31,53.5,GBR7732T,Mardy Gras,X 332,Frederick Mundle,,5 May - 20:16:46,1 - 11:16:46,0.980,1 - 10:34:26,
32,53,GBR4118L,Breezee,Oceanis 393,Russ Kingswell,,6 May - 00:45:00,1 - 15:45:00,0.931,1 - 13:00:26,
,10,GBR4350L,Felix,X 332,Christoph Friedrich,,,,0.968,,DNF-Did Not Finish
,10,GBR8367,RHO,Sigma 38,Equinox Sailing,Sophie O'Neill,,,0.977,,DNF-Did Not Finish
,10,FRA34824,Kia Ora,Jpk 9.60,Olivier Hays,Olivier Hays,,,0.984,,DNF-Did Not Finish
,10,FRA3333,Shortgood,First Class 10,Renaud Courbon and Emmanuel Winsback,Renaud Courbon,,,0.990,,DNF-Did Not Finish
,10,GBR7716R,Psipsina,Hod 35,Bernie Bingham,Bernie Bingham,,,0.997,,DNF-Did Not Finish
