# 2019 IRC National Championships - IRC Four - Entries: 12      Races Sailed: 8      Discard: 1 (None) - 12 boats - https://www.rorc.org/raceresults/2019/ircnats-fouros.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR2986L,Jubilee,J/109,Christopher Preston,,,,1.009,,
,,FRA8214,Protis,Quarter Tonner,Catrina Southworth,,,,0.906,,
,,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,,,,0.998,,
,,GBR363R,Whooper,One Off,Giovanni Belgrano,,,,0.922,,
,,GBR1497R,Induljence,J/97,Nick & Adam Munday,,,,0.977,,
,,GBR581R,Antix,X 302,John Allen,,,,0.924,,
,,GBR1250N,Elaine Again,JPK 1010,Mike Bridges,,,,1.010,,
,,GBR4365T,Ms Amlin Enigma,Mg 346,Ian Braham,,,,0.949,,
,,GBR108,Hullabaloo XV,Hustler 32 F/r,David Evans,,,,0.919,,
,,K1034,Cetewayo,7/8 Sloop,David Murrin,,,,0.975,,
,,GBR9022T,Touchpaper,Corby 29,David Mallett,,,,0.981,,
,,GBR8541R,Jolly Jack Tar,J/109,RNSA,,,,1.009,,
