# 2019 RORC Mainseries IRC Overall - De Guingand Bowl Race (Sat 8 Jun 19) - 68 boats - https://www.rorc.org/raceresults/2019/ircoverall06.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,9 Jun - 02:30:34,17:20:34,1.058,18:20:55,
2,94,GBR8338,With Alacrity,Sigma 38,Chris Choules,C&V Choules & Friends,9 Jun - 04:13:55,19:13:55,0.956,18:23:09,
3,90,GBR123,Xara,Swan Sr 38,Jonathan Rolls,,9 Jun - 04:54:50,19:54:50,0.939,18:41:57,
4,86,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew,9 Jun - 03:46:48,18:46:48,1.000,18:46:48,
5,83,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie and Deb Fish,9 Jun - 03:02:50,18:02:50,1.043,18:49:24,
6,80,GBR888X,Sunrise,JPK 11.80,Thomas Kneen,,9 Jun - 02:20:38,17:10:38,1.099,18:52:40,
7,78,GBR8936R,Black Sheep,Sun Fast 3600,Trevor Middleton,Jacob Carter,9 Jun - 03:18:18,18:18:18,1.045,19:07:43,
8,76,GBR3875X,Phosphorus II,A 13,Mark Emerson,,9 Jun - 01:26:09,16:16:09,1.179,19:10:53,
9,74,GBR4921R,Ino XXX,HH42,James Neville,,9 Jun - 00:32:23,15:22:23,1.267,19:28:40,
10,72,FRA43831,Timeline,JPK 10.80,Marc Alperovitch,,9 Jun - 03:58:33,18:58:33,1.036,19:39:32,
11,70,GBR8248,Incisor,Corby 45,Cowes Race School / James Gair,,9 Jun - 02:50:14,17:40:14,1.145,20:13:58,
12,68,GBR912R,Polka,First 34.7,Marcus Wareham,,9 Jun - 06:19:35,21:19:35,0.992,21:09:21,
13,66,GBR7951R,Skylander,First 40,Yuri Fadeev,,9 Jun - 06:48:15,21:38:15,1.079,23:20:49,
14,65,GBR9197R,High Jinks,J/97,Chris Miles & Mike Sellers,Mike Sellers,9 Jun - 13:51:28,1 - 04:51:28,0.974,1 - 04:06:27,
15,64,GBR8368T,Adelaide Star,Bavaria 44,Commodore Yachting,Nick Sheard,10 Jun - 04:15:16,1 - 19:15:16,1.028,1 - 20:27:56,
,10,GBR5765,Assent,Contessa 32,Jessie & Kit Rogers,Simon Rogers,,,0.853,,DNF-Did Not Finish
,10,GBR1206L,Elmarleen,Sigma 33c,Will Sayer,,,,0.857,,DNF-Did Not Finish
,10,GBR4300,Imperator,Sj 35,Paul Waxman,Richard Gray,,,0.937,,DNF-Did Not Finish
,10,GBR815,Longue Pierre,Dehler 38,D Cooper & P England,David Cooper,,,0.962,,DNF-Did Not Finish
,10,ESP5784,Alexa,X 332,Mark Wynter,,,,0.967,,DNF-Did Not Finish
,10,K1034,Cetewayo,7/8 Sloop,David Murrin,,,,0.975,,DNF-Did Not Finish
,10,GBR8799T,Wild Spirit,Sun Odyssey 40,Paul Jackson,,,,0.977,,DNF-Did Not Finish
,10,GBR8725R,Hair Of The Dog,Sun Fast 3200,Guy Prest,Guy Prest,,,0.992,,DNF-Did Not Finish
,10,GBR3200N,All Or Nothing,Sun Fast 3200,Chris Blackburn & Simon Dipple,,,,0.993,,DNF-Did Not Finish
,10,GBR8956R,Mzungu,Sun Fast 3200,Tony White,Tony White / Sam White,,,0.993,,DNF-Did Not Finish
,10,GBR529R,Just So,J/109,David McGough,William McGough,,,1.002,,DNF-Did Not Finish
,10,GBR9588R,Jacana,J/105,Ross Farrow,Andrew McGregor,,,1.004,,DNF-Did Not Finish
,10,GBR3L,Jomalija,J/109,Joppe Schepers and Jasper Heikens,Joppe Schepers,,,1.007,,DNF-Did Not Finish
,10,GBR9760R,Jengu,J/109,William Stock,Andy Oliver,,,1.008,,DNF-Did Not Finish
,10,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,Rob Cotterill,,,1.009,,DNF-Did Not Finish
,10,GBR15007,Montombi,North American 40,Drew Rogers Pascoots,,,,1.009,,DNF-Did Not Finish
,10,GBR9109T,Red Arrow,J/109,RAFSA,Gillian Burgess,,,1.011,,DNF-Did Not Finish
,10,GBR4067R,Bombardino,Grand Soleil 40c,Bruce Ramsay,,,,1.018,,DNF-Did Not Finish
,10,GBR7735R,Eaujet,A35,Richard Elliott,,,,1.020,,DNF-Did Not Finish
,10,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,,,1.029,,DNF-Did Not Finish
,10,FRA43791,Shaitan,JPK 10.80,Jean-Eudes Renier,,,,1.042,,DNF-Did Not Finish
,10,FRA43933,Raging-Bee²,JPK 10.80,Louis-Marie Dussere,,,,1.042,,DNF-Did Not Finish
,10,GBR9949T,Fireball,First 40.7,Chris Clark,,,,1.043,,DNF-Did Not Finish
,10,GBR711N,Kimanche Eve II,JPK 10.80,Mark Franklin,,,,1.045,,DNF-Did Not Finish
,10,GBR7041R,Anticipation,First 40.7,Peter Newlands,,,,1.052,,DNF-Did Not Finish
,10,GBR7207T,Playing Around,First 40.7,Ken Docherty,,,,1.052,,DNF-Did Not Finish
,10,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Gavin Howe and Sam Cooper,,,1.053,,DNF-Did Not Finish
