# 2019 RORC Mainseries IRC Overall - Cherbourg Race (Fri 6 Sep 19) - 58 boats - https://www.rorc.org/raceresults/2019/ircoverall13.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR3875X,Phosphorus II,A13,Mark Emerson,,7 Sep - 02:44:28,7:34:28,1.179,8:55:49,
2,94,GBR888X,Sunrise,JPK 11.80,Thomas Kneen,,7 Sep - 03:23:37,8:13:37,1.098,9:01:59,
3,90,FRA28,Tuf…tuf…tuf,Figaro II,Pascal Tuffier,,7 Sep - 03:37:44,8:27:44,1.068,9:02:16,
4,86,FRA53037,Courrier Recommandé,JPK 11.80,Gery Trentesaux,,7 Sep - 03:24:44,8:14:44,1.097,9:02:43,
5,83,FRA43933,Raging-bee²,JPK 10.80,Louis-Marie Dussere,,7 Sep - 03:42:32,8:42:32,1.040,9:03:26,
6,80,GBR4921R,Ino XXX,HH42,James Neville,,7 Sep - 02:26:26,7:16:26,1.265,9:12:05,
7,78,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,7 Sep - 04:16:16,9:16:16,0.998,9:15:09,
8,76,GBR759R,Eclectic,Azuree 46,Colin Campbell,,7 Sep - 03:21:30,8:11:30,1.134,9:17:22,
9,74,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew,7 Sep - 04:21:05,9:21:05,0.998,9:19:58,
10,72,NED2018,W36 Hubo,W36 Worlds Edition,Erik van Vuuren,,7 Sep - 03:56:38,8:56:38,1.048,9:22:24,
11,70,FRA38895,Gioia,JPK 10.10,Emmanuel Pinteaux,Etienne Pinteaux,7 Sep - 04:22:04,9:22:04,1.001,9:22:38,
12,68,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Gavin Howe and Sam Cooper,7 Sep - 04:06:28,8:56:28,1.053,9:24:54,
13,66,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie and Deb Fish,7 Sep - 04:02:47,9:02:47,1.041,9:25:02,
14,65,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,7 Sep - 04:12:48,9:12:48,1.030,9:29:23,
15,64,GBR8936R,Black Sheep,Sun Fast 3600,Trevor Middleton,Jacob Carter,7 Sep - 04:07:40,9:07:40,1.045,9:32:19,
16,63,GBR958R,Jangada,JPK 10.10,Richard Palmer,Jeremy Waitt & Nikki Curwin,7 Sep - 04:30:55,9:30:55,1.009,9:36:03,
17,62,FRA21717,Whisper 4 Ever,JPK 10.10,Franck Ribot,,7 Sep - 04:39:53,9:39:53,0.996,9:37:34,
18,61,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,7 Sep - 04:18:38,9:08:38,1.057,9:39:54,
19,60,BEL12345,Azawakh,MC 34 Patton,Vincent Willemart,,7 Sep - 04:24:44,9:24:44,1.034,9:43:56,
20,59,FRA38568,Pintia,J/133,Gilles Fournier / Corinne Migraine,Corinne Migraine,7 Sep - 04:05:32,8:55:32,1.091,9:44:16,
21,58.5,FRA35112,Pen Tach,A35,Jean-Yves Daden,,7 Sep - 04:34:13,9:34:13,1.018,9:44:33,
22,58,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,7 Sep - 03:03:50,7:53:50,1.239,9:47:05,
23,57.5,GBR9405R,Juliette,J/105,Jerry Freeman,,7 Sep - 04:48:30,9:48:30,1.000,9:48:30,
24,57,GBR1544R,Simples,XP 44,Demian Smith,,7 Sep - 03:58:53,8:48:53,1.124,9:54:28,
25,56.5,LAT909,Orange Mecanix2,XP 44,Maxime de Mareuil,,7 Sep - 04:00:19,8:50:19,1.131,9:59:47,
26,56,GBR9922T,R&W,J/122,Andy Theobald,,7 Sep - 04:26:06,9:16:06,1.080,10:00:35,
27,55.5,GBR8749T,Pomeroy Swan,Swan 44,Paul Kavanagh,,7 Sep - 05:13:22,10:13:22,0.982,10:02:20,
28,55,GBR2986L,Jubilee,J/109,Christopher Preston,Laurence Mead,7 Sep - 04:57:00,9:57:00,1.009,10:02:22,
29,54.5,FIN11449,Xtra Staerk,XP 44,Arto Linnervuo,,7 Sep - 04:10:58,9:00:58,1.126,10:09:08,
30,54,FRA53116,Princesse Gotionude II,Sun Fast 3600,Nicolas Dezeustre,,7 Sep - 04:45:13,9:45:13,1.048,10:13:18,
31,53.5,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,Rob Cotterill,7 Sep - 05:08:29,10:08:29,1.009,10:13:58,
32,53,GBR815,Longue Pierre,Dehler 38,D Cooper & P England,David Cooper,7 Sep - 05:41:51,10:41:51,0.962,10:17:28,
33,52.5,GBR6840R,Lancelot II,First 40,Sailing Logic,Jonathan Tyrrell,7 Sep - 04:54:26,9:44:26,1.074,10:27:41,
34,52,NED118,Winsome,S&S 41,Harry J. Heijst,,7 Sep - 05:34:20,10:34:20,0.991,10:28:37,
35,51.5,GBR9197R,High Jinks,J/97,Chris Miles & Mike Sellers,Mike Sellers,7 Sep - 05:48:07,10:48:07,0.974,10:31:16,
36,51,K1034,Cetewayo,7/8 Sloop,David Murrin,,7 Sep - 05:50:33,10:50:33,0.971,10:31:41,
37,50.5,FRA37997,Gaya,A31,Julien Lebas,,7 Sep - 05:43:43,10:43:43,0.990,10:37:17,
38,50,USA60006,Venomous,Carroll Marine 60,Windward Sailing,Derek Saunders,7 Sep - 03:03:09,7:53:09,1.354,10:40:39,
39,49.5,GBR9304,Avrio,Aphrodite 101,Sebastien Delasnerie,,7 Sep - 06:38:37,11:38:37,0.921,10:43:26,
40,49,GBR7041R,Anticipation,First 40.7,Peter Newlands,,7 Sep - 05:27:40,10:27:40,1.026,10:43:59,
41,48.5,GBR7408R,Arthur Logic,First 40,Sailing Logic,Richard Oswald,7 Sep - 05:15:03,10:05:03,1.068,10:46:12,
42,48,GBR8409R,Galahad Of Cowes,First 40,Ronan Banim,,7 Sep - 05:14:54,10:04:54,1.075,10:50:16,
43,47.5,FRA25751,Argynnis,Beneteau First 31.7,Alexandre Noel,,7 Sep - 06:34:49,11:34:49,0.944,10:55:54,
44,47,GBR8541R,Jolly Jack Tar,J/109,RNSA,Thomas Thicknesse,7 Sep - 06:18:03,11:18:03,1.009,11:24:09,
45,46.5,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,,7 Sep - 07:06:04,12:06:04,0.955,11:33:24,
46,46,GBR3402X,Vellamo,Grand Soleil 34,Laura Dillon,,7 Sep - 06:27:36,11:27:36,1.010,11:34:29,
47,45.5,FRA68460F,J Venture,J/109,Pierre Delalande,,7 Sep - 06:22:53,11:22:53,1.019,11:35:51,
48,45,GBR2L,Jigsaw,J/109,Chris Andrews,Joe (Joseph Thomas) Sutton,7 Sep - 06:39:05,11:39:05,1.007,11:43:59,
