# 2019 North Sea Race - ORC 2H - North Sea Race (Fri 31 May 19 11:00:00) - 16 boats - https://www.rorc.org/raceresults/2019/nsr-orc2h01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,96,NED9112,Ajeto!,J/122e,Robin Verhoef & John Van Der Starre,2H,1 Jun - 10:33:16,23:33:16,1.0326,1 - 00:19:20,
2,90,NED2018,W36 Hubo,Waarschip W36 Worlds Edition,Erik van Vuuren,2H,1 Jun - 11:22:49,1 - 00:22:49,1.0085,1 - 00:35:15,
3,86,NED7244,Junique Raymarine Sailing Team,J/122,Chris Revelman & Pascal Bakker,2H Chris Revelman and Pascal Bakker,1 Jun - 11:02:28,1 - 00:02:28,1.0407,1 - 01:01:11,
4,82,NED8874,Ambition,J/122,Michel Hof,2H,1 Jun - 11:36:21,1 - 00:36:21,1.0452,1 - 01:43:05,
5,79,GBR8532R,Firestorm,J/109,Wim van Slooten,2H,1 Jun - 13:29:54,1 - 02:29:54,0.9797,1 - 01:57:38,
6,76,HKG2192,Double Edge,Corby 38,Chris Schram,2H,1 Jun - 11:49:01,1 - 00:49:01,1.0708,1 - 02:34:26,
7,74,NED6529,Pg2,Grand Soleil 40,Richard Klabbers,2H,1 Jun - 14:56:32,1 - 03:56:32,1.0321,1 - 04:50:21,
8,72,NED9084,Tijd,Seascape 27,Dirk Husselman,2H,1 Jun - 19:00:49,1 - 08:00:49,0.9352,1 - 05:56:21,
9,70,NED8949,Avanti,Grand Soleil 43,Chris Stouten,2H,1 Jun - 11:04:50,1 - 04:53:48,1.0511,1 - 06:22:24,SP-20% Time Penalty - TSS Maas N - SI 20.2.3
10,68,NED8703,Silver,Salona 37,Marcel Polderman,2H,1 Jun - 18:42:17,1 - 07:42:17,0.9787,1 - 07:01:46,
11,66,NED7422,Anne,FF 1100,Wilko Seelt,2H,1 Jun - 20:25:23,1 - 09:25:23,0.9902,1 - 09:05:44,
,10,GER7429,Gymir,Hanseat 70b,Elmar Kleimann,2H,,,0.8726,,DNF-Did Not Finish
,10,NED7488,Bruorskip,First 31.7,Martin-jan Strebe,2H,,,0.8985,,DNF-Did Not Finish
,10,NED8180,Majic Potion,J/105,Alexander Hardell,2H,,,0.9716,,DNF-Did Not Finish
,10,FRA27868,J-blue,JPK 960,Jan Bruijn,2H,,,0.9592,,DNF-Did Not Finish
,10,NED7800,Arethusa,J/109,Kees Mijs,2H,,,0.9836,,DNF-Did Not Finish
