# 2019 RORC Mainseries IRC One - Myth of Malham Race (Sat 25 May 19 08:55:00) - 23 boats - https://www.rorc.org/raceresults/2019/one04.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR419R,Redshift,Farr Gp42,Ed Fishwick,,26 May - 14:43:33,1 - 05:48:33,1.265,1 - 13:42:31,
2,94,GBR4921R,Ino XXX,Hh42,James Neville,,26 May - 14:43:53,1 - 05:48:53,1.267,1 - 13:46:31,
3,90,GBR6889R,Keronimo,Ker 40,Lars And Birgitta Elfverson,,26 May - 17:02:19,1 - 08:07:19,1.198,1 - 14:28:56,
4,86,FRA346,Lann Ael 2,Jnd 39,Didier Gaudoux,,26 May - 19:53:49,1 - 10:58:49,1.117,1 - 15:04:23,
5,83,LAT909,Orange Mecanix2,Xp 44,Maxime de Mareuil,,26 May - 19:31:30,1 - 10:36:30,1.132,1 - 15:10:36,
6,80,SWE3939,Vencom,Ker 39,Johan Arthur Gustavsson,,26 May - 19:28:15,1 - 10:33:15,1.141,1 - 15:25:35,
7,78,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,26 May - 16:46:45,1 - 07:51:45,1.239,1 - 15:28:39,
8,76,GBR8248,Incisor,Corby 45,Cowes Race School / James Gair,,26 May - 19:39:50,1 - 10:44:50,1.145,1 - 15:47:08,
9,74,GBR1180X,Gallivanter,Mat 1180,Tor McLaren,Andrew Horrocks,26 May - 18:26:16,1 - 09:31:16,1.191,1 - 15:55:25,
10,72,GBR3875X,Phosphorus II,A 13,Mark Emerson,,26 May - 19:34:52,1 - 10:39:52,1.179,1 - 16:52:10,
11,70,GBR2664R,Darkwood,J/121,Michael O'Donnell,,26 May - 21:41:44,1 - 12:46:44,1.118,1 - 17:07:08,
12,68,FRA43799,Grain De Soleil 6,Vismara 40,Svilarich Nicolas,,26 May - 22:16:31,1 - 13:21:31,1.102,1 - 17:10:09,
13,66,GBR1346R,Belladonna,Grand Soleil 46,Colin Smith,Charles Duchesne,26 May - 22:17:57,1 - 13:22:57,1.110,1 - 17:29:40,
14,65,GBR1521R,Rock Lobster,J/121,Nick Angel,,26 May - 22:38:22,1 - 13:43:22,1.109,1 - 17:50:04,
15,64,GBR759R,Eclectic,Azuree 46,Colin Campbell,,26 May - 22:36:10,1 - 13:41:10,1.138,1 - 18:53:12,
16,63,GBR1544R,Simples,Xp 44,Demian Smith,,26 May - 23:25:00,1 - 14:30:00,1.124,1 - 19:16:26,
17,62,GBR8940R,Espresso Martini Too,Farr 40,Glyn Sheffield,,26 May - 22:36:35,1 - 13:41:35,1.165,1 - 19:54:45,
18,61,GBR562R,Night Owl II,Mat 12,Edmund Hall,,27 May - 00:19:56,1 - 15:24:56,1.123,1 - 20:15:49,
19,60,GBR809,Lutine,X-55,Lloyd's Yacht Club,Neil Armstrong,26 May - 22:49:10,1 - 13:54:10,1.199,1 - 21:26:44,
20,59,GBR3758L,Glatisant,Pogo 12.50,Dirk Hoffmann-Becking,Dirk Hoffmann-Becking,27 May - 01:00:51,1 - 16:05:51,1.162,1 - 22:35:36,
21,58.5,GBR8872R,Challenger 2,Challenge 72,Tall Ships,Sue Geary,27 May - 03:29:13,1 - 18:34:13,1.202,2 - 03:10:10,
22,58,GBR8871R,Challenger 1,Challenge 72,Tall Ships,Peter Stirling,27 May - 05:52:12,1 - 20:57:12,1.202,2 - 06:02:02,
23,57.5,GBR8873R,Challenger 3,Challenge 72,Tall Ships,Gary Rutherford,27 May - 07:26:00,1 - 22:31:00,1.202,2 - 07:54:47,
