# 2019 RORC Mainseries IRC One - Rolex Fastnet Race (Sat 3 Aug 19) - 63 boats - https://www.rorc.org/raceresults/2019/one12.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA43857,L'Ange De Milon,Milon 41,Jacques Pelletier,,6 Aug - 11:12:40,2 - 21:27:40,1.113,3 - 05:18:37,
2,94,FRA346,Lann Ael 2,Jnd 39,Didier Gaudoux,,6 Aug - 11:09:29,2 - 21:24:29,1.121,3 - 05:48:23,
3,90,NED46,Tonnerre De Glen,Ker 46,Dominique Tian,,6 Aug - 03:20:40,2 - 13:35:40,1.274,3 - 06:28:17,
4,86,GBR4921R,Ino XXX,HH42,James Neville,,6 Aug - 03:46:06,2 - 14:01:06,1.267,3 - 06:34:38,
5,83,FRA830,Albator,NMD 43,Philippe Frantz,,6 Aug - 09:28:30,2 - 19:43:30,1.174,3 - 07:30:33,
6,80,FRA24,Les Drus - Sl Maintenance,Figaro 3,Charmy Laurent,,6 Aug - 13:48:44,3 - 00:03:44,1.115,3 - 08:20:58,
7,78,GBR3875X,Phosphorus II,A 13,Mark Emerson,,6 Aug - 10:02:23,2 - 20:17:23,1.179,3 - 08:30:49,
8,76,GBR6889R,Keronimo,Ker 40,Lars And Birgitta Elfverson,,6 Aug - 10:36:29,2 - 20:51:29,1.198,3 - 10:29:31,
9,74,SWE15,Matador,Elliot 44 Cr,Jonas Grander,,6 Aug - 09:01:58,2 - 19:16:58,1.237,3 - 11:13:44,
10,72,GBR1180X,Gallivanter,MAT 1180,Tor McLaren,Andrew Horrocks,6 Aug - 11:43:20,2 - 21:58:20,1.194,3 - 11:32:49,
11,70,USA60564,Warrior Won,XP 44 Sport,Christopher Sheehan,,6 Aug - 16:31:47,3 - 02:46:47,1.136,3 - 12:56:59,
12,68,BEL4701,Moana,First 47.7,François Goubau,Mathieu Goubau,6 Aug - 19:21:40,3 - 05:36:40,1.109,3 - 14:04:15,
13,66,LAT909,Orange Mecanix2,XP 44,Maxime de Mareuil,,6 Aug - 18:26:10,3 - 04:41:10,1.131,3 - 14:43:55,
14,65,GBR1513L,Il Corvo,Grand Soleil 43,Astrid De Vin,,6 Aug - 20:29:42,3 - 06:59:42,1.100,3 - 14:53:40,
15,64,GER5500,Broader View Hamburg,Andrews 56,Hamburgischer Verein Seefahrt,Erik Nicolaysen,6 Aug - 11:52:07,2 - 22:07:07,1.240,3 - 14:56:49,
16,63,GBR1521R,Rock Lobster,J/121,Nick Angel,,6 Aug - 20:00:39,3 - 06:15:39,1.111,3 - 14:56:52,
17,62,FRA43799,Grain De Soleil 6,Vismara 40,Svilarich Nicolas,,6 Aug - 20:52:09,3 - 07:07:09,1.104,3 - 15:20:51,
18,61,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,6 Aug - 12:25:35,2 - 22:40:35,1.239,3 - 15:34:05,
