# 2019 RORC Mainseries IRC Three - Channel Race (Sat 27 Jul 19 09:00:00) - 15 boats - https://www.rorc.org/raceresults/2019/three11.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,95,NED2018,W36 Hubo,W36 Worlds Edition,Erik van Vuuren,,122 in 28 Jul - 04:05:20,122 in 19:05:20,1.048,122 in 20:00:19,
2,89,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Deb Fish,122 in 28 Jul - 04:16:27,122 in 19:16:27,1.041,122 in 20:03:52,
3,85,GBR7933R,Fastrak XII,Jeanneau Sun Fast 3300,Nigel de Quervain Colley,Henry Bomby,122 in 28 Jul - 04:38:20,122 in 19:38:20,1.029,122 in 20:12:30,
4,81,GBR8936R,Black Sheep,Sun Fast 3600,Trevor Middleton,Jacob Carter,122 in 28 Jul - 04:26:12,122 in 19:26:12,1.045,122 in 20:18:41,
5,78,IRL7991,JYS Jan,J/109,Greg Nasmyth,Nikki Henderson,122 in 28 Jul - 05:18:19,122 in 20:18:19,1.010,122 in 20:30:30,
6,75,GBR7735R,Eaujet,A35,Richard Elliott,,122 in 28 Jul - 05:38:32,122 in 20:38:32,1.020,122 in 21:03:18,
7,73,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,122 in 28 Jul - 05:32:11,122 in 20:32:11,1.030,122 in 21:09:09,
8,71,FRA43791,Shaitan,JPK 10.80,Jean-Eudes Renier,,122 in 28 Jul - 05:54:27,122 in 20:54:27,1.041,122 in 21:45:53,
9,69,GBR979R,Malice,Hod 35,Mike Moxley,,122 in 28 Jul - 06:57:45,122 in 21:57:45,1.022,122 in 22:26:44,
10,67,GBR3L,Jomalija,J/109,Joppe Schepers and Jasper Heikens,Joppe Schepers,122 in 28 Jul - 07:43:01,122 in 22:43:01,1.007,122 in 22:52:33,
11,65,GBR1321L,Escapado,First 40.7,Germaine Williams,Andy Young,122 in 28 Jul - 07:13:19,122 in 22:13:19,1.038,122 in 23:03:59,
12,63,GBR4067R,Bombardino,Grand Soleil 40c,Bruce Ramsay,,122 in 28 Jul - 07:59:33,122 in 22:59:33,1.018,122 in 23:24:23,
13,61,GBR1411L,Arcadia,Arcona 400,Mark Gillett,Trevor Hails,122 in 28 Jul - 07:58:43,122 in 22:58:43,1.020,122 in 23:26:17,
14,60,GBR6908R,Ajax,J/109,Royal Armoured Corps Yacht Club,Toby Lyle,122 in 28 Jul - 08:50:51,122 in 23:50:51,1.007,122 in 1 - 00:00:52,
,10,GBR9109T,Red Arrow,J/109,RAFSA,Gillian Burgess,,,1.011,,DNF-Did Not Finish
