# 2019 RORC Mainseries IRC Three - Rolex Fastnet Race (Sat 3 Aug 19 13:15:00) - 84 boats - https://www.rorc.org/raceresults/2019/three12.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA53128,Léon,JPK 10.30,Jean Pierre Kelbert,Jean Pierre Kelbert / Alexis Loison,6 Aug - 16:36:02,3 - 03:21:02,1.024,3 - 05:09:32,
2,94,GBR7933R,Fastrak XII,Jeanneau Sun Fast 3300,Nigel de Quervain Colley,Henry Bomby,6 Aug - 20:54:34,3 - 07:39:34,1.029,3 - 09:58:10,
3,90,FRA43645,Dream Pearls,JPK 10.80,Arnaud Delamare and Eric Mordret,Eric Mordret,6 Aug - 21:03:38,3 - 07:48:38,1.037,3 - 10:45:49,
4,86,FRA43933,Raging-Bee²,JPK 10.80,Louis-Marie Dussere,,6 Aug - 21:52:08,3 - 08:37:08,1.040,3 - 11:50:37,
5,83,FRA53131,Mecanique Expertises,JPK 10.30,Gerard Quenot,,7 Aug - 00:09:51,3 - 10:54:51,1.020,3 - 12:34:21,
6,80,FRA53155,Very Good Trip - Septieme Ciel,JPK 10.30,Yves Paul Robert,,7 Aug - 00:40:57,3 - 11:25:57,1.020,3 - 13:06:04,
7,78,FRA43907,Aileau,JPK 10.80,Olivier Burgaud,,6 Aug - 23:15:57,3 - 10:00:57,1.038,3 - 13:07:57,
8,76,POL19967,One Way,Sun Fast 3600,Janusz Madej,,6 Aug - 23:25:30,3 - 10:10:30,1.037,3 - 13:12:56,
9,74,FRA13300,Sapristi,Jeanneau Sun Fast 3300,Nigel de Quervain Colley,Alexandre Ozon,7 Aug - 00:29:12,3 - 11:14:12,1.028,3 - 13:34:02,
10,72,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Deb Fish,7 Aug - 00:01:46,3 - 10:46:46,1.041,3 - 14:10:24,
11,70,GBR8936R,Black Sheep,Sun Fast 3600,Trevor Middleton,Jacob Carter,7 Aug - 00:03:47,3 - 10:48:47,1.045,3 - 14:32:23,
12,68,NED2018,W36 Hubo,W36 Worlds Edition,Erik van Vuuren,,7 Aug - 00:11:34,3 - 10:56:34,1.048,3 - 14:55:27,
13,66,FRA9624,Hey Jude,J/120,Philippe Girardin,,7 Aug - 00:46:57,3 - 11:31:57,1.041,3 - 14:57:26,
14,65,FRA34628,Vaimiti,A35,Frederic Level,,7 Aug - 02:52:13,3 - 13:37:13,1.024,3 - 15:40:31,
15,64,FRA39933,Woolloomooloo Too,Sun Fast 3600,Philippe Aoustin,Philippe Lejeune,7 Aug - 01:34:00,3 - 12:19:00,1.041,3 - 15:46:25,
16,63,GBR1355R,Lulotte,Swan 55 Yawl,Ben Morris,,7 Aug - 03:37:40,3 - 14:22:40,1.020,3 - 16:06:19,
17,62,FRA34983,Decatur,A35,Gebr. de Zeeuw,,7 Aug - 03:38:48,3 - 14:23:48,1.021,3 - 16:12:40,
18,61,GBR2729R,Jellyfish,Sun Fast 3600,David Richards,Stacey Clark & Andrew Bassett,7 Aug - 02:09:44,3 - 12:54:44,1.045,3 - 16:44:00,
19,60,GBR704R,Philosophie IV,First 40.7,Nicolas Gaumont-Prat,,7 Aug - 02:21:00,3 - 13:06:00,1.043,3 - 16:45:33,
20,59,GER1950,Elan,Swan 48,Harald Baum,Daniel E. Baum,7 Aug - 02:49:58,3 - 13:34:58,1.039,3 - 16:55:14,
21,58.5,GBR4796L,Joy,JPK 10.10,Peter Butters,,7 Aug - 06:10:44,3 - 16:55:44,1.004,3 - 17:17:05,
22,58,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,7 Aug - 04:13:21,3 - 14:58:21,1.030,3 - 17:34:54,
23,57.5,MLT7991,JYS Jan,J/109,Greg Nasmyth,Nikki Henderson,7 Aug - 06:21:37,3 - 17:06:37,1.010,3 - 18:00:05,
24,57,GBR8383R,Assassin,Prima 38,Mark Brown,,7 Aug - 03:32:13,3 - 14:17:13,1.046,3 - 18:15:22,
25,56.5,NED6428,Griel,Dehler 39,Caroline & Robert Jockin,Robert Jockin,7 Aug - 06:10:33,3 - 16:55:33,1.021,3 - 18:47:36,
26,56,GBR711N,Kimanche Eve II,JPK 10.80,Mark Franklin,,7 Aug - 04:27:46,3 - 15:12:46,1.043,3 - 18:57:47,
27,55.5,NED7307,Rosetta From The Rocks,Dehler 36 JV,Radboud Crul,,7 Aug - 07:20:49,3 - 18:05:49,1.011,3 - 19:05:17,
28,55,GBR7735R,Eaujet,A35,Richard Elliott,,7 Aug - 07:11:08,3 - 17:56:08,1.020,3 - 19:44:03,
29,54.5,GBR2091R,Boo,J/109,Neil McGrigor,,7 Aug - 07:25:09,3 - 18:10:09,1.023,3 - 20:14:35,
30,54,BEL35080,Njord,A35,Paul Jonckheere,,7 Aug - 07:18:46,3 - 18:03:46,1.025,3 - 20:18:52,
31,53.5,BEL613,Rackham,JPK 110,Nicolas Gerard,Eric van Campenhout,7 Aug - 06:48:29,3 - 17:33:29,1.031,3 - 20:20:04,
32,53,GBR4067R,Bombardino,Grand Soleil 40c,Bruce Ramsay,,7 Aug - 08:46:12,3 - 19:31:12,1.018,3 - 21:10:02,
33,52.5,NED6529,Pg2,Grand Soleil 40,Richard Klabbers,,7 Aug - 06:51:09,3 - 17:36:09,1.040,3 - 21:11:12,
34,52,GBR1609R,Blue Jay,J/109,Stephen Berry,,7 Aug - 10:14:25,3 - 20:59:25,1.010,3 - 21:55:13,
35,51.5,RUS2711,Mirabelle,Elan 350,Nikolay Drozdov,,7 Aug - 08:19:57,3 - 19:04:57,1.035,3 - 22:16:13,
36,51,GBR8541R,Jolly Jack Tar,J/109,RNSA,Thomas Thicknesse,7 Aug - 11:57:01,3 - 22:42:01,1.009,3 - 23:33:09,
37,50.5,IRL3618,Yoyo,Sun Fast 3600,Brendan Coghlan,,7 Aug - 09:23:57,3 - 20:08:57,1.037,3 - 23:33:31,
38,50,GBR9949T,Fireball,First 40.7,Chris Clark,,7 Aug - 08:33:11,3 - 19:18:11,1.047,3 - 23:35:39,
39,49.5,GBR6809R,Jybe Talkin',J/109,Christopher Burleigh,,7 Aug - 12:31:15,3 - 23:16:15,1.005,3 - 23:44:50,
40,49,GBR3L,Jomalija,J/109,Joppe Schepers and Jasper Heikens,Joppe Schepers,7 Aug - 12:57:31,3 - 23:42:31,1.007,4 - 00:22:43,
41,48.5,GBR6070L,Scaramouche,Frers 45,Greig City Academy,,7 Aug - 11:16:59,3 - 22:01:59,1.026,4 - 00:28:40,
42,48,GBR979R,Malice,Hod 35,Mike Moxley,,7 Aug - 13:07:44,3 - 23:52:44,1.022,4 - 01:59:18,
43,47.5,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,Rob Cotterill,7 Aug - 14:29:01,4 - 01:14:01,1.009,4 - 02:06:31,
44,47,GER5762,Dantes,Swan 48,Torsten Grotjahn,Michael Orgzey,7 Aug - 14:42:29,4 - 01:27:29,1.016,4 - 03:01:03,
45,46.5,GBR7727T,Musketeer,First 40.7,Nigel Wilson,Phillip Holroyd Smith,7 Aug - 13:07:39,3 - 23:52:39,1.034,4 - 03:08:14,
46,46,GBR1321L,Escapado,First 40.7,Germaine Williams,Andy Young,7 Aug - 12:45:56,3 - 23:30:56,1.038,4 - 03:08:43,
47,45.5,NED5300,Swarte Swaen,Swan 40,Tolleiv Trimborn,,7 Aug - 13:57:29,4 - 00:42:29,1.026,4 - 03:13:21,
48,45,GBR407L,Manitoba,First 40.7,Chris Rushton,James Pearson,7 Aug - 13:15:18,4 - 00:00:18,1.036,4 - 03:27:40,
49,44.5,GBR516R,White Rose,Elan 40,Bob Jackson,,7 Aug - 15:30:24,4 - 02:15:24,1.013,4 - 03:32:02,
50,44,NED8489,Windshift,Varianta 44,Rob Bonte,Rolf Backelandt,7 Aug - 12:13:46,3 - 22:58:46,1.049,4 - 03:38:00,
51,43.7,GBR7714R,White Knight Of Wessex,Hod 35,Oleg Lebedev,,7 Aug - 18:35:04,4 - 05:20:04,1.007,4 - 06:02:38,
52,43.4,GBR9043T,Flying Fish,First 40.7,Stephen Hendry,,7 Aug - 14:42:43,4 - 01:27:43,1.050,4 - 06:20:06,
53,43.1,GBR932R,Velocity Girl,Vq 32,Richard Lett,,7 Aug - 15:07:41,4 - 01:52:41,1.047,4 - 06:28:42,
54,42.8,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,,7 Aug - 18:39:04,4 - 05:24:04,1.011,4 - 06:30:59,
55,42.5,GBR9760R,Jengu,J/109,William Stock,Andy Oliver,7 Aug - 20:27:47,4 - 07:12:47,1.008,4 - 08:02:20,
56,42.2,FRA43791,Shaitan,JPK 10.80,Jean-Eudes Renier,,7 Aug - 02:12:32,4 - 05:57:02,1.041,4 - 10:07:50,DPI-20% Time Penalty
57,41.9,GBR9109T,Red Arrow,J/109,RAFSA,Gillian Burgess,7 Aug - 23:47:33,4 - 10:32:33,1.011,4 - 11:42:52,
58,41.6,GBR6908R,Ajax,J/109,Royal Armoured Corps Yacht Club,Toby Lyle,8 Aug - 00:56:22,4 - 11:41:22,1.007,4 - 12:26:36,
59,41.3,GER5625,Charisma,Swan 441,Constantin Claviez,,7 Aug - 22:01:02,4 - 08:46:02,1.037,4 - 12:38:37,
60,41,USA74434,Hiro Maru,S&S 49,Hiroshi Nakajima,,7 Aug - 04:45:02,4 - 09:00:02,1.038,4 - 12:59:26,DPI-20% Time Penalty
61,40.7,FRA43862,Jokari,Sun Fast 3600,Philippe Gaudru,,7 Aug - 05:35:42,4 - 10:00:50,1.042,4 - 14:27:59,DPI-20% Time Penalty
62,40.4,GBR1411L,Arcadia,Arcona 400,Mark Gillett,Trevor Hails,8 Aug - 06:08:32,4 - 16:53:32,1.020,4 - 19:09:00,
63,40.1,GBR7003T,Polished Manx II,First 40.7,Kuba Szymanski,,8 Aug - 05:22:52,4 - 16:07:52,1.027,4 - 19:09:31,
64,39.8,GBR5809R,Jelenko,J/109,Alistair (al) Doughty,,7 Aug - 20:19:28,5 - 03:41:22,1.004,5 - 04:11:03,DPI-20% Time Penalty
65,39.5,GBR659R,Troubadour,Swan 46,Andrew Roy,,8 Aug - 14:32:12,5 - 01:17:12,1.036,5 - 05:39:11,
66,39.2,GBR15007,Montombi,North American 40,Drew Rogers Pascoots,,9 Aug - 00:33:58,5 - 11:18:58,1.009,5 - 12:29:53,
67,38.9,GER3972,Logoff,Stic 47.5,Carsten Sommer,,9 Aug - 02:32:38,5 - 13:17:38,1.023,5 - 16:21:35,
,10,FRA53075,Selous,MMW33,Pierre Daniel,,,,1.004,,DNF-Did Not Finish
,10,GBR9588R,Jacana,J/105,Ross Farrow,Andrew McGregor,,,1.004,,DNF-Did Not Finish
,10,SUI18,Insomnix,Bongo 9.60,Alfred Zahn,,,,1.005,,DNF-Did Not Finish
,10,GBR7005R,Trojan,J/109,Royal Engineer Yacht Club,Adam Hearn,,,1.008,,DNF-Did Not Finish
,10,GBR958R,Jangada,JPK 10.10,Richard Palmer,,,,1.009,,DNF-Did Not Finish
,10,GBR2986L,Jubilee,J/109,Christopher Preston,Felix Trattner,,,1.009,,DNF-Did Not Finish
,10,GBR1000X,One Wave Ahead,Waarschip 12.20,Veit Hilger,Sven Otte,,,1.014,,DNF-Did Not Finish
,10,NED7800,Arethusa,J/109,Kees Mijs,,,,1.016,,DNF-Did Not Finish
,10,IRL29832,Jump N' Shout,A35,James Crockatt,,,,1.018,,DNF-Did Not Finish
,10,GBR8380R,Elixir,Elan 380,Felicity Gabbay,,,,1.019,,DNF-Did Not Finish
,10,GBR9328T,Intemperance,Sigma 400,Paul & Val Shilling,Paul Shilling,,,1.021,,DNF-Did Not Finish
,10,GBR8368T,Adelaide Star,Bavaria 44,Commodore Yachting,Nick Sheard,,,1.028,,DNF-Did Not Finish
,10,FRA43831,Timeline,JPK 10.80,Marc Alperovitch,,,,1.038,,DNF-Did Not Finish
,10,FRA43893,Musix,J/112 e,Philippe Baetz,,,,1.043,,DNF-Did Not Finish
