# 2019 RORC Mainseries IRC Two - De Guingand Bowl Race (Sat 8 Jun 19 09:10:00) - 16 boats - https://www.rorc.org/raceresults/2019/two06.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,96,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,9 Jun - 02:30:34,17:20:34,1.058,18:20:55,
2,90,GBR888X,Sunrise,JPK 11.80,Thomas Kneen,,9 Jun - 02:20:38,17:10:38,1.099,18:52:40,
3,86,GBR7951R,Skylander,First 40,Yuri Fadeev,,9 Jun - 06:48:15,21:38:15,1.079,23:20:49,
,10,GBR7041R,Anticipation,First 40.7,Peter Newlands,,,,1.052,,DNF-Did Not Finish
,10,GBR7207T,Playing Around,First 40.7,Ken Docherty,,,,1.052,,DNF-Did Not Finish
,10,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Gavin Howe and Sam Cooper,,,1.053,,DNF-Did Not Finish
,10,FRA72,Champagne,Figaro II,Marc Noel,Marc Noel,,,1.057,,DNF-Did Not Finish
,10,GBR7380R,Lightning Reflex,Reflex 38,Geoffrey West,,,,1.057,,DNF-Did Not Finish
,10,GBR3234L,Rocket Dog II,First 40,Sailing Logic,Martin Fox,,,1.067,,DNF-Did Not Finish
,10,GBR2806L,Winston Logic,First 40,Sailing Logic,Tony McBride,,,1.071,,DNF-Did Not Finish
,10,GBR3923L,Merlin,First 40,Sailing Logic,Simon Zavad,,,1.074,,DNF-Did Not Finish
,10,GBR6840R,Lancelot II,First 40,Sailing Logic,Jonathan Tyrrell,,,1.074,,DNF-Did Not Finish
,10,GBR8409R,Galahad Of Cowes,First 40,Ronan Banim,,,,1.075,,DNF-Did Not Finish
,10,GBR3213L,Dusty P,First 40,Richard Patrick,HOEOCA,,,1.076,,DNF-Did Not Finish
,10,FRA83,J4f,J/111,Patrice Vidon,Patrice Vidon,,,1.086,,DNF-Did Not Finish
,10,FRA38568,Pintia,J/133,Gilles Fournier / Corinne Migraine,Corinne Migraine,,,1.090,,DNF-Did Not Finish
