# 2019 IRC Two-Handed - Rolex Fastnet Race (Sat 3 Aug 19) - 64 boats - https://www.rorc.org/raceresults/2019/twohanded12.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA53128,Léon,JPK 10.30,Jean Pierre Kelbert,Jean Pierre Kelbert / Alexis Loison,6 Aug - 16:36:02,3 - 03:21:02,1.024,3 - 05:09:32,
2,94,GBR7933R,Fastrak XII,Jeanneau Sun Fast 3300,Nigel de Quervain Colley,Henry Bomby,6 Aug - 20:54:34,3 - 07:39:34,1.029,3 - 09:58:10,
3,90,FRA43933,Raging-Bee²,JPK 10.80,Louis-Marie Dussere,,6 Aug - 21:52:08,3 - 08:37:08,1.040,3 - 11:50:37,
4,86,FRA53155,Very Good Trip - Septieme Ciel,JPK 10.30,Yves Paul Robert,,7 Aug - 00:40:57,3 - 11:25:57,1.020,3 - 13:06:04,
5,83,FRA43907,Aileau,JPK 10.80,Olivier Burgaud,,6 Aug - 23:15:57,3 - 10:00:57,1.038,3 - 13:07:57,
6,80,POL19967,One Way,Sun Fast 3600,Janusz Madej,,6 Aug - 23:25:30,3 - 10:10:30,1.037,3 - 13:12:56,
7,78,FRA13300,Sapristi,Jeanneau Sun Fast 3300,Nigel de Quervain Colley,Alexandre Ozon,7 Aug - 00:29:12,3 - 11:14:12,1.028,3 - 13:34:02,
8,76,NED9112,Ajeto!,J/122 e,Robin Verhoef & John Van Der Starre,,6 Aug - 22:18:40,3 - 08:48:40,1.066,3 - 14:08:41,
9,74,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Deb Fish,7 Aug - 00:01:46,3 - 10:46:46,1.041,3 - 14:10:24,
10,72,NED2018,W36 Hubo,W36 Worlds Edition,Erik van Vuuren,,7 Aug - 00:11:34,3 - 10:56:34,1.048,3 - 14:55:27,
11,70,NED7244,Junique Raymarine Sailing Team,J/122,Chris Revelman & Pascal Bakker,Chris Revelman and Pascal Bakker,6 Aug - 23:31:49,3 - 10:01:49,1.064,3 - 15:16:49,
12,68,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew,7 Aug - 04:27:55,3 - 15:27:55,0.998,3 - 15:17:25,
13,66,FRA34628,Vaimiti,A35,Frederic Level,,7 Aug - 02:52:13,3 - 13:37:13,1.024,3 - 15:40:31,
14,65,FRA43510,Mary,JPK 10.10,Francois Moriceau,,7 Aug - 05:53:35,3 - 16:53:35,1.001,3 - 16:58:55,
15,64,FRA37370,Tagan IV,A31,Alain Duvivier,,7 Aug - 08:03:27,3 - 19:03:27,0.982,3 - 17:25:06,
16,63,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,7 Aug - 04:13:21,3 - 14:58:21,1.030,3 - 17:34:54,
17,62,NZL40,Ethical Power,Figaro 3,Thomas Kneen,Jack Trigger,6 Aug - 22:06:28,3 - 08:21:28,1.115,3 - 17:35:56,
18,61,FRA92,Ali,Figaro II,Jean-Francois Leyrat & Domnique Appere,,7 Aug - 01:24:24,3 - 11:54:24,1.068,3 - 17:36:44,
19,60,FRA38411,Faribole,JPK 10.10,Eric Poyet,,7 Aug - 07:23:53,3 - 18:23:53,0.997,3 - 18:07:37,
20,59,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Gavin Howe and Sam Cooper,7 Aug - 03:19:43,3 - 13:49:43,1.053,3 - 18:22:39,
21,58.5,FRA43657,Fleur Du Sud,JPK 10.10,Patrick Molitor,,7 Aug - 07:25:48,3 - 18:25:48,1.001,3 - 18:31:14,
22,58,GBR711N,Kimanche Eve II,JPK 10.80,Mark Franklin,,7 Aug - 04:27:46,3 - 15:12:46,1.043,3 - 18:57:47,
23,57.5,GBR7735R,Eaujet,A35,Richard Elliott,,7 Aug - 07:11:08,3 - 17:56:08,1.020,3 - 19:44:03,
24,57,NED6529,Pg2,Grand Soleil 40,Richard Klabbers,,7 Aug - 06:51:09,3 - 17:36:09,1.040,3 - 21:11:12,
25,56.5,GBR9405R,Juliette,J/105,Jerry Freeman,,7 Aug - 10:54:00,3 - 21:54:00,1.000,3 - 21:54:00,
26,56,FRA39031,Rainslow,Sun Fast 3200,Jean-Francois Gouteux,,7 Aug - 11:23:32,3 - 22:23:32,0.999,3 - 22:17:52,
27,55.5,GBR3200N,All Or Nothing,Sun Fast 3200,Chris Blackburn & Simon Dipple,,7 Aug - 13:08:40,4 - 00:08:40,0.993,3 - 23:28:17,
28,55,GBR17R,Nemesis,Swan 45,James Heald,,7 Aug - 01:02:36,3 - 11:17:36,1.148,3 - 23:37:15,
29,54.5,GBR3L,Jomalija,J/109,Joppe Schepers and Jasper Heikens,Joppe Schepers,7 Aug - 12:57:31,3 - 23:42:31,1.007,4 - 00:22:43,
30,54,IRL6695,Eos,X 362 Sport,Cian McCarthy,,7 Aug - 13:43:07,4 - 00:43:07,1.003,4 - 01:00:32,
31,53.5,US40104,Kiva,Hinckley 51,Mark Stevens,,7 Aug - 09:04:32,3 - 19:34:32,1.061,4 - 01:09:42,
32,53,GBR979R,Malice,Hod 35,Mike Moxley,,7 Aug - 13:07:44,3 - 23:52:44,1.022,4 - 01:59:18,
33,52.5,GBR536,Zest,Humphreys 36 Custom,Kathryn Schmitt,,7 Aug - 15:30:00,4 - 02:30:00,0.996,4 - 02:06:22,
34,52,GBR9197R,High Jinks,J/97,Chris Miles & Mike Sellers,,7 Aug - 20:37:14,4 - 07:37:14,0.974,4 - 04:55:35,
35,51.5,GBR7714R,White Knight Of Wessex,Hod 35,Oleg Lebedev,,7 Aug - 18:35:04,4 - 05:20:04,1.007,4 - 06:02:38,
36,51,GBR932R,Velocity Girl,Vq 32,Richard Lett,,7 Aug - 15:07:41,4 - 01:52:41,1.047,4 - 06:28:42,
37,50.5,GBR6777R,Bespoke,Humphreys 30 Mod (keel),Neal Brewer,,7 Aug - 23:14:20,4 - 10:14:20,0.987,4 - 08:51:28,
38,50,GBR1206L,Elmarleen,Sigma 33c,Will Sayer,,8 Aug - 16:28:12,5 - 03:28:12,0.857,4 - 09:48:50,
39,49.5,FRA43791,Shaitan,JPK 10.80,Jean-Eudes Renier,,7 Aug - 02:12:32,4 - 05:57:02,1.041,4 - 10:07:50,DPI-20% Time Penalty
40,49,GBR2421,Sheevra,Swan 36,Jonathan & Pippa Wallis,Jonathan Wallis,8 Aug - 12:13:44,4 - 23:13:44,0.909,4 - 12:22:45,
41,48.5,GER5625,Charisma,Swan 441,Constantin Claviez,,7 Aug - 22:01:02,4 - 08:46:02,1.037,4 - 12:38:37,
42,48,FRA43862,Jokari,Sun Fast 3600,Philippe Gaudru,,7 Aug - 05:35:42,4 - 10:00:50,1.042,4 - 14:27:59,DPI-20% Time Penalty
43,47.5,IRL3492,Big Deal,Dehler 34,Conor Dillon,,8 Aug - 14:48:49,5 - 01:48:49,0.919,4 - 15:56:48,
44,47,IOM8931R,Aj Wanderlust,Sun Odyssey 45.2,Charlene Howard,,8 Aug - 11:37:46,4 - 22:37:46,0.989,4 - 21:19:28,
45,46.5,GBR4350L,Felix,X 332,Christoph Friedrich,,8 Aug - 15:49:31,5 - 02:49:31,0.968,4 - 22:53:42,
46,46,GBR5809R,Jelenko,J/109,Alistair (al) Doughty,,7 Aug - 20:19:28,5 - 03:41:22,1.004,5 - 04:11:03,DPI-20% Time Penalty
47,45.5,GBR1652R,Ithaka,Swan 44,Giovanni Mazzocchi,,11 Aug - 09:10:00,7 - 20:10:00,0.975,7 - 15:27:45,
,10,GBR7282T,Snowbound,First 31.7,Andrew Parsons,,,,0.921,,DNF-Did Not Finish
,10,GBR7253T,Ilex,X 332,REYC,Rob Duke,,,0.961,,DNF-Did Not Finish
,10,FRA36697,Take Five,Sun Fast 3200,Pascal Bernede and Alain Lebreton,Alain Lebreton,,,0.993,,DNF-Did Not Finish
,10,GBR8956R,Mzungu,Sun Fast 3200,Tony White,Tony White / Sam White,,,0.993,,DNF-Did Not Finish
,10,GBR529R,Just So,J/109,David McGough,William McGough,,,1.002,,DNF-Did Not Finish
,10,FRA53075,Selous,MMW33,Pierre Daniel,,,,1.004,,DNF-Did Not Finish
,10,SUI18,Insomnix,Bongo 9.60,Alfred Zahn,,,,1.005,,DNF-Did Not Finish
,10,GBR958R,Jangada,JPK 10.10,Richard Palmer,,,,1.009,,DNF-Did Not Finish
,10,GBR2986L,Jubilee,J/109,Christopher Preston,Felix Trattner,,,1.009,,DNF-Did Not Finish
,10,NED7800,Arethusa,J/109,Kees Mijs,,,,1.016,,DNF-Did Not Finish
,10,IRL29832,Jump N' Shout,A35,James Crockatt,,,,1.018,,DNF-Did Not Finish
,10,GBR8380R,Elixir,Elan 380,Felicity Gabbay,,,,1.019,,DNF-Did Not Finish
,10,GBR9328T,Intemperance,Sigma 400,Paul & Val Shilling,Paul Shilling,,,1.021,,DNF-Did Not Finish
,10,FRA43831,Timeline,JPK 10.80,Marc Alperovitch,,,,1.038,,DNF-Did Not Finish
,10,GBR43,Abu 43,Figaro II,Christian Teichmann,Christian Teichmann & Hugh Brayshaw,,,1.055,,DNF-Did Not Finish
,10,HKG2192,Double Edge,Corby 38,Chris Schram,,,,1.106,,DNF-Did Not Finish
,10,BEL6669,Blackfish,Bente 39,Peter Luyckx,,,,1.118,,DNF-Did Not Finish
