# Vice Admiral's Cup - Quarter Tonner - Entries: 10      Races Sailed: 8      Discard: 1 (None) - 10 boats - https://www.rorc.org/raceresults/2019/vac-quartertonneros.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR7775,Bullet,Quarter Tonner,Louise Morton,,,,0.909,,
,,FRA8214,Protis,Quarter Tonner,Catrina Southworth,,,,0.906,,
,,NZL3311,Blackfun,Quarter Tonner,Tony Hayward,,,,0.914,,
,,FRA7891,Bullit,Quarter Tonner,Julian Metherell,,,,0.909,,
,,GBR8414R,Aguila,Quarter Tonner,Sam Laidlaw,,,,0.905,,
,,GBR7881R,Tiger,Quarter Tonner,Tom Daniel,,,,0.905,,
,,ESP3090,Cote,Quarter Tonner,Sir Keith Mills,,,,0.913,,
,,GBR2736R,Joker,Quarter Tonner,Edward White,,,,0.910,,
,,IRL1392,Cobh Pirate,Quarter Tonner,Ben Daly,,,,0.910,,
,,GBR953R,Belinda,Quarter Tonner,Tom Hill,,,,0.911,,
