# 2019 RORC Mainseries IRC Zero - Rolex Fastnet Race (Sat 3 Aug 19) - 40 boats - https://www.rorc.org/raceresults/2019/zero12.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,USA70000,Wizard,Volvo Open 70,Peter & David Askew,Richard Clarke,5 Aug - 11:37:07,1 - 21:37:07,1.627,3 - 02:13:17,
2,94,FRA45001,Bretagne Telecom,Mach 45,Nicolas Groleau,,5 Aug - 21:49:32,2 - 07:49:32,1.343,3 - 02:58:25,
3,90,GBR520X,Tala,Botin Irc 52,David Collins,,5 Aug - 19:38:02,2 - 05:38:02,1.413,3 - 03:47:05,
4,86,GER52,Outsider,TP 52 J/V,Tilmar Hansen,Bo Teichmann,5 Aug - 20:22:08,2 - 06:22:08,1.407,3 - 04:29:49,
5,83,USA50009,Privateer,Cookson 50,Ron O'Hanley,Scott Innes-Jones,5 Aug - 22:03:33,2 - 08:03:33,1.386,3 - 05:41:53,
6,80,GBR7236R,Sorcha,Maxi 72,Peter Harrison,Steve Hayles,5 Aug - 14:12:30,2 - 00:12:30,1.614,3 - 05:48:30,
7,78,FRA8668,Teasing Machine,Nmyd54,Eric De Turckheim,,6 Aug - 00:39:22,2 - 10:39:22,1.335,3 - 06:18:21,
8,76,NED17001,Van Uden,Ker 46,Van Uden Holding B.V,Gerd-Jan Poortman,6 Aug - 03:20:42,2 - 13:20:42,1.286,3 - 06:53:23,
9,74,GBR74R,Jethou,Mini Maxi,Sir Peter Ogden,Stuart Branson,5 Aug - 14:03:21,2 - 00:03:21,1.644,3 - 07:00:14,
10,72,GBR5005X,Riff Raff,Cookson 50,Brian Mcmaster,Sam Matson,5 Aug - 23:59:56,2 - 09:59:56,1.366,3 - 07:13:35,
11,70,SUI1212,Kuka 3,Cookson 50,Franco Niggeler,Diogo Cayolla,5 Aug - 23:42:25,2 - 09:42:25,1.379,3 - 07:34:40,
12,68,BEL5012,Balthasar,ClubSwan 50,Balthasar Sailing Team,Louis Balcaen,6 Aug - 02:19:35,2 - 12:19:35,1.320,3 - 07:37:51,
13,66,NED61137,Baraka Gp,Ker 43 One-off,Harmen Jan de Graaf,Olivier de Graaf,6 Aug - 04:58:15,2 - 14:58:15,1.279,3 - 08:32:23,
14,65,ITA4888,Endlessgame,Cookson 50,Pietro Moschini,Paolo Cian,6 Aug - 01:11:44,2 - 11:11:44,1.368,3 - 08:58:46,
15,64,USA2872,Lucky,Botin 72 Custom,Bryon Ehrhart,,5 Aug - 16:11:59,2 - 02:11:59,1.622,3 - 09:25:26,
16,63,RUS5014,Zanoza,Clubswan 50,Nicolás Ibañez Scott,Jordi Griso,6 Aug - 03:30:17,2 - 13:30:17,1.332,3 - 09:55:27,
17,62,NED51,Oystercatcher XXXIII,Ker 51 Custom,Richard Matthews,James Bolingbroke,6 Aug - 01:24:44,2 - 11:24:44,1.380,3 - 09:59:20,
18,61,USA25555,Rambler 88,Canting Keel Sloop,George David,,5 Aug - 09:55:02,1 - 19:55:02,1.877,3 - 10:25:57,
19,60,EST999,Furiosa,Cookson 50,Rolf Relander,,6 Aug - 02:24:57,2 - 12:24:57,1.372,3 - 10:53:26,
20,59,GER21,Einstein,Imoca 60,Robert Stanjek,Conrad Colman,5 Aug - 17:28:33,2 - 03:28:33,1.642,3 - 12:31:24,
21,58.5,LTU001,Ambersail II,VOR 65,Simonas Steponavicius,Przemyslaw Tarnacki - Ocean Challenge Yacht Club,5 Aug - 16:39:51,2 - 02:39:51,1.673,3 - 12:45:40,
22,58,POL22021,Sailing Poland,VOR 65,Maciej Marczewski,,5 Aug - 19:06:22,2 - 05:06:22,1.627,3 - 14:24:13,
23,57.5,FRA43534,Libertalia - Team Jolokia,Volvo 60,Jean-Francois Levasseur,,6 Aug - 04:06:18,2 - 14:06:18,1.394,3 - 14:34:28,
24,57,NED1,Team Brunel,VOR 65,Volvo Ocean Race,Robi Stauber,5 Aug - 17:50:06,2 - 03:50:06,1.673,3 - 14:43:12,
25,56.5,SUI6702,Lurigna,Baltic 67 Pc,Karl Enzler,,6 Aug - 08:39:26,2 - 18:39:26,1.301,3 - 14:43:16,
26,56,GBR22N,Aegir,Rogers 82,Clarke Murphy / Romain Mouchel,,6 Aug - 00:16:07,2 - 10:16:07,1.492,3 - 14:56:12,
27,55.5,NED20002,Boudragon,Volvo 60,Bolsius International bv.,Hans Bouscholte,6 Aug - 05:24:08,2 - 15:24:08,1.383,3 - 15:41:07,
28,55,HKG2276,SHK Scallywag,Maxi Dovell,Seng Huang Lee,David Witt,5 Aug - 10:22:24,1 - 20:22:24,1.990,3 - 16:18:11,
29,54.5,FRA53028,Lady First 3,Mylius 60,Jean Pierre Dreau,,6 Aug - 06:44:03,2 - 16:44:03,1.365,3 - 16:21:44,
30,54,GER6300,Haspa Hamburg,J/v 52 Custom,Hamburgischer Verein Seefahrt,Katrina Westphal,6 Aug - 11:10:52,2 - 21:10:52,1.303,3 - 18:08:35,
31,53.5,GER5555,Bank Von Bremen,JV 53,SKWB,Rainer Persch,6 Aug - 13:44:10,2 - 23:44:10,1.275,3 - 19:27:49,
32,53,USA60006,Venomous,Carroll Marine 60,Windward Sailing,Derek Saunders,6 Aug - 10:04:33,2 - 20:04:33,1.354,3 - 20:10:29,
33,52.5,ITA3956,Weddell,Grand Mistral 80,Afanasy Isaev,,6 Aug - 04:08:37,2 - 14:08:37,1.497,3 - 21:01:44,
34,52,ESP11,Telefonica Black,Volvo Open 70,Lance Shepherd,,6 Aug - 01:46:23,2 - 11:46:23,1.613,4 - 00:24:50,
35,51.5,FRA1953,E1,Volvo Open 70,Johannes Schwarz,Benedikt Clauberg,6 Aug - 05:31:33,2 - 15:31:33,1.658,4 - 09:19:33,
36,51,FRA08,Le Cigare Rouge,Ex-Imoca 60,Jean-Marie Patier,,6 Aug - 10:42:19,3 - 10:26:47,1.383,4 - 18:01:24,DPI-20% Time Penalty
37,50.5,GBR301,Challenger,Whitbread 60,Christopher Stanmore-Major,,7 Aug - 08:04:00,3 - 18:04:00,1.369,5 - 03:18:05,
,10,GER333,Atlantix Express,Open 45,Sascha Schmid,,,,1.281,,DNF-Did Not Finish
,10,GBR6255N,Lady Mariposa,Ker 46,Lady Mariposa Racing Inc,Nigel King,,,1.300,,DNF-Did Not Finish
,10,GBR8003X,Umiko,Swan 80 Fd,Philip Rann,Oliver Cotterell,,,1.403,,DNF-Did Not Finish
