# 2019 RORC Mainseries IRC Zero - Rolex Middle Sea Race (Sat 19 Oct 19) - 19 boats - https://www.rorc.org/raceresults/2019/zero14.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,99,GER7007,Black Pearl,Carkeek 47,Stefan Jentzsch,,23 Oct - 08:28:55,3 - 20:08:55,1.335,5 - 03:01:06,
2,93,FRA8668,Teasing Machine,NMYD 54,Eric De Turckheim,,23 Oct - 09:39:21,3 - 21:19:21,1.335,5 - 04:35:08,
3,89,USA25555,Rambler,JYD Canting Keel Maxi,George David,,22 Oct - 08:13:00,2 - 19:43:00,1.861,5 - 06:01:15,
4,85,FRA5200,Arobas²,IRC 52,Gerard Logel,,23 Oct - 07:20:07,3 - 19:00:07,1.387,5 - 06:13:11,
5,82,GBR5005X,Riff Raff,Cookson 50,Brian Mcmaster,Sam Matson,23 Oct - 09:33:30,3 - 21:13:30,1.366,5 - 07:20:43,
6,79,SUI1212,Kuka 3,Cookson 50,Franco Niggeler,Diogo Cayolla,23 Oct - 08:58:30,3 - 20:38:30,1.376,5 - 07:28:30,
7,77,NED8313,Aragon,Marten 72,Przemyslaw Tarnacki,,23 Oct - 05:54:45,3 - 17:24:45,1.457,5 - 10:16:26,
8,75,GBR23N,Lupa Of The Sea,Baltic 78,Fabio Cannavale,,23 Oct - 07:13:19,3 - 18:43:19,1.437,5 - 10:22:03,
9,73,FRA43617,The Kid,JP 54,Dick,,23 Oct - 13:30:37,4 - 01:10:37,1.358,5 - 11:57:59,
10,71,GBR22N,Aegir,Rogers 82,Clarke Murphy / Romain Mouchel,,23 Oct - 05:16:20,3 - 16:46:20,1.492,5 - 12:26:53,
11,69,HUN7002,Wild Joe,R/P 60,Marton Jozsa,,23 Oct - 05:13:03,3 - 16:43:03,1.504,5 - 13:25:52,
12,67,USA70000,Wizard,Volvo 70,Peter & David Askew,Richard Clarke,23 Oct - 00:22:49,3 - 11:52:49,1.619,5 - 15:48:08,
13,65,USA7744,R'92 Pendragon,Davidson 69,Zsolt Kiraly,Franceso Agostini/Zsolt Kiraly,23 Oct - 05:07:38,3 - 16:37:38,1.562,5 - 18:26:09,
14,64,AUT1,The Austrian Ocean Race Project,VO 65,Oliver Kobale,Christian Kargl,23 Oct - 08:35:06,3 - 20:05:06,1.674,6 - 10:09:01,
15,63,AUT2002,Green Dragon,Volvo 70,Johannes Schwarz,,23 Oct - 12:03:01,3 - 23:33:01,1.660,6 - 14:36:48,
16,62,ESP11,Telefonica Black,Volvo 70,Lance Shepherd,,23 Oct - 17:47:56,4 - 05:17:56,1.613,6 - 19:23:42,
17,61,POL22021,Sailing Poland,VO 65,Maciej Marczewski,,23 Oct - 17:09:18,4 - 04:39:18,1.662,6 - 23:17:19,
,10,HL60348,Anafesto,TP 52,Anna Pszczola-Sikorski,Ricardo Terrades,,,1.363,,DNF-Did Not Finish
,10,GBR301R,Challenger,Whitbread 60,Chris Stanmore-Major,,,,1.369,,DNF-Did Not Finish
