# 2020 Race the Wight - MOCRA Multihull - Race the Wight (Sat 1 Aug 20 09:50:00) - 10 boats - https://www.rorc.org/raceresults/2020/aroundwight-mocra01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,CAY70,Powerplay,Mod 70,PowerPlay Ltd,Ned Collier Wakefield,12:58:52,3:08:52,2.221,6:59:28,
2,2,GBR815M,Slinky Malinki,Dazcat 1295,James Holder,,15:41:20,5:51:20,1.238,7:14:57,
3,3,GBR28186,Dragonfly,Dragonfly 28 Performance,Al Wood,,15:48:26,5:58:26,1.228,7:20:09,
4,4,GBR788M,Hissy Fit,Dazcat 1495,Simon Baker,,15:32:58,5:42:58,1.295,7:24:09,
5,5,GBR25,Sanity,F-82r,Nigel Talbot,,16:06:41,6:16:41,1.261,7:55:00,
6,6,GBR715R,Buzz,Seacart 30,Ross Hobson,,15:05:07,5:15:07,1.524,8:00:14,
7,7,GBR28105,Fargo III,Dragonfly,Robert Bicket,Bertie Bicket,16:19:47,6:29:47,1.249,8:06:50,
8,8,GBR810M,Trio Capriccio,Dragonfly 35 Ultimate,Richard Wild,,16:54:30,7:04:30,1.206,8:31:57,
,11,GBR155,Extreme,Multihull,Michael Phipps,,,,1.263,,DNF-Did Not Finish
,11,2199,Morpheus,Shuttleworth Trimaran,Andrew Fennell,,,,1.530,,DNF-Did Not Finish
