# 2020 Race the Wight - IRC One - Race the Wight (Sat 1 Aug 20 09:50:00) - 13 boats - https://www.rorc.org/raceresults/2020/aroundwight-one01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,GBR1682R,Tokoloshe II,Gp 42,Michael Bartholomew,,15:20:48,5:30:48,1.269,6:59:47,
2,2,GBR4921R,Ino XXX,Hh42,James Neville,,15:33:10,5:43:10,1.268,7:15:08,
3,3,GBR419R,Redshift,Farr Gp42,Ed Fishwick,,15:35:43,5:45:43,1.268,7:18:22,
4,4,GBR2664R,Darkwood,J/121,Michael O'Donnell,,16:28:15,6:38:15,1.116,7:24:27,
5,5,GBR5040L,Icy,Ic37,Ian Atkins,,16:09:03,6:19:03,1.179,7:26:54,
6,6,GBR562R,Sailplane 3,Mat 12,Rob Bottomley,Nicholas Jones,16:26:29,6:36:29,1.130,7:28:02,
7,7,GBR236R,Rumbleflurg,Ker 39,Ian Schenkel,David Cummins,16:36:33,6:46:33,1.114,7:32:54,
8,8,GBR42N,La Réponse,Ker 39,Andrew McIrvine,,16:38:17,6:48:17,1.139,7:45:02,
9,9,GBR1544R,Simples,Xp 44,Demian Smith,,16:58:59,7:08:59,1.123,8:01:45,
10,10,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,Steven Anderson & Derek Shakespeare,17:17:50,7:27:50,1.109,8:16:39,
11,11,GBR5698R,Noonmark VI,Swan 56,Sir Geoffrey Mulcahy,Michael Gilburt,17:07:27,7:17:27,1.173,8:33:08,
12,12,GBR1693R,Amity,Pogo 12.50,Philip Avery,,17:13:34,7:23:34,1.164,8:36:19,
,14,GBR311X,Tokoloshe III,Cape 31 Mills,Michael Bartholomew,,,,1.136,,11 until 17:21:42 ; 12 until 17:24:30
