# 2020 Race the Wight - IRC Overall - Race the Wight (Sat 1 Aug 20) - 121 boats - https://www.rorc.org/raceresults/2020/aroundwight-ov01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,GBR1682R,Tokoloshe II,Gp 42,Michael Bartholomew,,15:20:48,5:30:48,1.269,6:59:47,
2,2,GBR363R,Whooper,One Off,Giovanni Belgrano,,17:07:30,7:37:30,0.922,7:01:49,
3,3,GBR6508T,Gr8 Banter,Mustang Mk2,Ian Handley,,17:22:42,7:52:42,0.911,7:10:38,
4,4,GBR9633R,Ruthless,Dehler 33 Cr,Martin Pearson,Samuel Pearson,16:58:10,7:28:10,0.963,7:11:35,
5,5,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,16:39:41,6:49:41,1.057,7:13:02,
6,6,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,,16:30:40,7:00:40,1.032,7:14:08,
7,7,GBR4921R,Ino XXX,Hh42,James Neville,,15:33:10,5:43:10,1.268,7:15:08,
8,8,GBR123,Xara,Swan Sr 38,Jonathan Rolls,,17:25:18,7:55:18,0.919,7:16:48,
9,9,GBR748R,Happy Daize,J/112e,Knight Build Limited,James Chalmers,16:27:11,6:57:11,1.048,7:17:12,
10,10,GBR419R,Redshift,Farr Gp42,Ed Fishwick,,15:35:43,5:45:43,1.268,7:18:22,
11,11,GBR112X,Xanaboo,J/112e,Bruce Huber,,16:29:10,6:59:10,1.046,7:18:27,
12,12,GBR958R,Jangada,Jpk 10.10,Richard Palmer,,16:48:50,7:18:50,1.001,7:19:16,
13,13,GBR7933R,Fastrak XII,Jeanneau Sun Fast 3300,Nigel de Quervain Colley,Henry Bomby,16:38:10,7:08:10,1.027,7:19:44,
14,14,GBR888X,Sunrise,Jpk 1180,Thomas Kneen,Thomas Cheney,16:31:07,6:41:07,1.097,7:20:01,
15,15,GBR4796L,Joy,Jpk 10.10,Peter Butters,,16:51:49,7:21:49,1.000,7:21:49,
