# 2020 Autumn Series - IRC Two-Handed - Autumn Series - Race 3 (Sat 10 Oct 20 10:30:00) - 22 boats - https://www.rorc.org/raceresults/2020/autumnseries-2h03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,GBR958R,Jangada,Jpk 10.10,Richard Palmer,Jeremy Waitt & Shirley Robertson,11 Oct - 00:55:30,14:25:30,1.002,14:27:14,
2,2,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew & Kelvin Matthews,11 Oct - 01:19:49,14:49:49,0.995,14:45:22,
3,3,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie & Deb Fish,11 Oct - 00:41:45,14:11:45,1.041,14:46:40,
4,4,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Gavin Howe & Sam Cooper,11 Oct - 00:40:52,14:10:52,1.052,14:55:07,
5,5,GBR8936R,Black Sheep,Sun Fast 3600,Trevor Middleton,Jacob Carter,11 Oct - 00:56:03,14:26:03,1.037,14:58:06,
6,6,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,,11 Oct - 00:57:08,14:27:08,1.037,14:59:13,
7,7,GBR8956R,Mzungu,Sun Fast 3200,Tony White,Sam White & Sam North,11 Oct - 01:39:34,15:09:34,0.994,15:04:07,
8,8,GBR6502L,Wild Pilgrim,Sun Fast 3300,Daniel Jones,Daniel Jones & Jon Tyrrell,11 Oct - 01:10:28,14:40:28,1.032,15:08:38,
9,9,GBR3402X,Vellamo,Grand Soleil 34,Mark Greenaway,Mark Greenaway & Josie Gliddon,11 Oct - 01:42:26,15:12:26,1.010,15:21:33,
10,10,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,Ellie Driver & Piers Hugh Smith,11 Oct - 01:39:48,15:09:48,1.032,15:38:55,
11,11,GBR8529R,Jazzy Jellyfish,J/109,Jellyfish Charters,Gareth Edmondson & Hugh Brayshaw,11 Oct - 02:16:10,15:46:10,1.008,15:53:44,
12,12,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,Kate Cope & Rob Nelson,11 Oct - 02:29:50,15:59:50,1.002,16:01:45,
,23,GBR3759L,Jelenko II,Sun Fast 3600,Jonathan Bevan,Jonathan Bevan & Simon Dipple,,,1.040,,DNF-Did Not Finish
,23,GBR4791L,Blueberry,S&S 34,Nicola Simper,,,,0.857,,DNC-Did Not Come to Starting Area
,23,GBR4584,Retribution McDuff,Sigma 33 Ood,Gavin Doyle,,,,0.912,,DNC-Did Not Come to Starting Area
,23,GBR4350L,Felix,X 332,Christoph Friedrich,,,,0.967,,DNC-Did Not Come to Starting Area
,23,GBR9328T,Intemperance,Sigma 400,Paul & Val Shilling,Paul Shilling,,,1.018,,DNC-Did Not Come to Starting Area
,23,GBR6890R,Gentoo,Sun Fast 3300,James Harayda,,,,1.026,,DNC-Did Not Come to Starting Area
,23,GBR7933R,Fastrak XII,Sun Fast 3300,Nigel de Quervain Colley,,,,1.027,,DNC-Did Not Come to Starting Area
,23,GBR833X,Hooligan VIII,Sun Fast 3300,Edward Broadway,,,,1.028,,DNC-Did Not Come to Starting Area
,23,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,,,1.031,,DNC-Did Not Come to Starting Area
,23,GBR2664R,Darkwood,J/121,Michael O'Donnell,,,,1.116,,DNC-Did Not Come to Starting Area
