# 2020 Summer Series - IRC Two-Handed - Entries: 47      Races Sailed: 3 (None) - 47 boats - https://www.rorc.org/raceresults/2020/summerseries-2hos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR958R,Jangada,Jpk 10.10,Richard Palmer,,,,1.001,,
,,GBR7933R,Fastrak XII,Sun Fast 3300,Nigel de Quervain Colley,,,,1.027,,
,,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,,,,1.052,,
,,GBR23806,Finola,Swan 36,Christopher Frost,,,,0.901,,
,,GBR6890R,Gentoo,Sun Fast 3300,James Harayda,,,,1.026,,
,,GBR7041R,Anticipation,First 40.7,Peter Newlands,,,,1.032,,
,,GBR4688R,Tigris,J/88,Gavin Howe,,,,1.031,,
,,GBR3759L,Jelenko II,Sun Fast 3600,Jonathan Bevan,,,,1.040,,
,,GBR1396T,Virago,Mg 335,Jeffrey Knapman,,,,0.925,,
,,GBR2729R,Jellyfish,Sun Fast 3600,David Richards,,,,1.044,,
,,GBR8956R,Mzungu,Sun Fast 3200,Tony White,,,,0.994,,
,,GBR4365T,MS Amlin Enigma,Mg 346,Ian Braham,,,,0.948,,
,,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,,,,1.008,,
,,GBR7805R,Jin Tonic,J/105,Stephen Roberts,,,,1.003,,
,,GBR4350L,Felix,X 332,Christoph Friedrich,,,,0.967,,
,,GBR5931R,My Dream,Thomas 31 Custom,Richard Thomas,,,,0.908,,
,,FRA53037,Il Corvo,JPK 1180,Astrid de Vin,,,,1.088,,
,,GBR5189T,J'Ronimo,J 92 1.79,Guy Raynes,,,,0.956,,
,,GBR7751R,Journeymaker II,J/111,Chris Jones,,,,1.097,,
,,GBR9779T,Jago,J/109,Mike Yates,,,,1.005,,
,,GBR9405R,Juliette,J/105,Jerry Freeman,,,,0.999,,
,,GBR1010L,Xinska,X 40,Bernard Olesinski,,,,1.089,,
,,GBR711N,Kimanche Eve II,Jpk 10.80,Mark Franklin,,,,1.038,,
,,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,,,1.031,,
,,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,,,,1.040,,
,,GBR4919R,Lofo,Fareast19r,Jonathan Hall,,,,0.904,,
,,NED8935,Moana,J/122 E,"Frans Cappelle, van",,,,1.064,,
,,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,,,,1.006,,
,,GBR6621T,La Nef IV,X-332,John Noe,,,,0.968,,
,,GBR6834R,Alamara IV,Grand Soleil 34,Ole Bettum,,,,1.021,,
,,GBR3145L,True Colours,Grand Soleil 43,Julian Trumper,,,,0.999,,
,,GBR6693T,Fandango,First 40.7,Brendan McMahon,,,,1.042,,
,,GBR9328T,Intemperance,Sigma 400,Paul & Val Shilling,,,,1.018,,
,,GBR3922R,Jangle,J/122,Clive Miles,,,,1.087,,
,,GBR3965R,Jumblesail 2,J/97,Rachel & Robert Hunt,,,,0.970,,
,,GBR3L,Jomalija,J/109,Joppe Schepers and Jasper Heikens,,,,1.006,,
,,GBR953R,Belinda,Quarter Tonner,Tom Hill,,,,0.910,,
,,GBR3111N,Mostly Harmless,J/105,Tom Hayhoe and Natalie Jobling,,,,1.004,,
,,GBR3213L,Dusty P,First 40,Richard Patrick,,,,1.075,,
,,GBR3711,Juniper,S & S 38 Custom,Elizabeth Ayling,,,,0.936,,
,,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,,,,1.002,,
,,GBR6777R,Bespoke,Humphreys 30 Mod (keel),Neal Brewer,,,,0.987,,
,,GBR7380R,Lightning Reflex,Reflex 38,Geoffrey West,,,,1.056,,
,,GBR7735R,Eaujet,A35,Richard Elliott,,,,1.017,,
,,GBR9203R,Wee Bear,Projection 920,Nick Lee,,,,0.973,,
,,GBR833X,Hooligan VIII,Sun Fast 3300,Edward Broadway,,,,1.028,,
,,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,,,,1.041,,
