# 2020 Summer Series - MOCRA Multihull - Summer Series - Race 4 (Sun 6 Sep 20 09:40:00) - 10 boats - https://www.rorc.org/raceresults/2020/summerseries-mocra04.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR715R,Buzz,Seacart 30,Ross Hobson,,,,1.524,,DNF-Did Not Finish
,,GBR810M,Trio Capriccio,Dragonfly 35 Ultimate,Richard Wild,,,,1.206,,DNC-Did Not Come to Starting Area
,,GBR28186,Dragonfly,Dragonfly 28 Performance,Al Wood,,,,1.228,,DNC-Did Not Come to Starting Area
,,GBR815M,Slinky Malinki,Dazcat 1295,James Holder,,,,1.238,,DNC-Did Not Come to Starting Area
,,GBR28105,Fargo III,Dragonfly,Robert Bicket,Bertie Bicket,,,1.249,,DNC-Did Not Come to Starting Area
,,GBR25,Sanity,F-82r,Nigel Talbot,,,,1.261,,DNC-Did Not Come to Starting Area
,,GBR155,Extreme,Multihull,Michael Phipps,,,,1.263,,DNC-Did Not Come to Starting Area
,,GBR788M,Hissy Fit,Dazcat 1495,Simon Baker,,,,1.295,,DNC-Did Not Come to Starting Area
,,2199,Morpheus,Shuttleworth Trimaran,Andrew Fennell,,,,1.530,,DNC-Did Not Come to Starting Area
,,CAY70,Powerplay,Mod 70,PowerPlay Ltd,Ned Collier Wakefield,,,2.221,,DNC-Did Not Come to Starting Area
