# 2020 Summer Series - IRC One - Summer Series - Race 3 (Sat 22 Aug 20 09:40:00) - 13 boats - https://www.rorc.org/raceresults/2020/summerseries-one03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,GBR562R,Sailplane 3,Mat 12,Rob Bottomley,Nicholas Jones,14:37:16,4:57:16,1.130,5:35:55,
2,1,GBR2664R,Darkwood,J/121,Michael O'Donnell,,15:06:24,5:26:24,1.116,6:04:16,RDG: -41 mins elapsed
5,1,GBR4921R,Ino XXX,Hh42,James Neville,,14:58:27,5:18:27,1.268,6:43:48,RDG: -68 mins elapsed
3,3,GBR1544R,Simples,Xp 44,Demian Smith,,15:14:33,5:34:33,1.123,6:15:42,
4,4,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,15:25:03,5:45:03,1.109,6:22:40,
,14,GBR236R,Rumbleflurg,Ker 39,Ian Schenkel,David Cummins,,,1.114,,DNC-Did Not Come to Starting Area
,14,GBR311X,Tokoloshe III,Cape 31 Mills,Michael Bartholomew,,,,1.136,,DNC-Did Not Come to Starting Area
,14,GBR42N,La Réponse,Ker 39,Andrew McIrvine,,,,1.139,,DNC-Did Not Come to Starting Area
,14,GBR1693R,Amity,Pogo 12.50,Philip Avery,,,,1.164,,DNC-Did Not Come to Starting Area
,14,GBR5698R,Noonmark VI,Swan 56,Sir Geoffrey Mulcahy,Michael Gilburt,,,1.173,,DNC-Did Not Come to Starting Area
,14,GBR5040L,Icy,Ic37,Ian Atkins,,,,1.179,,DNC-Did Not Come to Starting Area
,14,GBR419R,Redshift,Farr Gp42,Ed Fishwick,,,,1.268,,DNC-Did Not Come to Starting Area
,14,GBR1682R,Tokoloshe II,Gp 42,Michael Bartholomew,,,,1.269,,DNC-Did Not Come to Starting Area
