# 2020 Summer Series - IRC One - Entries: 13      Races Sailed: 3 (None) - 13 boats - https://www.rorc.org/raceresults/2020/summerseries-oneos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR4921R,Ino XXX,Hh42,James Neville,,,,1.268,,
,,GBR2664R,Darkwood,J/121,Michael O'Donnell,,,,1.116,,
,,GBR562R,Sailplane 3,Mat 12,Rob Bottomley,,,,1.130,,
,,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,,,1.109,,
,,GBR419R,Redshift,Farr Gp42,Ed Fishwick,,,,1.267,,
,,GBR1544R,Simples,Xp 44,Demian Smith,,,,1.123,,
,,GBR1682R,Tokoloshe II,Gp 42,Michael Bartholomew,,,,1.269,,
,,GBR5040L,Icy,Ic37,Ian Atkins,,,,1.179,,
,,GBR236R,Rumbleflurg,Ker 39,Ian Schenkel,,,,1.114,,
,,GBR42N,La Réponse,Ker 39,Andrew McIrvine,,,,1.139,,
,,GBR5698R,Noonmark VI,Swan 56,Sir Geoffrey Mulcahy,,,,1.173,,
,,GBR1693R,Amity,Pogo 12.50,Philip Avery,,,,1.164,,
,,GBR311X,Tokoloshe III,Cape 31 Mills,Michael Bartholomew,,,,1.136,,
