# 2020 Summer Series - IRC Overall - Summer Series - Race 2 (Sat 15 Aug 20) - 124 boats - https://www.rorc.org/raceresults/2020/summerseries-ov02.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR2729R,Jellyfish,Sun Fast 3600,David Richards,Laurence Mead,,,1.044,,DNS-Did Not Start
,,GBR23806,Finola,Swan 36,Christopher Frost,Elin Haf Davies,,,0.901,,DNF-Did Not Finish
,,GBR8185,Quokka 9,Half Tonner,Peter Rutter,,,,0.948,,DNF-Did Not Finish
,,GBR4350L,Felix,X 332,Christoph Friedrich,,,,0.967,,DNF-Did Not Finish
,,GBR8956R,Mzungu,Sun Fast 3200,Tony White,Samuel White,,,0.994,,DNF-Did Not Finish
,,GBR9405R,Juliette,J/105,Jerry Freeman,,,,0.999,,DNF-Did Not Finish
,,GBR958R,Jangada,Jpk 10.10,Richard Palmer,,,,1.001,,DNF-Did Not Finish
,,GBR6809R,Jybe Talkin',J/109,Christopher Burleigh,,,,1.004,,DNF-Did Not Finish
,,GBR3L,Jomalija,J/109,Joppe Schepers and Jasper Heikens,Joppe Schepers,,,1.006,,DNF-Did Not Finish
,,GBR1575L,Pure Attitude,X 37,Martin Gray,Ifan James,,,1.018,,DNF-Did Not Finish
,,GBR6890R,Gentoo,Sun Fast 3300,James Harayda,,,,1.026,,DNF-Did Not Finish
,,GBR7933R,Fastrak XII,Jeanneau Sun Fast 3300,Nigel de Quervain Colley,Henry Bomby,,,1.027,,DNF-Did Not Finish
,,GBR833X,Hooligan VIII,Sun Fast 3300,Edward Broadway,,,,1.028,,DNF-Did Not Finish
,,GBR4688R,Tigris,J/88,Gavin Howe,Sam Cooper,,,1.031,,DNF-Did Not Finish
,,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,,,,1.032,,DNF-Did Not Finish
,,GBR7041R,Anticipation,First 40.7,Peter Newlands,,,,1.032,,DNF-Did Not Finish
,,GBR9824,Njos,Corby 35,Tim Octon,,,,1.033,,DNF-Did Not Finish
,,GBR8936R,Black Sheep,Sun Fast 3600,Trevor Middleton,Jacob Carter,,,1.037,,DNF-Did Not Finish
,,SWE450,Emily Of Cowes,Elan 450,Richard Oswald,,,,1.039,,DNF-Did Not Finish
,,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,,,,1.052,,DNF-Did Not Finish
,,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,,,1.057,,DNF-Did Not Finish
,,GBR7122X,Juno,J/122e,Christopher Daniel,,,,1.090,,DNF-Did Not Finish
,,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,,,1.109,,DNF-Did Not Finish
,,GBR2664R,Darkwood,J/121,Michael O'Donnell,,,,1.116,,DNF-Did Not Finish
,,GBR1544R,Simples,Xp 44,Demian Smith,,,,1.123,,DNF-Did Not Finish
,,GBR562R,Sailplane 3,Mat 12,Rob Bottomley,Ruaridh Wright,,,1.130,,DNF-Did Not Finish
,,GBR42N,La Réponse,Ker 39,Andrew McIrvine,,,,1.139,,DNF-Did Not Finish
,,GBR4080T,Crakajax,X 95,Richard Hollis,Ursula Bagnall,,,0.902,,DNC-Did Not Come to Starting Area
,,GBR4919R,Lofo,Fareast19r,Jonathan Hall,,,,0.904,,DNC-Did Not Come to Starting Area
,,GBR5931R,My Dream,Thomas 31 Custom,Richard Thomas,,,,0.908,,DNC-Did Not Come to Starting Area
,,GBR8788R,Theseus,Quarter Ton,Jim Prower,,,,0.909,,DNC-Did Not Come to Starting Area
,,GBR953R,Belinda,Quarter Tonner,Tom Hill,Christopher Fay,,,0.910,,DNC-Did Not Come to Starting Area
,,GBR6508T,Gr8 Banter,Mustang Mk2,Ian Handley,,,,0.911,,DNC-Did Not Come to Starting Area
,,GBR123,Xara,Swan Sr 38,Jonathan Rolls,,,,0.919,,DNC-Did Not Come to Starting Area
,,GBR363R,Whooper,One Off,Giovanni Belgrano,,,,0.922,,DNC-Did Not Come to Starting Area
,,GBR5089L,Mischief Of Hamble,Oceanis 37,Kathryn Cole,,,,0.924,,DNC-Did Not Come to Starting Area
,,GBR1396T,Virago,Mg 335,Jeffrey Knapman,,,,0.925,,DNC-Did Not Come to Starting Area
,,GBR8285T,Penelope,Dehler 34,Peter McConnell,,,,0.926,,DNC-Did Not Come to Starting Area
,,GBR1498T,Lady Penrose,Sigma 362,Claire Dresser,,,,0.933,,DNC-Did Not Come to Starting Area
,,GBR3711,Juniper,S & S 38 Custom,Elizabeth Ayling,,,,0.936,,DNC-Did Not Come to Starting Area
,,GBR4365T,MS Amlin Enigma,Mg 346,Ian Braham,Ian Braham & Pete Eyre,,,0.948,,DNC-Did Not Come to Starting Area
,,GBR716,Justify,J/80,Ross Bowdler,,,,0.954,,DNC-Did Not Come to Starting Area
,,GBR5189T,J'Ronimo,J 92 1.79,Guy Raynes,,,,0.956,,DNC-Did Not Come to Starting Area
,,GBR1426,Dark & Stormy 2,J/80,Keith Willis,,,,0.957,,DNC-Did Not Come to Starting Area
,,GBR2947L,Jackdaw,J/92,Robert Salter,David Ward,,,0.958,,DNC-Did Not Come to Starting Area
,,GBR8440L,True Blue,Finngulf 33,Jurriaan de Munck,,,,0.959,,DNC-Did Not Come to Starting Area
,,GBR1338T,Jungle,Laurent Giles 33 Custom,Geoff Stock,,,,0.960,,DNC-Did Not Come to Starting Area
,,GBR9202R,Nightjar,J/92,Jack Banks,,,,0.962,,DNC-Did Not Come to Starting Area
,,GBR9633R,Ruthless,Dehler 33 Cr,Martin Pearson,Samuel Pearson,,,0.963,,DNC-Did Not Come to Starting Area
,,GER4228,Reefer X,X 99 (big Spi),Aaron Goodman-simpson,,,,0.965,,DNC-Did Not Come to Starting Area
,,GBR2631R,Precision,Bavaria 39 Cruiser,Elizabeth Fitzsimmons,,,,0.968,,DNC-Did Not Come to Starting Area
,,GBR6621T,La Nef IV,X-332,John Noe,,,,0.968,,DNC-Did Not Come to Starting Area
,,GBR9690R,Adelie,X-332,Robert Salter,,,,0.968,,DNC-Did Not Come to Starting Area
,,GBR3965R,Jumblesail 2,J/97,Rachel & Robert Hunt,Rachel Woods,,,0.970,,DNC-Did Not Come to Starting Area
,,GBR9203R,Wee Bear,Projection 920,Nick Lee,,,,0.973,,DNC-Did Not Come to Starting Area
,,GBR8274,Machismo II,Sigma 38,Tim Levett,,,,0.977,,DNC-Did Not Come to Starting Area
