# 2020 Summer Series - IRC Overall - Entries: 125      Races Sailed: 3 (None) - 125 boats - https://www.rorc.org/raceresults/2020/summerseries-ovos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR4921R,Ino XXX,Hh42,James Neville,,,,1.268,,
,,GBR7933R,Fastrak XII,Sun Fast 3300,Nigel de Quervain Colley,,,,1.027,,
,,GBR958R,Jangada,Jpk 10.10,Richard Palmer,,,,1.001,,
,,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,,,1.057,,
,,SWE450,Emily Of Cowes,Elan 450,Richard Oswald,,,,1.042,,
,,GBR2664R,Darkwood,J/121,Michael O'Donnell,,,,1.116,,
,,GBR562R,Sailplane 3,Mat 12,Rob Bottomley,,,,1.130,,
,,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,,,1.109,,
,,GBR419R,Redshift,Farr Gp42,Ed Fishwick,,,,1.267,,
,,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,,,,1.052,,
,,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,,,,1.032,,
,,GBR23806,Finola,Swan 36,Christopher Frost,,,,0.901,,
,,GBR6712R,Dawn Treader,JPK 1180,Ed Bell,,,,1.100,,
,,GBR8956R,Mzungu,Sun Fast 3200,Tony White,,,,0.994,,
,,GBR6890R,Gentoo,Sun Fast 3300,James Harayda,,,,1.026,,
,,GBR4688R,Tigris,J/88,Gavin Howe,,,,1.031,,
,,GBR7041R,Anticipation,First 40.7,Peter Newlands,,,,1.032,,
,,GBR8936R,Black Sheep,Sun Fast 3600,Trevor Middleton,,,,1.037,,
,,GBR6840R,Lancelot II,First 40,Sailing Logic,,,,1.073,,
,,GBR1544R,Simples,Xp 44,Demian Smith,,,,1.123,,
,,GBR8274,Machismo II,Sigma 38,Tim Levett,,,,0.977,,
,,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,,,,1.008,,
,,GBR1575L,Pure Attitude,X 37,Martin Gray,,,,1.018,,
,,GBR3759L,Jelenko II,Sun Fast 3600,Jonathan Bevan,,,,1.040,,
,,GBR112N,J’Ouvert,J/112e,Simon Harris,,,,1.054,,
,,GBR1682R,Tokoloshe II,Gp 42,Michael Bartholomew,,,,1.269,,
,,GBR363R,Whooper,One Off,Giovanni Belgrano,,,,0.922,,
,,GBR6508T,Gr8 Banter,Mustang Mk2,Ian Handley,,,,0.911,,
,,GBR9633R,Ruthless,Dehler 33 Cr,Martin Pearson,,,,0.963,,
,,GBR123,Xara,Swan Sr 38,Jonathan Rolls,,,,0.919,,
,,GBR748R,Happy Daize,J/112e,Knight Build Limited,,,,1.048,,
,,GBR112X,Xanaboo,J/112e,Bruce Huber,,,,1.046,,
,,GBR888X,Sunrise,Jpk 1180,Thomas Kneen,,,,1.097,,
,,GBR4796L,Joy,Jpk 10.10,Peter Butters,,,,1.000,,
,,GBR4350L,Felix,X 332,Christoph Friedrich,,,,0.967,,
,,GBR1396T,Virago,Mg 335,Jeffrey Knapman,,,,0.925,,
,,GBR8409R,Galahad Of Cowes,First 40,Ronan Banim,,,,1.074,,
,,GBR2729R,Jellyfish,Sun Fast 3600,David Richards,,,,1.044,,
,,GBR4365T,MS Amlin Enigma,Mg 346,Ian Braham,,,,0.948,,
,,GBR7805R,Jin Tonic,J/105,Stephen Roberts,,,,1.003,,
,,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,,,,1.041,,
,,GBR5040L,Icy,Ic37,Ian Atkins,,,,1.179,,
,,GBR1129L,Jelly Baby,J/105,William Newton,,,,1.003,,
,,GBR8611R,Kestrel,J/111,Simon Bamford,,,,1.097,,
,,GBR5931R,My Dream,Thomas 31 Custom,Richard Thomas,,,,0.908,,
,,FRA53037,Il Corvo,JPK 1180,Astrid de Vin,,,,1.088,,
,,GBR236R,Rumbleflurg,Ker 39,Ian Schenkel,,,,1.114,,
,,GBR9824,Njos,Corby 35,Tim Octon,,,,1.033,,
,,GBR5189T,J'Ronimo,J 92 1.79,Guy Raynes,,,,0.956,,
,,GER4228,Reefer X,X 99 (big Spi),Aaron Goodman-simpson,,,,0.965,,
,,GBR9588R,Jacana,J/105,Mark Stevens,,,,1.003,,
,,GBR79R,Skermisher,Ker 36,Jonathan Blanshard & Garfield Smith,,,,1.084,,
,,GBR9202R,Nightjar,J/92,Jack Banks,,,,0.962,,
,,GBR6586L,Scream 2,J/120,Stuart Lawrence,,,,1.053,,
,,GBR9922T,R&w,J/122,Andy Theobald,,,,1.079,,
,,GBR8901R,Jiraffe,J/109,Simon Perry,,,,1.010,,
,,GBR1428R,Rogan Josh,First 40,Richard Powell,,,,1.075,,
,,GBR8285T,Penelope,Dehler 34,Peter McConnell,,,,0.926,,
,,GBR12193X,Raging Bull,J/111,Tim Tolcher,,,,1.097,,
,,GBR7899R,Jet,J/99,James Owen,,,,1.013,,
,,GBR7751R,Journeymaker II,J/111,Chris Jones,,,,1.097,,
,,GBR529R,Just So,J/109,David McGough,,,,1.001,,
,,GBR42N,La Réponse,Ker 39,Andrew McIrvine,,,,1.139,,
,,GBR8185,Quokka 9,Half Tonner,Peter Rutter,,,,0.948,,
,,GBR9779T,Jago,J/109,Mike Yates,,,,1.005,,
,,GBR9690R,Adelie,X-332,Robert Salter,,,,0.968,,
,,GBR9405R,Juliette,J/105,Jerry Freeman,,,,0.999,,
,,GBR4080T,Crakajax,X 95,Richard Hollis,,,,0.902,,
,,GBR1010L,Xinska,X 40,Bernard Olesinski,,,,1.089,,
,,GBR711N,Kimanche Eve II,Jpk 10.80,Mark Franklin,,,,1.038,,
,,GBR1352R,No Chance,First 35,Chris Panting,,,,1.023,,
,,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,,,1.031,,
,,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,,,,1.040,,
,,GBR2L,Jigsaw,J/109,Chris Andrews,,,,1.006,,
,,GBR8788R,Theseus,Quarter Ton,Jim Prower,,,,0.909,,
,,GBR6809R,Jybe Talkin',J/109,Christopher Burleigh,,,,1.004,,
,,GBR4919R,Lofo,Fareast19r,Jonathan Hall,,,,0.904,,
,,GBR6070L,Scaramouche,Frers 45,Greig City Academy,,,,1.039,,
,,NED8935,Moana,J/122 E,"Frans Cappelle, van",,,,1.064,,
,,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,,,,1.006,,
,,GBR6621T,La Nef IV,X-332,John Noe,,,,0.968,,
,,GBR7387T,Magus Tao,Dehler 41 CR,Robert Sharp,,,,0.997,,
,,GBR1419L,Sidney II,Grand Soleil 50,Bob Mechem & Tanya Sullivan,,,,1.075,,
,,GBR1338T,Jungle,Laurent Giles 33 Custom,Geoff Stock,,,,0.960,,
,,GBR716,Justify,J/80,Ross Bowdler,,,,0.954,,
,,GBR1488R,Jumunu 5,J/88,Alistair Ray,,,,1.035,,
,,GBR6834R,Alamara IV,Grand Soleil 34,Ole Bettum,,,,1.021,,
,,GBR3145L,True Colours,Grand Soleil 43,Julian Trumper,,,,0.999,,
,,GBR1694R,Exuberant,X-412,Robert Hillman,,,,1.041,,
,,GBR6693T,Fandango,First 40.7,Brendan McMahon,,,,1.042,,
,,GBR9536R,Thunder 2,Mills 37,Vladimir Phillips,,,,1.096,,
,,GBR9949T,Fireball,First 40.7,Chris Clark,,,,1.046,,
,,GBR5698R,Noonmark VI,Swan 56,Sir Geoffrey Mulcahy,,,,1.173,,
,,GBR9328T,Intemperance,Sigma 400,Paul & Val Shilling,,,,1.018,,
,,GBR4022R,Sunsail 4022,First 40,Petr Denisenko,,,,1.036,,
,,GBR1693R,Amity,Pogo 12.50,Philip Avery,,,,1.164,,
,,GBR3922R,Jangle,J/122,Clive Miles,,,,1.087,,
,,GBR7811R,Snow Leopard,J/111,Simon Grier-jones,,,,1.090,,
,,GBR3965R,Jumblesail 2,J/97,Rachel & Robert Hunt,,,,0.970,,
,,GBR7732T,Mardy Gras,X-332,Frederick Mundle,,,,0.980,,
,,GBR8440L,True Blue,Finngulf 33,Jurriaan de Munck,,,,0.959,,
,,IRL8088,Jedi,J/109,Anthony Tahourdin,,,,1.011,,
,,GBR6908R,Ajax,J/109,Royal Armoured Corps Yacht Club,,,,1.006,,
,,GBR2631R,Precision,Bavaria 39 Cruiser,Elizabeth Fitzsimmons,,,,0.968,,
,,GBR3L,Jomalija,J/109,Joppe Schepers and Jasper Heikens,,,,1.006,,
,,GBR311X,Tokoloshe III,Cape 31 Mills,Michael Bartholomew,,,,1.136,,
,,GBR953R,Belinda,Quarter Tonner,Tom Hill,,,,0.910,,
,,GBR1426,Dark & Stormy 2,J/80,Keith Willis,,,,0.957,,
,,GBR1498T,Lady Penrose,Sigma 362,Claire Dresser,,,,0.933,,
,,GBR2947L,Jackdaw,J/92,Robert Salter,,,,0.958,,
,,GBR3111N,Mostly Harmless,J/105,Tom Hayhoe and Natalie Jobling,,,,1.004,,
,,GBR3213L,Dusty P,First 40,Richard Patrick,,,,1.075,,
,,GBR3711,Juniper,S & S 38 Custom,Elizabeth Ayling,,,,0.936,,
,,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,,,,1.002,,
,,GBR5089L,Mischief Of Hamble,Oceanis 37,Kathryn Cole,,,,0.924,,
,,GBR5650T,Emma Claire,Grand Soleil 50,Mark Williams,,,,1.086,,
,,GBR6777R,Bespoke,Humphreys 30 Mod (keel),Neal Brewer,,,,0.987,,
,,GBR7380R,Lightning Reflex,Reflex 38,Geoffrey West,,,,1.056,,
,,GBR7581R,Azora,C & C 115,Stephen Thomas,,,,1.016,,
,,GBR7735R,Eaujet,A35,Richard Elliott,,,,1.017,,
,,GBR8367T,Red Hawk,First 36.7,James Armstrong,,,,1.004,,
,,GBR9203R,Wee Bear,Projection 920,Nick Lee,,,,0.973,,
,,SWE50,Vendetta,Fareast28r,Lucian Stone,,,,1.050,,
,,GBR7122X,Juno,J/122e,Christopher Daniel,,,,1.090,,
