# 2020 Summer Series - IRC 2 - Summer Series - Race 4 (Sun 6 Sep 20 09:40:00) - 25 boats - https://www.rorc.org/raceresults/2020/summerseries-two04.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,GBR6712R,Dawn Treader,JPK 1180,Ed Bell,,16:55:34,7:15:34,1.100,7:59:07,
2,2,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,,17:30:15,7:50:15,1.052,8:14:42,
3,3,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,17:29:14,7:49:14,1.057,8:15:59,
4,4,GBR6840R,Lancelot II,First 40,Sailing Logic,Charlie Williams,17:40:16,8:00:16,1.073,8:35:20,
5,5,GBR8409R,Galahad Of Cowes,First 40,Ronan Banim,,17:40:29,8:00:29,1.074,8:36:02,
6,6,GBR112N,J’Ouvert,J/112e,Simon Harris,,18:25:55,8:45:55,1.054,9:14:19,
,26,GBR6586L,Scream 2,J/120,Stuart Lawrence,,,,1.053,,DNC-Did Not Come to Starting Area
,26,GBR7380R,Lightning Reflex,Reflex 38,Geoffrey West,Sam Mabey,,,1.056,,DNC-Did Not Come to Starting Area
,26,NED8935,Moana,J/122 E,"Frans Cappelle, van",,,,1.064,,DNC-Did Not Come to Starting Area
,26,GBR1419L,Sidney II,Grand Soleil 50,Bob Mechem & Tanya Sullivan,,,,1.075,,DNC-Did Not Come to Starting Area
,26,GBR1428R,Rogan Josh,First 40,Richard Powell,,,,1.075,,DNC-Did Not Come to Starting Area
,26,GBR3213L,Dusty P,First 40,Richard Patrick,,,,1.075,,DNC-Did Not Come to Starting Area
,26,GBR9922T,R&w,J/122,Andy Theobald,,,,1.079,,DNC-Did Not Come to Starting Area
,26,GBR79R,Skermisher,Ker 36,Jonathan Blanshard & Garfield Smith,Jonathan Blanshard,,,1.084,,DNC-Did Not Come to Starting Area
,26,GBR5650T,Emma Claire,Grand Soleil 50,Mark Williams,,,,1.086,,DNC-Did Not Come to Starting Area
,26,GBR3922R,Jangle,J/122,Clive Miles,,,,1.087,,DNC-Did Not Come to Starting Area
,26,FRA53037,Il Corvo,JPK 1180,Astrid de Vin,Roeland Franssens,,,1.088,,DNC-Did Not Come to Starting Area
,26,GBR1010L,Xinska,X 40,Bernard Olesinski,Rupert Morgan,,,1.089,,DNC-Did Not Come to Starting Area
,26,GBR7122X,Juno,J/122e,Christopher Daniel,,,,1.090,,DNC-Did Not Come to Starting Area
,26,GBR7811R,Snow Leopard,J/111,Simon Grier-jones,,,,1.090,,DNC-Did Not Come to Starting Area
,26,GBR9536R,Thunder 2,Mills 37,Vladimir Phillips,,,,1.096,,DNC-Did Not Come to Starting Area
,26,GBR888X,Sunrise,Jpk 1180,Thomas Kneen,,,,1.097,,DNC-Did Not Come to Starting Area
,26,GBR7751R,Journeymaker II,J/111,Chris Jones,,,,1.097,,DNC-Did Not Come to Starting Area
,26,GBR8611R,Kestrel,J/111,Simon Bamford,,,,1.097,,DNC-Did Not Come to Starting Area
,26,GBR12193X,Raging Bull,J/111,Tim Tolcher,,,,1.097,,DNC-Did Not Come to Starting Area
