# 2020 RORC Mainseries IRC Two - RORC Caribbean 600 Race (Mon 24 Feb 20 11:00:00) - 11 boats - https://www.rorc.org/raceresults/2020/two02.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,91,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,28 Feb - 11:48:26,4 - 00:48:26,1.057,4 - 06:19:31,
2,85,ANT104,Liquid,J/122,Pamala Baldwin,Julian White,28 Feb - 09:16:19,3 - 22:16:19,1.094,4 - 07:08:01,
3,81,GBR4778R,EH01,First 47.7,Global Yacht Racing,Andy Middleton,28 Feb - 11:52:22,4 - 00:52:22,1.080,4 - 08:37:21,
4,77,GBR970R,Jua Kali,Grand Soleil 43,Global Yacht Racing,Gareth Glover,28 Feb - 18:22:25,4 - 07:22:25,1.083,4 - 15:57:13,
5,74,USA52906,Avanti,Hanse 430,Jeremi Jablonski,,29 Feb - 01:06:05,4 - 14:06:05,1.063,4 - 21:02:16,
6,71,GBR7951R,Optimus Prime,First 40,Yuri Fadeev,Dmitry Kondratyev,28 Feb - 23:10:37,4 - 12:10:37,1.087,4 - 21:35:18,
7,69,GBR43X,Panther,Grand Soleil 43,David Hall,,29 Feb - 00:07:53,4 - 13:07:53,1.092,4 - 23:10:17,
8,67,SUI4777,Kali,First 47.7,Benedikt Clauberg,,29 Feb - 02:11:34,4 - 15:11:34,1.074,4 - 23:25:16,
9,65,GBR3234L,Rocket Dog II,First 40,Sailing Logic,Martin Fox,29 Feb - 03:43:33,4 - 16:43:33,1.067,5 - 00:16:42,
10,63,GBR4946L,Oarsome Dream,Dufour 460,Civil Service Offshore Racing Club,Neil O'Leary,29 Feb - 07:52:58,4 - 20:52:58,1.072,5 - 05:17:54,
,10,GBR7207T,Playing Around,First 40.7,Ken Docherty,,,,1.051,,DNF-Did Not Finish
