# RORC 2H Offshore - Start: Sat 1 May 21 10:10:00 (None) - 29 boats - https://www.rorc.org/raceresults/2021/2hoffshore01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,GBR9779T,Jago,J/109,Mike Yates,Mike Yates & Eivind Boymo-Malm,2 May - 02:50:17,16:40:17,1.009,16:49:17,
2,2,GBR8956R,Mzungu,Sun Fast 3200,Tony White,Sam White & Sam North,2 May - 03:06:36,16:56:36,0.993,16:49:29,
3,3,GBR958R,Jangada,JPK 1010,Richard Palmer,Richard Palmer & Jeremy Waitt,2 May - 03:03:00,16:53:00,1.001,16:54:01,
4,4,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew & Kelvin Matthews,2 May - 03:12:01,17:02:01,0.997,16:58:57,
5,5,GBR6890R,Gentoo,Sun Fast 3300,James Harayda,James Harayda & Dee Caffari,2 May - 02:49:00,16:39:00,1.026,17:04:58,
6,6,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,Kate Cope & Matthew Beecher,2 May - 03:14:14,17:04:14,1.001,17:05:15,
7,7,GBR5176L,Aries,Sun Fast 3300,Kelvin Rawlings,Kelvin Rawlings & Stuart Childerley,2 May - 02:51:46,16:41:46,1.026,17:07:49,
8,8,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,Kathy Claydon & Philip Kirk,2 May - 03:13:40,17:03:40,1.005,17:08:47,
9,9,GBR4849R,Team Bomby/Robertson,Sun Fast 3300,Henry Bomby,Henry Bomby & Shirley Roberton,2 May - 02:48:35,16:38:35,1.033,17:11:32,
10,10,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie & Deb Fish,2 May - 02:42:21,16:32:21,1.040,17:12:03,
11,11,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,Peter Bacon & Antonio Martinez,2 May - 02:55:15,16:45:15,1.028,17:13:24,
12,12,GBR795R,Diablo,Sun Fast 3600,Nick Martin,Nick Martin & David Pritchard,2 May - 03:00:05,16:50:05,1.030,17:20:23,
13,13,GBR7933R,Fastrak XII,Sun Fast 3300,Nigel de Quervain Colley,Nigel Colley & Steve Dyke,2 May - 03:14:10,17:04:10,1.025,17:29:46,
14,14,GBR6502L,Wild Pilgrim,Sun Fast 3300,Daniel Jones,Daniel Jones & Jon Tyrrell,2 May - 03:06:47,16:56:47,1.033,17:30:20,
15,15,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Gavin Howe & Maggie Adamson,2 May - 02:55:06,16:45:06,1.049,17:34:21,
16,16,GBR5964R,New Normal,Sun Fast 3300,Thomas Fenemore,Tom Fenemore & Jack Hanslope,2 May - 03:32:08,17:22:08,1.026,17:49:14,
17,17,GBR3373L,Azygos,Dufour 40,David Stott,David Stott & Sam Hatch,2 May - 03:50:50,17:40:50,1.017,17:58:52,
18,18,GBR833X,Hooligan VIII,Sun Fast 3300,Edward Broadway,Ed Broadway & Nigel Wakefield,2 May - 03:48:54,17:38:54,1.029,18:09:36,
19,19,GBR3922R,Jangle,J/122,Clive Miles,Clive Miles & Will Ayliffe,2 May - 02:56:00,16:46:00,1.085,18:11:31,
20,20,GBR4688R,Tigris,J/88,Gavin Howe,Deborah Blair & Timothy Long,2 May - 04:10:09,18:00:09,1.029,18:31:28,
21,21,GBR9030R,Gusto,Whitbread 30,Nathan O'Leary,Nathan O'Leary & James Leetch,2 May - 04:42:57,18:32:57,1.003,18:36:17,
22,22,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,Keith Thompson & Peter Hebard,2 May - 05:01:43,18:51:43,0.993,18:43:48,
23,23,GBR1X,Bounce Back,First 40,Steven Goddard,James Dean & Stevie Goddard,2 May - 04:13:05,18:03:05,1.040,18:46:24,
24,24,POR66,Stormwave 2.0,Figaro 3,Ross Farrow,Ross Farrow & Cat Hunt,2 May - 03:03:21,16:53:21,1.112,18:46:51,
25,25,GBR9328T,Intemperance,Sigma 400,Paul & Val Shilling,Paul & Val Shilling,2 May - 04:45:04,18:35:04,1.017,18:54:01,
26,26,GBR7727T,Musketeer,First 40.7,Phillip Holroyd Smith,Phillip Holroyd Smith & Nigel Wilson,2 May - 04:35:25,18:25:25,1.031,18:59:41,
27,27,IOM7003,Polished Manx II,First 40.7,Kuba Szymanski,Kuba Szymanski & Ian Davidson,2 May - 05:14:43,19:04:43,1.016,19:23:02,
28,28,GBR112N,J’ouvert,J/112e,Simon Harris,Simon Harris & Daniel Law,2 May - 04:44:04,18:34:04,1.054,19:34:14,
,30,GBR2904L,Hot Pursuit,Sun Fast 3200,Richard Lewis,Richard Lewis & George Kennedy,,,0.993,,DNF-Did Not Finish
