# 2021 RORC Mainseries IRC Four - Morgan Cup Race (Fri 11 Jun 21 18:00:00) - 14 boats - https://www.rorc.org/raceresults/2021/four05.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,92,GBR958R,Jangada,JPK 1010,Richard Palmer,Richard Palmer & Jeremy Waitt,12 Jun - 15:01:56,21:01:56,1.001,21:03:12,
2,86,GBR529R,Just So,J/109,David McGough,William McGough & Christian Jeffery,12 Jun - 15:09:26,21:09:26,1.003,21:13:14,
3,82,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,Kate Cope & Matthew Beecher,12 Jun - 16:26:24,22:26:24,1.001,22:27:45,
4,78,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew & Kelvin Matthews,12 Jun - 17:58:40,23:58:40,0.997,23:54:21,
5,75,GBR1652R,Ithaka,Swan 44,Giovanni Mazzocchi,Kenneth Brougher,12 Jun - 17:58:52,23:58:52,1.001,1 - 00:00:18,
6,72,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,Keith Thompson & Albert Barber,12 Jun - 19:30:40,1 - 01:30:40,0.993,1 - 01:19:57,
7,70,GBR2842L,Sun Kosi,Sun Fast 3200,Miles Delap,Miles Delap & Keith Oliver,12 Jun - 19:30:00,1 - 01:30:00,0.998,1 - 01:26:56,
8,68,GBR934R,Mystery,Mystery 35,Nicky Tewson,Sally Olsen,12 Jun - 22:59:15,1 - 04:59:15,0.937,1 - 03:09:41,
9,66,GBR26R,Morning After,S&S 34,Stuart Greenfield,Stuart Greenfield & Louise Clayton,12 Jun - 23:07:32,1 - 05:07:32,0.933,1 - 03:10:27,
10,64,GBR4350L,Felix,X-332,Christoph Friedrich,Christoph Friedrich & Alastair Ball,12 Jun - 23:37:15,1 - 05:37:15,0.957,1 - 04:20:50,
11,62,GBR9405R,Juliette,J/105,Motley Crew,David Melville & Dan Rigden,12 Jun - 22:50:00,1 - 04:50:00,0.999,1 - 04:48:16,
12,60,GBR8756T,Nimrod,Sun Fast 35,Paul Love- Williams,,13 Jun - 00:52:30,1 - 06:52:30,0.962,1 - 05:42:06,
,10,GBR1178X,Easy Glider,S&S 41,Oliver Hughes,,,,0.946,,RET-Retired
,10,GBR923R,Skadi,Bowman 44,Michael Greville,,,,1.003,,RET-Retired
