# 2021 RORC Mainseries IRC Four - Cowes Dinard St Malo Race (Fri 9 Jul 21 10:30:00) - 28 boats - https://www.rorc.org/raceresults/2021/four08.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR5499Y,Expressly Forbidden,Albin Express 1.45,Elizabeth Wallis,Elizabeth Wallis & Bryn Phillips,10 Jul - 21:44:25,1 - 11:14:25,0.864,1 - 06:26:51,
2,94,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew & Kelvin Matthews,10 Jul - 17:19:19,1 - 06:49:19,0.997,1 - 06:43:46,
3,90,GBR123,Xara,Swan 38 S/R,Jonathan Rolls,,10 Jul - 20:51:28,1 - 10:21:28,0.919,1 - 07:34:29,
4,86,FRA19824,Laïs,Aphrodite 101,Patrick Besancon,,10 Jul - 20:45:10,1 - 10:15:10,0.942,1 - 08:15:58,
5,83,GBR26R,Morning After,S&S 34,Stuart Greenfield,Stuart Greenfield & Louise Clayton,10 Jul - 21:39:57,1 - 11:09:57,0.933,1 - 08:48:35,
6,80,FRA17815,Sun Hill 3,Dehler 33 Cruising,Francois Charles,,10 Jul - 20:42:07,1 - 10:12:07,0.966,1 - 09:02:21,
7,78,GBR815,Longue Pierre,Dehler 38,D Cooper & P England,David Cooper,10 Jul - 20:52:01,1 - 10:22:01,0.962,1 - 09:03:40,
8,76,GBR8396,Sam,Sigma 38,Peter Hopps,,10 Jul - 21:02:58,1 - 10:32:58,0.971,1 - 09:32:51,
9,74,FRA3333,Shortgood,First Class 10,Renaud Courbon and Emmanuel Winsback,Renaud & Gilles Courbon,10 Jul - 20:44:09,1 - 10:14:09,0.985,1 - 09:43:20,
10,72,FRA43743,Jaasap,JPK 1010,Guy Prest,Will Prest & Richard Ash,10 Jul - 20:33:41,1 - 10:03:41,0.993,1 - 09:49:23,
11,70,FRA38895,Gioia,JPK 1010,Emmanuel Pinteaux,,10 Jul - 20:33:03,1 - 10:03:03,0.999,1 - 10:01:00,
12,68,FRA21717,Whisper,JPK 1010,Franck Ribot,,10 Jul - 21:00:40,1 - 10:30:40,0.987,1 - 10:03:45,
13,66,FRA53114,Raphael,JPK 1010,Ludovic Menahes,Ludovic Menahes & David le Goff,10 Jul - 20:40:16,1 - 10:10:16,0.997,1 - 10:04:07,
14,65,FRA9817,La Grande Jinette,J/105,Charles Gury,,10 Jul - 20:30:53,1 - 10:00:53,1.003,1 - 10:07:00,
15,64,FRA53057,Lazy Boy,Sun Fast 3200,Yann Gapais,Yann & Yves Gapais,10 Jul - 20:43:39,1 - 10:13:39,0.997,1 - 10:07:29,
16,63,FRA39194,Objectif Lune,Sun Fast 3200,Jean-Baptiste Crepin,,10 Jul - 20:43:54,1 - 10:13:54,0.997,1 - 10:07:44,
17,62,GBR4796L,Joy,JPK 1010,Peter Butters,,10 Jul - 20:43:45,1 - 10:13:45,0.999,1 - 10:11:42,
18,61,GBR1652R,Ithaka,Swan 44,Giovanni Mazzocchi,Kenneth Brougher,10 Jul - 20:42:00,1 - 10:12:00,1.001,1 - 10:14:03,
19,60,MLT105,Bigfoot,J/105,Robert Nelson,Rob Nelson & Charles Linard,10 Jul - 21:00:41,1 - 10:30:41,0.996,1 - 10:22:24,
20,59,GBR7732T,Mardy Gras,X-332,Frederick Mundle,,10 Jul - 21:43:10,1 - 11:13:10,0.979,1 - 10:28:47,
21,58.5,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,Kate Cope & Matthew Beecher,10 Jul - 21:01:41,1 - 10:31:41,1.001,1 - 10:33:45,
22,58,GBR2842L,Sun Kosi,Sun Fast 3200,Miles Delap,Miles Delap & Keith Oliver,10 Jul - 21:15:53,1 - 10:45:53,0.998,1 - 10:41:43,
23,57.5,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,Keith Thompson & Albert Barber,10 Jul - 21:29:36,1 - 10:59:36,0.993,1 - 10:44:54,
24,57,GBR292,Amokura,Classic Yawl,Paul Moxon,Paul Moxon & Steve Jones,11 Jul - 20:27:41,2 - 09:57:41,0.971,2 - 08:16:50,
,10,GBR9033T,Duff Lite,Corby 25,Gavin Doyle,Gavin Doyle & Alex Piatti,,,0.919,,DNF-Did Not Finish
,10,GBR8285,Kindred Spirit,Sigma 38,Robert Lee,John Crosbie,,,0.980,,DNF-Did Not Finish
,10,GBR8367,Rho,Sigma 38,Equinox Sailing,Ruaraidh Plummer,,,0.980,,DNF-Did Not Finish
,10,GBR5284,Longbow Of Itchen,Bowman 48,Mike Wilkinson,Mike Wilkinson & Vaughan Everett,,,0.990,,DNF-Did Not Finish
