# 2021 RORC Mainseries IRC Overall - La Trinite Cowes Race (Sun 4 Jul 21) - 24 boats - https://www.rorc.org/raceresults/2021/ircoverall07.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA8668,Teasing Machine,NMYD 54,Eric de Turckheim,,5 Jul - 20:14:08,1 - 02:09:08,1.379,1 - 12:03:50,
2,94,FRA43907,Aileau,JPK 1080,Olivier Burgaud,Olivier Burgaud & Sylvain Pontu,6 Jul - 08:51:16,1 - 14:46:16,1.041,1 - 16:21:39,
3,90,FRA78,Sl Energies_groupe Fastwave,J/111,Laurent Charmy,,6 Jul - 08:15:04,1 - 14:10:04,1.087,1 - 17:29:18,
4,86,FRA53114,Adeosys,JPK 1010,L. Menahes,,6 Jul - 11:44:37,1 - 17:39:37,0.997,1 - 17:32:07,
5,83,FRA43857,L'Ange De Milon,Milon 41,Jacques Pelletier,,6 Jul - 07:20:00,1 - 13:15:00,1.118,1 - 17:38:44,
6,80,FRA6374,Hakuna Matata,Sun Fast 3200,Jf. Nouel,,6 Jul - 11:47:38,1 - 17:42:38,0.999,1 - 17:40:08,
7,78,FRA44379,Santosha,Sun Fast 3200,P. Isoard,,6 Jul - 12:10:29,1 - 18:05:29,0.996,1 - 17:55:23,
8,76,FRA346,Lann Ael 2,Jnd 39,Didier Gaudoux,,6 Jul - 07:37:09,1 - 13:32:09,1.117,1 - 17:55:39,
9,74,FRA28553,Miss J,J/105,Frederic Guillemot,,6 Jul - 12:32:00,1 - 18:27:00,1.000,1 - 18:27:00,
10,72,FRA9817,Passiflorine,J/105,C. Gury,,6 Jul - 12:32:25,1 - 18:27:25,1.001,1 - 18:29:58,
11,70,FRA43831,Timeline,JPK 1080,Marc Alperovitch,Marc	Alperovitch & Jerome Huillard,6 Jul - 11:17:29,1 - 17:12:29,1.034,1 - 18:36:33,
12,68,GBR7445,Amanjiwo,Frers 44,Sebastien Harinkouck,,6 Jul - 04:29:55,1 - 10:24:55,1.246,1 - 18:52:53,
13,66,FRA37370,Tagan IV,A31,Alain Duvivier,Alain Duvivier & Marc le Groignec,6 Jul - 13:35:44,1 - 19:30:44,0.987,1 - 18:56:48,
14,65,FRA53028,Lady First 3,Mylius 60,Jean Pierre Dreau,,6 Jul - 01:44:42,1 - 07:39:42,1.363,1 - 19:09:17,
15,64,FRA53197,Mary-3,JPK 1030,Francois Moriceau,Francois Moriceau & Patrice Carpentier,6 Jul - 11:59:04,1 - 17:54:04,1.032,1 - 19:14:31,
16,63,FRA53147A,Jin Motion,J/99,Philippe Guennal,,6 Jul - 12:44:34,1 - 18:39:34,1.017,1 - 19:23:05,
17,62,FRA38411,Faribole,JPK 1010,E. Poyet,,6 Jul - 14:57:06,1 - 20:52:06,0.991,1 - 20:27:52,
18,61,FRA53057,Lazy Boy,Sun Fast 3200,Yann Gapais,Yann & Yves Gapais,6 Jul - 15:35:54,1 - 21:30:54,0.997,1 - 21:22:42,
19,60,FRA43683,Tracass,JPK 1010,L. Cadiou,,6 Jul - 16:39:58,1 - 22:34:58,0.996,1 - 22:23:47,
20,59,FRA43926,Shah,Pogo,Edouard Pinta,,6 Jul - 11:51:40,1 - 17:46:40,1.115,1 - 22:34:56,
21,58.5,FRA53004,Vasco,Pogo 36 Qr,Bernard Fondrillon,,6 Jul - 11:59:18,1 - 17:54:18,1.129,1 - 23:18:39,
22,58,FRA35916,Logodenn,Sun Fast 3200,E. Tilly,,6 Jul - 23:16:18,2 - 05:11:18,0.982,2 - 04:13:51,
,10,GBR5797R,L'Opale,J/97,Y. Gindre,,,,0.967,,DNF-Did Not Finish
,10,FRA17271,Nuage 2,J/97,O. Kayser,,,,0.980,,DNF-Did Not Finish
