# 2021 RORC Mainseries Multihull - Rolex Fastnet Race (Sun 8 Aug 21 11:10:00) - 12 boats - https://www.rorc.org/raceresults/2021/multihull10.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,87,SUI888,Allegra,Catamaran,Fast Cat Ltd,Adrian Keller,11 Aug - 11:28:38,3 - 00:18:38,1.394,4 - 04:48:03,
2,81,FRA17L,Rayon Vert,Pulsar 50,Oren Nataf,,11 Aug - 12:47:38,3 - 01:37:38,1.395,4 - 06:42:36,
3,77,FRA53255,Banzai,TS42,Vincent Willemart,,11 Aug - 22:22:58,3 - 11:12:58,1.277,4 - 10:16:01,
4,73,GBR815M,Slinky Malinki,Dazcat 1295,James Holder,,12 Aug - 07:02:19,3 - 19:52:19,1.237,4 - 17:38:44,
5,70,USA128,Argo,Mod 70,Jason Carroll,Charles Corning,10 Aug - 15:21:57,2 - 04:11:57,2.224,4 - 20:05:27,
6,67,GBR2199,Morpheus,Trimaran,Andrew Fennell,,11 Aug - 21:45:53,3 - 10:35:53,1.498,5 - 03:43:55,
7,65,FRA1,Ocean Dentist,TS 42,Antoine Gloanec,,13 Aug - 04:15:59,4 - 17:05:59,1.236,5 - 19:47:29,
,10,F220M,L'Albatros,T3 Trifoiler,Tim Whittle,,,,1.278,,DNF-Did Not Finish
,10,GBR828M,Addictive Sailing,TS5,Brieuc Maisonneuve,Cecilia & Eleanor Wollmann,,,1.279,,DNF-Did Not Finish
,10,FRA888,Guyader Mext,TS5,Christian Guyader & Bart Vanhaverbeke,Gwen Chapalain,,,1.323,,DNF-Did Not Finish
,10,FRA177,No Limit,Outremer 5x Racing,Yann Marilley,,,,1.397,,DNF-Did Not Finish
,10,ITA55,Maserati,Multi 70,Giovanni Soldini,,,,2.198,,DNF-Did Not Finish
