# 2021 RORC Mainseries IRC One - Entries: 70      Races Sailed: 11      Discard: 6 (None) - 70 boats - https://www.rorc.org/raceresults/2021/oneos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR2664R,Darkwood,J/121,Michael O'Donnell,,,,1.116,,
,,GBR4669R,Pata Negra,Lombard 46,Andrew Hall,,,,1.154,,
,,GBR3875X,Phosphorus II,A13,Mark Emerson,,,,1.177,,
,,GBR419R,Redshift,Farr Gp42,Ed Fishwick,,,,1.259,,
,,GBR236R,Rumbleflurg,Ker 39,David Cummins,,,,1.114,,
,,GBR4921R,Ino XXX,HH42,James Neville,,,,1.266,,
,,LAT909,Orange Mecanix2,Xp 44,Sport Nautique Club,,,,1.130,,
,,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,,,1.110,,
,,GBR562R,Sailplane,Mat 12,Rob Bottomley,,,,1.134,,
,,GBR5440R,Thunderbird,Farr 40,Rupert Wolloshin,,,,1.134,,
,,GBR759R,Eclectic,Azuree 46,Colin Campbell,,,,1.133,,
,,GBR1544R,Simples,XP 44,Demian Smith,,,,1.119,,
,,FRA43857,L'Ange De Milon,Milon 41,Jacques Pelletier,,,,1.118,,
,,GBR8940R,Espresso Martini Too,Farr 40,Glyn Sheffield,,,,1.163,,
,,GBR8872R,Challenger 2,Challenge 72,Tall Ships Youth Trust,,,,1.204,,
,,GBR8871R,Challenger 1,Challenge 72,Tall Ships Youth Trust,,,,1.204,,
,,GBR1521R,Rock Lobster,J 121,Nick Angel,,,,1.114,,
,,GBR42N,La Réponse,Ker 39,Andrew McIrvine,,,,1.138,,
,,BEL733,Morpheus,Sydney Yachts Gts43,Steven Verstraete,,,,1.165,,
,,GBR7445,Amanjiwo,Frers 44,Sebastien Harinkouck,,,,1.246,,
,,POR66,Stormwave 2.0,Figaro 3,Ross Farrow,,,,1.112,,
,,GBR8248,Incisor,Corby 45,First Class Sailing,,,,1.135,,
,,FRA346,Lann Ael 2,Jnd 39,Didier Gaudoux,,,,1.117,,
,,SWE15,Matador,Elliot 44 CR,Jonas Grander,,,,1.246,,
,,GBR597R,Itma,X-50 Classic,Thomas Scott,,,,1.109,,
,,FRA53004,Vasco,Pogo 36 Qr,Bernard Fondrillon,,,,1.129,,
,,H700,Stormvogel,Stadt 74 Custom,Greenwater Marine Limited,,,,1.187,,
,,SWE101,Jolene,J/121,Fredrik Rydin,,,,1.135,,
,,MLT450,Elusive 2,Beneteau First 45,"Maya, Aaron & Christoph Podesta",,,,1.112,,
,,GBR1665,Desperado Of Cowes,Swan 65,Richard Loftus,,,,1.104,,
,,NED46,Tonnerre de Glen,Ker 46,Dominique Tian,,,,1.273,,
,,GER8008,Universitas,Farr 42 Irc,ASV zu Rostock,,,,1.125,,
,,RP45,Katsu,Aquila 45,Carl-Peter Forster,,,,1.242,,
,,HKG2192,Double Edge,Corby 38,Chris Schram,,,,1.104,,
,,ITA15145,Libertine,Comet 45 S,Marco Paolucci,,,,1.116,,
,,FRA43769,Baradoz,Pogo 12.50,Xavier Bellouard,,,,1.153,,
