# 2021 Spring Series - IRC Two-Handed - Race 2 (Sat 10 Apr 21 10:10:00) - 25 boats - https://www.rorc.org/raceresults/2021/springseries-2h02.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,GBR6890R,Gentoo,Sun Fast 3300,James Harayda,,14:45:59,4:35:59,1.026,4:43:10,
2,2,GBR5176L,Aries,Sun Fast 3300,Kelvin Rawlings,,14:46:19,4:36:19,1.028,4:44:03,
3,3,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,,14:49:24,4:39:24,1.040,4:50:35,
4,4,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,,14:47:45,4:37:45,1.049,4:51:22,
5,5,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,,14:53:40,4:43:40,1.030,4:52:11,
6,6,GBR958R,Jangada,JPK 1010,Richard Palmer,,15:02:16,4:52:16,1.001,4:52:34,
7,7,GBR4849R,Team Bomby/Robertson,Sun Fast 3300,Henry Bomby,,14:53:14,4:43:14,1.033,4:52:35,
8,8,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew,15:05:29,4:55:29,0.996,4:54:18,
9,9,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,14:58:40,4:48:40,1.030,4:57:20,
10,10,GBR529R,Just So,J/109,David McGough,William McGough,15:07:17,4:57:17,1.003,4:58:11,
11,11,GBR7933R,Fastrak XII,Sun Fast 3300,Nigel de Quervain Colley,,15:09:04,4:59:04,1.025,5:06:33,
12,12,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,,15:17:41,5:07:41,1.001,5:07:59,
13,13,GBR3759L,Jelenko II,Sun Fast 3600,Jonathan Bevan,,15:10:30,5:00:30,1.044,5:13:43,
14,14,GBR4688R,Tigris,J/88,Gavin Howe,Deborah Blair & Timothy Long,15:32:54,5:22:54,1.029,5:32:16,
,26,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,,,,1.028,,DNF-Did Not Finish
,26,GBR9033T,Duff Lite,Corby 25,Gavin Doyle,,,,0.919,,DNC-Did Not Come to Starting Area
,26,GBR8956R,Mzungo,Sunfast 3200,Tony White,,,,0.993,,DNC-Did Not Come to Starting Area
,26,GBR8529,Jazzy Jellyfish,J/109,Gareth Edmondson,,,,1.008,,DNC-Did Not Come to Starting Area
,26,GBR9779T,Jago,J/109,Mike Yates,,,,1.009,,DNC-Did Not Come to Starting Area
,26,GBR7899R,Jet,J/99,James Owen,,,,1.010,,DNC-Did Not Come to Starting Area
,26,IOM7003,Polished Manx,First 40.7,Kuba Szymanski,,,,1.016,,DNC-Did Not Come to Starting Area
,26,GBR7727,Musketeer,First 40.7,Phillip Holroyd Smith,,,,1.031,,DNC-Did Not Come to Starting Area
,26,GBR9824,NJOS,Corby 35,Tim Octon,,,,1.033,,DNC-Did Not Come to Starting Area
,26,GBR3922R,Jangle,J/122e,Clive Miles,,,,1.085,,DNC-Did Not Come to Starting Area
,26,POR66,Stormwave 2.0,Figaro 3,Ross Farrow,Cat Hunt,,,1.112,,DNC-Did Not Come to Starting Area
